1.122098585, Sport: ,Soccer, Time: ,Tue Dec 08 16:15:00 CET 2015, Time: ,Tue Dec 08 16:15:00 CET 2015, Event: ,CD Marchamalo v CD Toledo II, Favorite: ,CD Marchamalo, 8997815   size:2.55,Price: ,1.75,CD Toledo II, 8859058   size:3.92,Price: ,3.6,The Draw, 58805   size:54.11,Price: ,3.15,x
1.122184901, Sport: ,Soccer, Time: ,Tue Dec 08 21:30:00 CET 2015, Time: ,Tue Dec 08 21:30:00 CET 2015, Event: ,CD La Laguna (W) v CD Llano del Moro (W), Favorite: ,CD La Laguna (W), 10503763   size:2.55,Price: ,1.16,CD Llano del Moro (W), 10284523   size:20.28,Price: ,8.2,The Draw, 58805   size:25.81,Price: ,6.4,x
1.122180667, Sport: ,Handball, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,Russia v Puerto Rico, Favorite: ,Russia, 602689   size:0.0,Price: ,0.0,Puerto Rico, 9978204   size:50.0,Price: ,1000.0,Draw, 330157   size:10.13,Price: ,300.0,ok
1.122184239, Sport: ,Soccer, Time: ,Tue Dec 08 17:40:00 CET 2015, Time: ,Tue Dec 08 17:40:00 CET 2015, Event: ,Al Qadsia v Kazma SC, Favorite: ,Al Qadsia, 2909647   size:3.05,Price: ,1.64,Kazma SC, 4400662   size:45.17,Price: ,4.0,The Draw, 58805   size:14.41,Price: ,3.5,x
1.122184514, Sport: ,Soccer, Time: ,Tue Dec 08 20:00:00 CET 2015, Time: ,Tue Dec 08 20:00:00 CET 2015, Event: ,Avai U20 v Internacional U20, Favorite: ,Internacional U20, 6006866   size:7.78,Price: ,1.74,Avai U20, 5181429   size:4.23,Price: ,4.1,The Draw, 58805   size:4.61,Price: ,3.3,x
1.122185966, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Merthyr Town v Bideford, Favorite: ,Merthyr Town, 8749416   size:14.62,Price: ,1.42,Bideford, 3689134   size:3.79,Price: ,5.6,The Draw, 58805   size:4.51,Price: ,4.1,ok
1.122098456, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,UD Samano v Castro FC, Favorite: ,Castro FC, 6343346   size:16.54,Price: ,1.79,UD Samano, 10263134   size:62.64,Price: ,4.3,The Draw, 58805   size:45.52,Price: ,3.55,x
1.122186408, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Rushall Olympic v Grantham Town, Favorite: ,Rushall Olympic, 2608907   size:3.89,Price: ,1.99,Grantham Town, 6770558   size:2.62,Price: ,2.96,The Draw, 58805   size:12.03,Price: ,3.6,ok
1.122185567, Sport: ,Soccer, Time: ,Tue Dec 08 11:30:00 CET 2015, Time: ,Tue Dec 08 11:30:00 CET 2015, Event: ,Guardian Angel FC v Churchill Brothers, Favorite: ,Churchill Brothers, 4484783   size:3.6,Price: ,1.46,Guardian Angel FC, 10601391   size:2.92,Price: ,6.0,The Draw, 58805   size:2.61,Price: ,4.5,ok
1.122185289, Sport: ,Soccer, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Dundee U20 v St Mirren U20, Favorite: ,St Mirren U20, 6734302   size:46.1,Price: ,1.82,Dundee U20, 7049332   size:57.16,Price: ,2.88,The Draw, 58805   size:47.94,Price: ,3.45,x
1.122177547, Sport: ,Basketball, Time: ,Tue Dec 08 11:00:00 CET 2015, Time: ,Tue Dec 08 11:00:00 CET 2015, Event: ,Busan Sonicboom v Anyang KGC Pro, Favorite: ,Anyang KGC Pro, 10276570   size:120.0,Price: ,1.65,Busan Sonicboom, 8941900   size:16.71,Price: ,2.36,ok
1.122098695, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,CD Cristo Atletico v CD Mirandes II, Favorite: ,CD Mirandes II, 8859060   size:2.96,Price: ,1.69,CD Cristo Atletico, 8278815   size:3.94,Price: ,3.55,The Draw, 58805   size:49.37,Price: ,3.45,x
1.122187271, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Shabab Al Amari v Shabab Al Khaleel, Favorite: ,Shabab Al Khaleel, 8270303   size:2.55,Price: ,2.3,Shabab Al Amari, 8249728   size:2.55,Price: ,2.38,The Draw, 58805   size:2.55,Price: ,3.3,ok
1.122194642, Sport: ,Soccer, Time: ,Tue Dec 08 13:00:00 CET 2015, Time: ,Tue Dec 08 13:00:00 CET 2015, Event: ,Arucas CF v Atletico Granadilla, Favorite: ,Arucas CF, 9053708   size:9.22,Price: ,1.06,Atletico Granadilla, 9315702   size:9.22,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,3.15,x
1.122186186, Sport: ,Soccer, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Partick U20 v Dundee Utd U20, Favorite: ,Partick U20, 9001451   size:46.1,Price: ,2.12,Dundee Utd U20, 6868316   size:46.1,Price: ,2.34,The Draw, 58805   size:47.94,Price: ,3.45,x
1.122191530, Sport: ,Basketball, Time: ,Tue Dec 08 20:30:00 CET 2015, Time: ,Tue Dec 08 20:30:00 CET 2015, Event: ,Mithra Castors Braine W v Nadezhda (W), Favorite: ,Castors Braine (W), 10324072   size:381.48,Price: ,1.04,Nadezhda (W), 5290907   size:1307.13,Price: ,1.04,x
1.122194640, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,Arosa FC v Ribadeo FC, Favorite: ,Arosa FC, 7555526   size:9.22,Price: ,1.06,Ribadeo FC, 8859062   size:9.22,Price: ,1.06,The Draw, 58805   size:16.64,Price: ,3.1,x
1.122180637, Sport: ,Handball, Time: ,Tue Dec 08 16:15:00 CET 2015, Time: ,Tue Dec 08 16:15:00 CET 2015, Event: ,Cuba v Angola, Favorite: ,Angola, 620389   size:990.86,Price: ,1.14,Cuba, 3228920   size:28.55,Price: ,6.0,Draw, 330157   size:11.09,Price: ,13.5,ok
1.122097826, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,UE Rubi v Sabadell, Favorite: ,Sabadell, 565026   size:6.42,Price: ,1.57,UE Rubi, 6929307   size:5.49,Price: ,4.9,The Draw, 58805   size:2.55,Price: ,3.55,x
1.122183989, Sport: ,Tennis, Time: ,Tue Dec 08 09:30:00 CET 2015, Time: ,Tue Dec 08 09:30:00 CET 2015, Event: ,Shivika Burman v Ulrikke Eikeri, Favorite: ,Ulrikke Eikeri, 8679187   size:19.56,Price: ,1.05,Shivika Burman, 9626259   size:10.66,Price: ,14.0,ok
1.122184957, Sport: ,Soccer, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,CD Quintanar del Rey v CD Pedroneras, Favorite: ,CD Quintanar del Rey, 8357614   size:2.55,Price: ,1.78,CD Pedroneras, 8517232   size:47.94,Price: ,3.45,The Draw, 58805   size:15.25,Price: ,3.1,ok
1.122098401, Sport: ,Soccer, Time: ,Tue Dec 08 11:30:00 CET 2015, Time: ,Tue Dec 08 11:30:00 CET 2015, Event: ,CD Illescas v CP Villarrobledo, Favorite: ,CD Illescas, 6962248   size:3.37,Price: ,1.91,CP Villarrobledo, 9414421   size:83.73,Price: ,4.3,The Draw, 58805   size:64.99,Price: ,3.3,ok
1.122183994, Sport: ,Tennis, Time: ,Tue Dec 08 09:30:00 CET 2015, Time: ,Tue Dec 08 09:30:00 CET 2015, Event: ,Prarthana G Thombare v Lelissa Ishuan Ifidzhen, Favorite: ,Prarthana G Thombare, 9002344   size:2.55,Price: ,1.16,Lelissa Ishuan Ifidzhen, 10601297   size:54.4,Price: ,3.55,ok
