1.120233495, Sport: ,Tennis, Time: ,Tue Aug 25 20:15:00 CEST 2015, Time: ,Tue Aug 25 20:15:00 CEST 2015, Event: ,Sasnovich v Buzarnescu, Favorite: ,Aliaksandra Sasnovich, 7283310   size:81.51,Price: ,1.57,Mihaela Buzarnescu, 5776800   size:2.03,Price: ,2.64,ok
1.120233452, Sport: ,Tennis, Time: ,Tue Aug 25 22:00:00 CEST 2015, Time: ,Tue Aug 25 22:00:00 CEST 2015, Event: ,Gallovits-Hall v Hibi, Favorite: ,Mayo Hibi, 7594221   size:49.97,Price: ,1.49,Edina Gallovits-Hall, 9157608   size:72.39,Price: ,2.9,ok
1.120108602, Sport: ,Soccer, Time: ,Tue Aug 25 20:00:00 CEST 2015, Time: ,Tue Aug 25 20:00:00 CEST 2015, Event: ,Dijon v Metz, Favorite: ,Dijon, 305995   size:163.82,Price: ,2.48,Metz, 44795   size:435.36,Price: ,3.3,The Draw, 58805   size:481.82,Price: ,3.35,ok
1.120210572, Sport: ,Tennis, Time: ,Tue Aug 25 21:00:00 CEST 2015, Time: ,Tue Aug 25 21:00:00 CEST 2015, Event: ,Groenefeld/Larsson v Kalashnikova/Rosolska, Favorite: ,Groenefeld/Larsson, 10165703   size:2.55,Price: ,1.51,Kalashnikova/Rosolska, 7309421   size:2.55,Price: ,2.32,ok
1.120110800, Sport: ,Soccer, Time: ,Tue Aug 25 19:30:00 CEST 2015, Time: ,Tue Aug 25 19:30:00 CEST 2015, Event: ,Rot-Weiss Essen v TuS Erndtebruck, Favorite: ,Rot-Weiss Essen, 886332   size:147.56,Price: ,1.28,The Draw, 58805   size:36.99,Price: ,6.4,TUS Erndtebruck, 10062668   size:2.75,Price: ,14.0,ok
1.120110965, Sport: ,Soccer, Time: ,Tue Aug 25 19:30:00 CEST 2015, Time: ,Tue Aug 25 19:30:00 CEST 2015, Event: ,Viktoria Koln v FC Koln II, Favorite: ,Viktoria Koln, 6542379   size:103.78,Price: ,1.45,The Draw, 58805   size:7.07,Price: ,4.8,FC Koln II, 5288926   size:24.58,Price: ,8.8,ok
1.120210576, Sport: ,Tennis, Time: ,Tue Aug 25 19:30:00 CEST 2015, Time: ,Tue Aug 25 19:30:00 CEST 2015, Event: ,Chan/Dellacqua v King/Savchuk, Favorite: ,Chan/Dellacqua, 9264111   size:2.55,Price: ,1.37,King/Savchuk, 10189194   size:2.55,Price: ,3.3,ok
1.120221754, Sport: ,Basketball, Time: ,Tue Aug 25 21:00:00 CEST 2015, Time: ,Tue Aug 25 21:00:00 CEST 2015, Event: ,Spain v FYR Macedonia, Favorite: ,Spain, 208006   size:4.12,Price: ,1.02,FYR Macedonia, 3298923   size:5.66,Price: ,1.13,ok
1.120220346, Sport: ,Soccer, Time: ,Tue Aug 25 18:15:00 CEST 2015, Time: ,Tue Aug 25 18:15:00 CEST 2015, Event: ,TPK v Wilpas, Favorite: ,TPK, 8580143   size:10.5,Price: ,1.99,Wilpas, 8580144   size:4.11,Price: ,3.15,The Draw, 58805   size:2.65,Price: ,3.9,ok
1.120233490, Sport: ,Tennis, Time: ,Tue Aug 25 20:15:00 CEST 2015, Time: ,Tue Aug 25 20:15:00 CEST 2015, Event: ,Minella v Voegele, Favorite: ,Stefanie Voegele, 3622149   size:7.53,Price: ,1.72,Mandy Minella, 3425152   size:21.67,Price: ,2.16,x
1.120233494, Sport: ,Tennis, Time: ,Tue Aug 25 20:15:00 CEST 2015, Time: ,Tue Aug 25 20:15:00 CEST 2015, Event: ,S Rogers v Min, Favorite: ,Shelby Rogers, 4943786   size:4.48,Price: ,1.36,Grace Min, 6280340   size:3.5,Price: ,3.35,ok
1.120210584, Sport: ,Tennis, Time: ,Tue Aug 25 18:00:00 CEST 2015, Time: ,Tue Aug 25 18:00:00 CEST 2015, Event: ,Jans-Ignacik/Olaru v Goerges/Hradecka, Favorite: ,Goerges/Hradecka, 9653008   size:6.55,Price: ,1.34,Jans-Ignacik/Olaru, 8445653   size:2.55,Price: ,3.3,ok
1.120107523, Sport: ,Soccer, Time: ,Tue Aug 25 20:45:00 CEST 2015, Time: ,Tue Aug 25 20:45:00 CEST 2015, Event: ,Maccabi Tel Aviv v FC Basel, Favorite: ,FC Basel, 2939090   size:16.76,Price: ,2.18,The Draw, 58805   size:4662.9,Price: ,3.65,Maccabi Tel Aviv, 197970   size:411.53,Price: ,3.7,x
