1.120335376, Sport: ,Tennis, Time: ,Tue Sep 01 10:15:00 CEST 2015, Time: ,Tue Sep 01 10:15:00 CEST 2015, Event: ,Uchiyama v Propoggia, Favorite: ,Yasutaka Uchiyama, 5858048   size:6.36,Price: ,1.3,Dane Propoggia, 8188274   size:11.15,Price: ,3.75,ok
1.120341735, Sport: ,Tennis, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Romboli v Sijsling, Favorite: ,Igor Sijsling, 2370190   size:3.54,Price: ,1.29,Fernando Romboli, 5304143   size:13.65,Price: ,4.0,x
1.120329608, Sport: ,Cricket, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Warwickshire v Middlesex, Favorite: ,The Draw, 60443   size:2.62,Price: ,2.02,Middlesex, 31378   size:2.16,Price: ,2.32,Warwickshire, 2120   size:10.25,Price: ,2.48,ok
1.120335393, Sport: ,Tennis, Time: ,Tue Sep 01 12:00:00 CEST 2015, Time: ,Tue Sep 01 12:00:00 CEST 2015, Event: ,L Huang v Trungelliti, Favorite: ,Marco Trungelliti, 6498878   size:6.22,Price: ,1.69,Liang-Chi Huang, 8259002   size:2.76,Price: ,2.24,ok
1.120329684, Sport: ,Cricket, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Yorkshire v Somerset, Favorite: ,Yorkshire, 655   size:3.53,Price: ,1.76,Somerset, 5995   size:2.2,Price: ,2.82,The Draw, 60443   size:2.11,Price: ,2.94,ok
1.120350551, Sport: ,Tennis, Time: ,Tue Sep 01 13:15:00 CEST 2015, Time: ,Tue Sep 01 13:15:00 CEST 2015, Event: ,Dustov v Gomez-Herrera, Favorite: ,Farrukh Dustov, 2386930   size:21.33,Price: ,1.57,Carlos Gomez-Herrera, 8327032   size:5.0,Price: ,2.64,x
1.120350335, Sport: ,Soccer, Time: ,Tue Sep 01 12:00:00 CEST 2015, Time: ,Tue Sep 01 12:00:00 CEST 2015, Event: ,Can Tho v Song Lam Nghe An, Favorite: ,Can Tho, 9038412   size:22.97,Price: ,1.98,Song Lam Nghe An, 5519049   size:6.41,Price: ,3.5,The Draw, 58805   size:7.97,Price: ,3.9,ok
1.120120761, Sport: ,Volleyball, Time: ,Tue Sep 01 12:20:00 CEST 2015, Time: ,Tue Sep 01 12:20:00 CEST 2015, Event: ,Japan v Serbia, Favorite: ,Serbia, 2010254   size:14.46,Price: ,1.38,Japan, 1175884   size:4.12,Price: ,3.15,ok
1.120350798, Sport: ,Soccer, Time: ,Tue Sep 01 13:00:00 CEST 2015, Time: ,Tue Sep 01 13:00:00 CEST 2015, Event: ,Arema Cronus v Persela Lamongan, Favorite: ,Arema Cronus, 8567505   size:2.64,Price: ,1.51,The Draw, 58805   size:2.64,Price: ,4.1,Persela Lamongan, 5227372   size:27.5,Price: ,4.9,x
1.120350855, Sport: ,Soccer, Time: ,Tue Sep 01 10:00:00 CEST 2015, Time: ,Tue Sep 01 10:00:00 CEST 2015, Event: ,Sriwijaya FC v PSGC Ciamis, Favorite: ,Sriwijaya FC, 9156946   size:10.64,Price: ,1.51,The Draw, 58805   size:2.65,Price: ,3.85,PSGC Ciamis, 8501907   size:23.89,Price: ,5.0,ok
1.120353748, Sport: ,Tennis, Time: ,Tue Sep 01 08:30:00 CEST 2015, Time: ,Tue Sep 01 08:30:00 CEST 2015, Event: ,Wachiramanowong v Tearney, Favorite: ,Finn Tearney, 8185630   size:10.63,Price: ,1.46,Kittipong Wachiramanowo, 9180271   size:3.4,Price: ,2.94,x
1.120329681, Sport: ,Cricket, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Worcestershire v Sussex, Favorite: ,Worcestershire, 31372   size:2.65,Price: ,2.34,The Draw, 60443   size:2.48,Price: ,2.5,Sussex, 31379   size:2.44,Price: ,2.54,x
1.120351748, Sport: ,Soccer, Time: ,Tue Sep 01 13:00:00 CEST 2015, Time: ,Tue Sep 01 13:00:00 CEST 2015, Event: ,FK Senica U19 v Banska Bystrica U19, Favorite: ,Banska Bystrica U19, 7154587   size:10.64,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,3.55,x
1.120350539, Sport: ,Tennis, Time: ,Tue Sep 01 10:00:00 CEST 2015, Time: ,Tue Sep 01 10:00:00 CEST 2015, Event: ,Eremin v Sonego, Favorite: ,Edoardo Eremin, 8284480   size:5.76,Price: ,1.78,Lorenzo Sonego, 8826925   size:5.02,Price: ,2.24,x
1.120361261, Sport: ,Cricket, Time: ,Tue Sep 01 13:00:00 CEST 2015, Time: ,Tue Sep 01 13:00:00 CEST 2015, Event: ,Azad Jammu + Kashmir v Lahore Blues, Favorite: ,Lahore Blues, 10223888   size:113.81,Price: ,1.03,ok
1.120348325, Sport: ,Soccer, Time: ,Tue Sep 01 13:00:00 CEST 2015, Time: ,Tue Sep 01 13:00:00 CEST 2015, Event: ,Mohammedan SC v Tollygunge Agragami, Favorite: ,Tollygunge Agragami, 8680574   size:10.0,Price: ,1.1,The Draw, 58805   size:2.73,Price: ,1.25,x
1.120335367, Sport: ,Tennis, Time: ,Tue Sep 01 10:15:00 CEST 2015, Time: ,Tue Sep 01 10:15:00 CEST 2015, Event: ,Zhe Li v Sarkissian, Favorite: ,Alexander Sarkissian, 8734382   size:5.9,Price: ,1.78,Zhe Li, 5038271   size:6.88,Price: ,2.14,ok
1.120329713, Sport: ,Cricket, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Surrey v Derbyshire, Favorite: ,Surrey, 424676   size:2.46,Price: ,1.68,The Draw, 60443   size:2.25,Price: ,2.76,Derbyshire, 31375   size:4.4,Price: ,3.3,ok
