1.122345967, Sport: ,Basketball, Time: ,Sun Dec 20 19:00:00 CET 2015, Time: ,Sun Dec 20 19:00:00 CET 2015, Event: ,Melilla v Lleida, Favorite: ,Melilla, 4661088   size:10.09,Price: ,1.16,Lleida, 5021018   size:13.97,Price: ,5.9,ok
1.122115157, Sport: ,Darts, Time: ,Sun Dec 20 14:10:00 CET 2015, Time: ,Sun Dec 20 14:10:00 CET 2015, Event: ,Michael Rasztovits v Rob Szabo, Favorite: ,Rob Szabo, 8088836   size:18.67,Price: ,1.65,Michael Rasztovits, 10587644   size:23.98,Price: ,2.46,ok
1.122347908, Sport: ,Soccer, Time: ,Sun Dec 20 14:30:00 CET 2015, Time: ,Sun Dec 20 14:30:00 CET 2015, Event: ,FC Lienden v HBS, Favorite: ,FC Lienden, 3348587   size:9.74,Price: ,1.33,HBS, 5819744   size:6.52,Price: ,6.8,The Draw, 58805   size:42.45,Price: ,4.3,ok
1.122287755, Sport: ,Soccer, Time: ,Sun Dec 20 10:30:00 CET 2015, Time: ,Sun Dec 20 10:30:00 CET 2015, Event: ,Mumbai v RCF, Favorite: ,Mumbai, 5969072   size:35.76,Price: ,1.13,RCF, 8496715   size:7.05,Price: ,14.5,The Draw, 58805   size:5.22,Price: ,10.0,ok
1.122307494, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,Shandong v Shanghai, Favorite: ,Shandong, 8926903   size:340.99,Price: ,1.22,Shanghai, 8926900   size:21.0,Price: ,4.6,ok
1.122307495, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,Shanxi v Guangdong, Favorite: ,Guangdong, 6260619   size:2.55,Price: ,1.2,Shanxi, 8926913   size:2.55,Price: ,5.4,ok
1.122307498, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,Zhejiang Guangsha v Zhejiang Chouzhou, Favorite: ,Zhejiang Guangsha, 8926901   size:2.55,Price: ,1.12,Zhejiang Chouzhou, 8926899   size:11.25,Price: ,5.0,ok
1.122307497, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,Tianjin v Beijing, Favorite: ,Beijing, 6254117   size:417.08,Price: ,1.1,Tianjin, 8926906   size:10.97,Price: ,5.1,ok
1.122342653, Sport: ,Soccer, Time: ,Sun Dec 20 20:30:00 CET 2015, Time: ,Sun Dec 20 20:30:00 CET 2015, Event: ,Nacional Potosi v Bolivar, Favorite: ,Bolivar, 329419   size:3.68,Price: ,1.83,Nacional Potosi, 5885611   size:98.56,Price: ,3.9,The Draw, 58805   size:93.51,Price: ,4.1,ok
1.122328597, Sport: ,Soccer, Time: ,Sun Dec 20 16:00:00 CET 2015, Time: ,Sun Dec 20 16:00:00 CET 2015, Event: ,CD Pradejon v SD Logrones, Favorite: ,CD Pradejon, 7708972   size:9.2,Price: ,1.06,SD Logrones, 6399685   size:9.2,Price: ,1.06,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122328631, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,CP Calasancio v Naxara CD, Favorite: ,CP Calasancio, 7237060   size:9.2,Price: ,1.06,Naxara CD, 8532026   size:9.2,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,3.1,x
1.122328595, Sport: ,Soccer, Time: ,Sun Dec 20 16:00:00 CET 2015, Time: ,Sun Dec 20 16:00:00 CET 2015, Event: ,CA Monzon v CD Cuarte Industrial, Favorite: ,CA Monzon, 9453566   size:9.2,Price: ,1.06,CD Cuarte Industrial, 6400481   size:9.2,Price: ,1.06,The Draw, 58805   size:4.11,Price: ,3.1,x
1.122307492, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,JiangSu Tongxi v Fujian, Favorite: ,JiangSu Tongxi, 8926916   size:267.89,Price: ,1.28,Fujian, 8926905   size:2.35,Price: ,4.4,ok
1.122328591, Sport: ,Soccer, Time: ,Sun Dec 20 16:00:00 CET 2015, Time: ,Sun Dec 20 16:00:00 CET 2015, Event: ,CF Soller v CF Platges de Calvia, Favorite: ,CF Soller, 8870825   size:3.77,Price: ,2.52,CF Platges de Calvia, 7708961   size:2.55,Price: ,2.66,The Draw, 58805   size:6.04,Price: ,3.1,x
1.122284891, Sport: ,Volleyball, Time: ,Sun Dec 20 15:00:00 CET 2015, Time: ,Sun Dec 20 15:00:00 CET 2015, Event: ,Guvd Dinamo Krasnodar v UFA Ural, Favorite: ,Ufa Ural, 10444921   size:2.55,Price: ,1.3,Guvd Dinamo Krasnodar, 10444923   size:2.55,Price: ,3.7,x
1.122328599, Sport: ,Soccer, Time: ,Sun Dec 20 16:00:00 CET 2015, Time: ,Sun Dec 20 16:00:00 CET 2015, Event: ,Utebo CF v CD Sarinena, Favorite: ,Utebo CF, 7295691   size:2.55,Price: ,1.74,CD Sarinena, 6415490   size:4.12,Price: ,3.95,The Draw, 58805   size:4.5,Price: ,3.25,ok
1.122328633, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,Muleno CF v CAP Ciudad Murcia, Favorite: ,Muleno CF, 8343595   size:2.06,Price: ,1.88,CAP Ciudad Murcia, 10243065   size:59.26,Price: ,3.85,The Draw, 58805   size:6.17,Price: ,3.3,x
1.122284893, Sport: ,Volleyball, Time: ,Sun Dec 20 12:00:00 CET 2015, Time: ,Sun Dec 20 12:00:00 CET 2015, Event: ,Kuzbass Kemerovo v Nova Novokuybyishevsk, Favorite: ,Kuzbass Kemerovo, 6068578   size:7.21,Price: ,1.15,Nova Novokuybyishevsk, 8864835   size:17.44,Price: ,5.6,ok
1.122308905, Sport: ,Basketball, Time: ,Sun Dec 20 12:45:00 CET 2015, Time: ,Sun Dec 20 12:45:00 CET 2015, Event: ,Tsmoki Minsk v Khimki, Favorite: ,Khimki, 2154546   size:5.98,Price: ,1.14,Tsmoki Minsk, 6815371   size:16.4,Price: ,4.4,ok
1.122284894, Sport: ,Volleyball, Time: ,Sun Dec 20 12:00:00 CET 2015, Time: ,Sun Dec 20 12:00:00 CET 2015, Event: ,Lokomotiv Novosibirsk v Dinamo Moscow, Favorite: ,Dinamo Moscow, 1288570   size:3.53,Price: ,1.47,Lokomotiv Novosibirsk, 6024996   size:2.55,Price: ,2.74,ok
1.122284896, Sport: ,Volleyball, Time: ,Sun Dec 20 13:00:00 CET 2015, Time: ,Sun Dec 20 13:00:00 CET 2015, Event: ,Yugra Samotlor v Neftyanik Orenburg, Favorite: ,Yugra Samotlor, 8899424   size:12.05,Price: ,1.42,Neftyanik Orenburg, 8910450   size:17.18,Price: ,2.88,ok
1.122093196, Sport: ,Darts, Time: ,Sun Dec 20 15:00:00 CET 2015, Time: ,Sun Dec 20 15:00:00 CET 2015, Event: ,Andy Hamilton v Joe Murnan, Favorite: ,Andy Hamilton, 2414377   size:2.74,Price: ,1.75,Joe Murnan, 3120569   size:27.4,Price: ,2.3,x
1.122342763, Sport: ,Soccer, Time: ,Sun Dec 20 11:00:00 CET 2015, Time: ,Sun Dec 20 11:00:00 CET 2015, Event: ,Juventus U19 v Genoa CFC U19, Favorite: ,Juventus U19, 2502329   size:2.01,Price: ,1.37,Genoa CFC U19, 6614046   size:6.34,Price: ,9.0,The Draw, 58805   size:8.63,Price: ,5.4,ok
1.122328587, Sport: ,Soccer, Time: ,Sun Dec 20 15:45:00 CET 2015, Time: ,Sun Dec 20 15:45:00 CET 2015, Event: ,CD Becerril v Ciudad Rodrigo CF, Favorite: ,Ciudad Rodrigo CF, 10185166   size:2.38,Price: ,2.1,CD Becerril, 8041102   size:4.09,Price: ,3.2,The Draw, 58805   size:4.09,Price: ,3.2,x
1.122328585, Sport: ,Soccer, Time: ,Sun Dec 20 15:45:00 CET 2015, Time: ,Sun Dec 20 15:45:00 CET 2015, Event: ,CF Villa de Alagon v AD Sabinanigo, Favorite: ,CF Villa de Alagon, 8923239   size:9.2,Price: ,1.06,AD Sabinanigo, 6069401   size:9.2,Price: ,1.06,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122252584, Sport: ,Soccer, Time: ,Sun Dec 20 16:15:00 CET 2015, Time: ,Sun Dec 20 16:15:00 CET 2015, Event: ,PAS Giannina v Xanthi, Favorite: ,PAS Giannina, 1534030   size:205.57,Price: ,2.18,Xanthi, 728086   size:90.86,Price: ,3.85,The Draw, 58805   size:276.46,Price: ,3.3,x
1.122328581, Sport: ,Soccer, Time: ,Sun Dec 20 15:45:00 CET 2015, Time: ,Sun Dec 20 15:45:00 CET 2015, Event: ,Real Aviles v CD Roces, Favorite: ,Real Aviles, 5924349   size:2.55,Price: ,1.17,CD Roces, 8808432   size:34.26,Price: ,19.0,The Draw, 58805   size:34.26,Price: ,5.7,ok
1.122328627, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,CD Arnedo v CD Alfaro, Favorite: ,CD Arnedo, 7708971   size:9.2,Price: ,1.06,CD Alfaro, 8092661   size:9.2,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,3.1,x
1.122328625, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,UD Fraga v SD Borja, Favorite: ,UD Fraga, 10381911   size:9.2,Price: ,1.06,SD Borja, 8764588   size:9.2,Price: ,1.06,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122328621, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,SD Tarazona v CD Carinena, Favorite: ,SD Tarazona, 6069400   size:9.2,Price: ,1.06,CD Carinena, 10403001   size:9.2,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,3.15,x
