1.121727827, Sport: ,Tennis, Time: ,Wed Nov 11 18:45:00 CET 2015, Time: ,Wed Nov 11 18:45:00 CET 2015, Event: ,Arguello/Dellien v Ward/Ward, Favorite: ,Arguello/Dellien, 10507814   size:4.99,Price: ,1.56,Ward/Ward, 10507815   size:2.24,Price: ,2.64,x
1.121727828, Sport: ,Tennis, Time: ,Wed Nov 11 16:00:00 CET 2015, Time: ,Wed Nov 11 16:00:00 CET 2015, Event: ,Carballes Baen/Vervoort v Peralta/Zeballos, Favorite: ,Peralta/Zeballos, 10409109   size:3.76,Price: ,1.33,Carballes Baen/Vervoort, 10483995   size:2.14,Price: ,2.34,x
1.121716976, Sport: ,Tennis, Time: ,Wed Nov 11 12:30:00 CET 2015, Time: ,Wed Nov 11 12:30:00 CET 2015, Event: ,Nedovyesov v Ar Smirnov, Favorite: ,Aleksandr Nedovyesov, 8188266   size:90.59,Price: ,1.63,Artem Smirnov, 3813051   size:87.75,Price: ,2.48,x
1.121733661, Sport: ,Basketball, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Jekabpils v Jurmala, Favorite: ,Jurmala, 8916815   size:203.92,Price: ,1.35,Jekabpils, 7735550   size:149.38,Price: ,1.48,x
1.121679726, Sport: ,Volleyball, Time: ,Wed Nov 11 09:00:00 CET 2015, Time: ,Wed Nov 11 09:00:00 CET 2015, Event: ,Hyundai Hillstate v KGC Pro VC, Favorite: ,Hyundai Hillstate, 10391682   size:3782.9,Price: ,1.01,KGC Pro VC, 10391695   size:2.45,Price: ,2.04,ok
1.121733781, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Etha Engomis v Juventus, Favorite: ,Juventus, 5244996   size:2.55,Price: ,1.3,Etha Engomis, 5848672   size:8.94,Price: ,4.3,ok
1.121748748, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,Okuda v Kennel, Favorite: ,Karin Kennel, 9246669   size:3.0,Price: ,1.04,Akiko Okuda, 10116462   size:7.43,Price: ,4.0,ok
1.121727822, Sport: ,Tennis, Time: ,Wed Nov 11 18:45:00 CET 2015, Time: ,Wed Nov 11 18:45:00 CET 2015, Event: ,Demoliner/Elias v Galdos/Londero, Favorite: ,Demoliner/Elias, 8462580   size:2.55,Price: ,1.36,Galdos/Londero, 10507813   size:2.92,Price: ,2.22,ok
1.121726626, Sport: ,Tennis, Time: ,Wed Nov 11 17:45:00 CET 2015, Time: ,Wed Nov 11 17:45:00 CET 2015, Event: ,Poullain/Stouff v Albot/Gabashvili, Favorite: ,Albot/Gabashvili, 10507586   size:5.57,Price: ,1.06,Poullain/Stouff, 10507585   size:6.5,Price: ,6.0,x
1.121726747, Sport: ,Tennis, Time: ,Wed Nov 11 17:45:00 CET 2015, Time: ,Wed Nov 11 17:45:00 CET 2015, Event: ,Grigelis/Motti v Crepaldi/Jankovits, Favorite: ,Grigelis/Motti, 10507634   size:2.55,Price: ,1.43,Crepaldi/Jankovits, 10250981   size:19.52,Price: ,2.02,x
1.121726624, Sport: ,Tennis, Time: ,Wed Nov 11 12:30:00 CET 2015, Time: ,Wed Nov 11 12:30:00 CET 2015, Event: ,Arends/Majchrowicz v Boltz/Sakharov, Favorite: ,Arends/Majchrowicz, 10434608   size:2.55,Price: ,1.22,Boltz/Sakharov, 10507583   size:2.13,Price: ,3.05,ok
1.121745266, Sport: ,Soccer, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,LSK Lillestrom (W) v Frankfurt (W), Favorite: ,Frankfurt (W), 2983170   size:2.55,Price: ,1.16,LSK Lillestrom (W), 7642419   size:5.33,Price: ,8.4,The Draw, 58805   size:5.49,Price: ,6.6,ok
1.121726705, Sport: ,Tennis, Time: ,Wed Nov 11 10:00:00 CET 2015, Time: ,Wed Nov 11 10:00:00 CET 2015, Event: ,Friedsam/Piter v Kuncikova/Stuchla, Favorite: ,Friedsam/Piter, 10343288   size:3.18,Price: ,1.57,Kuncikova/Stuchla, 9493903   size:2.05,Price: ,2.36,x
1.121726749, Sport: ,Tennis, Time: ,Wed Nov 11 16:00:00 CET 2015, Time: ,Wed Nov 11 16:00:00 CET 2015, Event: ,Krawietz/Marterer v Neuchrist/Weissborn, Favorite: ,Neuchrist/Weissborn, 10507637   size:2.55,Price: ,1.53,Krawietz/Marterer, 8943971   size:3.53,Price: ,1.84,ok
