1.121721077, Sport: ,Soccer, Time: ,Mon Nov 09 10:00:00 CET 2015, Time: ,Mon Nov 09 10:00:00 CET 2015, Event: ,Japan (Students) v Bangu, Favorite: ,Japan (Students), 7363895   size:3.31,Price: ,1.09,Bangu, 3624446   size:7.96,Price: ,1.09,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121724940, Sport: ,Tennis, Time: ,Mon Nov 09 03:00:00 CET 2015, Time: ,Mon Nov 09 03:00:00 CET 2015, Event: ,Kapas v Makoto Ochi, Favorite: ,Andriej Kapas, 7412768   size:2.45,Price: ,1.77,Makoto Ochi, 8978439   size:2.55,Price: ,2.0,ok
1.121705344, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,Juventud Independiente v Isidro Metapan, Favorite: ,Isidro Metapan, 4864112   size:14.0,Price: ,1.77,Juventud Independiente, 8517476   size:7.6,Price: ,4.5,The Draw, 58805   size:9.5,Price: ,3.45,x
1.121725008, Sport: ,Tennis, Time: ,Mon Nov 09 03:00:00 CET 2015, Time: ,Mon Nov 09 03:00:00 CET 2015, Event: ,Shiga v Young  Kim, Favorite: ,Young Seok Kim, 8506200   size:6.42,Price: ,1.46,Masato Shiga, 8505205   size:4.13,Price: ,2.48,ok
1.121581157, Sport: ,Soccer, Time: ,Sun Nov 08 20:45:00 CET 2015, Time: ,Sun Nov 08 20:45:00 CET 2015, Event: ,Sampdoria v Fiorentina, Favorite: ,Fiorentina, 676467   size:3286.85,Price: ,1.32,Sampdoria, 60311   size:442.04,Price: ,14.0,The Draw, 58805   size:810.12,Price: ,5.5,ok
1.121642676, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Ferro Carril Oeste v Gimnasia Mendoza, Favorite: ,Ferro Carril Oeste, 5985279   size:101.0,Price: ,1.99,Gimnasia Mendoza, 9229725   size:2.8,Price: ,5.9,The Draw, 58805   size:549.0,Price: ,2.82,ok
1.121724558, Sport: ,Darts, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,Mervyn King v Scott Mitchell, Favorite: ,Mervyn King, 2414379   size:7.16,Price: ,1.86,Scott Mitchell, 2441761   size:13.44,Price: ,2.12,ok
1.121706706, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,CSD Comunicacniones II v Deportivo Sacachispas, Favorite: ,CSD Comunicacniones II, 10378384   size:5.0,Price: ,1.07,Deportivo Sacachispas, 10503262   size:4.62,Price: ,2.12,The Draw, 58805   size:11.49,Price: ,1.87,ok
1.121716610, Sport: ,Tennis, Time: ,Mon Nov 09 08:00:00 CET 2015, Time: ,Mon Nov 09 08:00:00 CET 2015, Event: ,R Ozaki v Y Duan, Favorite: ,Ying-Ying Duan, 8243878   size:2.55,Price: ,1.45,Risa Ozaki, 7593284   size:109.9,Price: ,2.82,ok
1.121623610, Sport: ,Soccer, Time: ,Mon Nov 09 04:00:00 CET 2015, Time: ,Mon Nov 09 04:00:00 CET 2015, Event: ,Vancouver Whitecaps v Portland Timbers, Favorite: ,Vancouver Whitecaps, 5383053   size:35.88,Price: ,2.14,Portland Timbers, 4004854   size:75.57,Price: ,3.7,The Draw, 58805   size:50.0,Price: ,3.65,x
1.121586484, Sport: ,Soccer, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Deportivo Petare v Zulia, Favorite: ,Zulia, 8018679   size:11.18,Price: ,2.3,Deportivo Petare, 5264881   size:9.53,Price: ,3.4,The Draw, 58805   size:15.33,Price: ,3.15,ok
1.121627737, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,Cortulua v Aguilas Pereira, Favorite: ,Cortulua, 9188271   size:15.42,Price: ,2.26,Aguilas Pereira, 9188261   size:4.62,Price: ,3.85,The Draw, 58805   size:41.85,Price: ,3.2,x
1.121641108, Sport: ,Soccer, Time: ,Sun Nov 08 22:15:00 CET 2015, Time: ,Sun Nov 08 22:15:00 CET 2015, Event: ,Tigre v Racing Club, Favorite: ,Racing Club, 198558   size:111.01,Price: ,2.52,Tigre, 2451815   size:186.05,Price: ,3.25,The Draw, 58805   size:189.86,Price: ,3.3,x
1.121713300, Sport: ,Soccer, Time: ,Sun Nov 08 22:30:00 CET 2015, Time: ,Sun Nov 08 22:30:00 CET 2015, Event: ,Aragua v Portuguesa (Ven), Favorite: ,Aragua, 3284244   size:7.09,Price: ,1.57,Portuguesa (Ven), 8780076   size:2.8,Price: ,7.8,The Draw, 58805   size:7.28,Price: ,4.1,ok
1.121704480, Sport: ,Soccer, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Limon v Herediano, Favorite: ,Herediano, 4067826   size:23.41,Price: ,1.98,Limon, 7050467   size:26.35,Price: ,4.3,The Draw, 58805   size:43.17,Price: ,3.6,x
1.121572566, Sport: ,Basketball, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,LA Lakers @ New York, Favorite: ,New York, 13106   size:129.71,Price: ,1.49,LA Lakers, 2120881   size:115.25,Price: ,3.0,ok
1.121724672, Sport: ,Tennis, Time: ,Sun Nov 08 20:15:00 CET 2015, Time: ,Sun Nov 08 20:15:00 CET 2015, Event: ,Milton v A Hiltzik, Favorite: ,Joshua Milton, 3985858   size:2.53,Price: ,1.29,Aron Hiltzik, 8659697   size:11.51,Price: ,3.4,ok
1.121724673, Sport: ,Tennis, Time: ,Sun Nov 08 20:59:00 CET 2015, Time: ,Sun Nov 08 20:59:00 CET 2015, Event: ,T Kopinski v Nevolo, Favorite: ,Tim Kopinski, 8661121   size:28.03,Price: ,1.1,Dennis Nevolo, 8258597   size:28.03,Price: ,1.1,x
1.121575476, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Lyon v St Etienne, Favorite: ,Lyon, 55271   size:116.07,Price: ,2.08,St Etienne, 309689   size:278.27,Price: ,4.3,The Draw, 58805   size:202.47,Price: ,3.4,ok
1.121713190, Sport: ,Soccer, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Estudiantes de Merida v Mineros Guayana, Favorite: ,Mineros Guayana, 7456728   size:25.53,Price: ,2.68,Estudiantes de Merida, 7838019   size:16.4,Price: ,2.7,The Draw, 58805   size:33.06,Price: ,3.3,x
1.121725019, Sport: ,Tennis, Time: ,Mon Nov 09 03:00:00 CET 2015, Time: ,Mon Nov 09 03:00:00 CET 2015, Event: ,Takeuchi v Yui Ito, Favorite: ,Kento Takeuchi, 8230215   size:2.55,Price: ,1.54,Yuichi Ito, 3375669   size:2.55,Price: ,2.3,ok
1.121724569, Sport: ,Darts, Time: ,Sun Nov 08 22:30:00 CET 2015, Time: ,Sun Nov 08 22:30:00 CET 2015, Event: ,Adrian Lewis v Michael Smith, Favorite: ,Adrian Lewis, 2271003   size:442.76,Price: ,1.57,Michael Smith, 3066962   size:22.61,Price: ,2.48,x
1.121713078, Sport: ,Soccer, Time: ,Sun Nov 08 20:30:00 CET 2015, Time: ,Sun Nov 08 20:30:00 CET 2015, Event: ,Urena v Deportivo Tachira, Favorite: ,Urena, 9990099   size:5.0,Price: ,1.03,Deportivo Tachira, 712865   size:280.29,Price: ,1.43,The Draw, 58805   size:5.58,Price: ,3.35,x
1.121716622, Sport: ,Tennis, Time: ,Mon Nov 09 09:30:00 CET 2015, Time: ,Mon Nov 09 09:30:00 CET 2015, Event: ,X Han v Wongteanchai, Favorite: ,Xinyun Han, 3172285   size:2.55,Price: ,1.41,Varatchaya Wongteanchai, 4503064   size:2.55,Price: ,3.15,x
1.121628839, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,Universitario v Sport Loreto, Favorite: ,Universitario, 330229   size:15.37,Price: ,1.6,Sport Loreto, 9216261   size:4.75,Price: ,7.4,The Draw, 58805   size:81.61,Price: ,4.1,x
