1.121340332, Sport: ,Tennis, Time: ,Wed Oct 21 09:23:00 CEST 2015, Time: ,Wed Oct 21 09:23:00 CEST 2015, Event: ,Matsui/Moriya v Mektic/Skugor, Favorite: ,Mektic/Skugor, 9146543   size:11.68,Price: ,1.57,Matsui/Moriya, 10433869   size:9.1,Price: ,2.32,ok
1.121331624, Sport: ,Tennis, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Davydenko/Vatutin v Betov/Elgin, Favorite: ,Betov/Elgin, 8908427   size:2.55,Price: ,1.16,Davydenko/Vatutin, 9568070   size:6.95,Price: ,5.8,ok
1.121237393, Sport: ,Ice Hockey, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Metallurg Nk v Severstal, Favorite: ,Severstal, 2560282   size:5.72,Price: ,2.28,Metallurg Nk, 3599244   size:5.0,Price: ,2.8,Tie, 60104   size:7.19,Price: ,3.85,x
1.121351056, Sport: ,Tennis, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,Youzhny v Karatsev, Favorite: ,Mikhail Youzhny, 2263536   size:47.83,Price: ,1.41,Aslan Karatsev, 7659748   size:8.78,Price: ,3.3,x
1.121002687, Sport: ,Soccer, Time: ,Wed Oct 21 20:45:00 CEST 2015, Time: ,Wed Oct 21 20:45:00 CEST 2015, Event: ,Galatasaray v Benfica, Favorite: ,Benfica, 48783   size:221.83,Price: ,2.22,Galatasaray, 2436   size:593.87,Price: ,3.75,The Draw, 58805   size:2176.79,Price: ,3.5,x
1.121268506, Sport: ,Handball, Time: ,Wed Oct 21 20:15:00 CEST 2015, Time: ,Wed Oct 21 20:15:00 CEST 2015, Event: ,Goppingen v Fuchse Berlin, Favorite: ,Goppingen, 2046558   size:67.97,Price: ,1.68,Fuchse Berlin, 2476365   size:67.97,Price: ,2.58,Draw, 330157   size:48.55,Price: ,8.0,ok
1.120662158, Sport: ,Cricket, Time: ,Wed Oct 21 20:00:00 CEST 2015, Time: ,Wed Oct 21 20:00:00 CEST 2015, Event: ,West Indies (W) v Pakistan (W) (3rd ODI), Favorite: ,West Indies (W), 6630398   size:3.45,Price: ,1.45,Pakistan (W), 6669067   size:4.52,Price: ,2.54,ok
1.121279077, Sport: ,Handball, Time: ,Wed Oct 21 18:45:00 CEST 2015, Time: ,Wed Oct 21 18:45:00 CEST 2015, Event: ,Kiel v Celje Pivovarna Lasko, Favorite: ,Kiel, 2027628   size:2.97,Price: ,1.02,Celje Pivovarna Lasko, 623997   size:18.0,Price: ,1.03,Draw, 330157   size:18.0,Price: ,1.03,ok
1.121330375, Sport: ,Tennis, Time: ,Wed Oct 21 10:00:00 CEST 2015, Time: ,Wed Oct 21 10:00:00 CEST 2015, Event: ,Al Bedene v Istomin, Favorite: ,Denis Istomin, 2765780   size:622.65,Price: ,1.53,Aljaz Bedene, 5706996   size:87.09,Price: ,2.82,ok
1.121002808, Sport: ,Soccer, Time: ,Wed Oct 21 20:45:00 CEST 2015, Time: ,Wed Oct 21 20:45:00 CEST 2015, Event: ,Juventus v Mgladbach, Favorite: ,Juventus, 2423   size:4594.38,Price: ,1.47,Mgladbach, 84649   size:171.19,Price: ,8.8,The Draw, 58805   size:1578.43,Price: ,4.7,x
1.121323009, Sport: ,Soccer, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,HB Koge v Silkeborg, Favorite: ,HB Koge, 3981030   size:84.79,Price: ,2.58,Silkeborg, 28216   size:50.68,Price: ,3.0,The Draw, 58805   size:9.12,Price: ,3.35,x
