1.121806551, Sport: ,Tennis, Time: ,Fri Nov 13 20:21:00 CET 2015, Time: ,Fri Nov 13 20:21:00 CET 2015, Event: ,L Broady v J Donaldson, Favorite: ,Jared Donaldson, 7413423   size:6718.76,Price: ,1.05,Liam Broady, 5626816   size:5.67,Price: ,17.5,ok
1.121806671, Sport: ,Soccer, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,Sportivo Italiano v Flandria, Favorite: ,Flandria, 9509138   size:53.05,Price: ,2.5,Sportivo Italiano, 5971717   size:38.03,Price: ,3.2,The Draw, 58805   size:13.51,Price: ,2.9,ok
1.121621798, Sport: ,Cricket, Time: ,Sat Nov 14 04:00:00 CET 2015, Time: ,Sat Nov 14 04:00:00 CET 2015, Event: ,Bangladesh U19 v Zimbabwe U19 (3rd ODI), Favorite: ,Zimbabwe U19, 7673495   size:118.19,Price: ,1.03,Bangladesh U19, 910426   size:2110.57,Price: ,1.1,x
1.121819225, Sport: ,Tennis, Time: ,Sat Nov 14 05:30:00 CET 2015, Time: ,Sat Nov 14 05:30:00 CET 2015, Event: ,Kapas v Imai, Favorite: ,Andriej Kapas, 7412768   size:8.38,Price: ,1.04,Shintaro Imai, 8997141   size:4.19,Price: ,1.08,x
1.121667552, Sport: ,Soccer, Time: ,Sat Nov 14 00:00:00 CET 2015, Time: ,Sat Nov 14 00:00:00 CET 2015, Event: ,Paysandu v Luverdense, Favorite: ,Paysandu, 189951   size:324.71,Price: ,1.89,Luverdense, 4525645   size:7.46,Price: ,4.8,The Draw, 58805   size:49.07,Price: ,3.75,ok
1.121746606, Sport: ,Basketball, Time: ,Sat Nov 14 03:00:00 CET 2015, Time: ,Sat Nov 14 03:00:00 CET 2015, Event: ,McNeese State @ LSU, Favorite: ,McNeese State, 739711   size:8.38,Price: ,1.04,LSU, 352409   size:8.38,Price: ,1.04,x
1.121819185, Sport: ,Tennis, Time: ,Sat Nov 14 05:30:00 CET 2015, Time: ,Sat Nov 14 05:30:00 CET 2015, Event: ,Noda v Takeuchi, Favorite: ,Kento Takeuchi, 8230215   size:6.95,Price: ,1.02,Teppei Noda, 8978411   size:6.05,Price: ,2.14,ok
1.121746449, Sport: ,Basketball, Time: ,Fri Nov 13 23:00:00 CET 2015, Time: ,Fri Nov 13 23:00:00 CET 2015, Event: ,Colorado v Iowa State, Favorite: ,Iowa State, 708779   size:256.36,Price: ,1.18,Colorado, 697643   size:17.78,Price: ,5.5,ok
1.121667271, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Poland v Iceland, Favorite: ,Iceland, 231372   size:111.93,Price: ,2.78,Poland, 8207   size:22.59,Price: ,3.0,The Draw, 58805   size:60.94,Price: ,3.2,x
1.121746600, Sport: ,Basketball, Time: ,Sat Nov 14 01:30:00 CET 2015, Time: ,Sat Nov 14 01:30:00 CET 2015, Event: ,Maine @ Connecticut, Favorite: ,Maine, 751732   size:8.38,Price: ,1.04,Connecticut, 332194   size:8.38,Price: ,1.04,x
1.121766515, Sport: ,Basketball, Time: ,Sat Nov 14 01:35:00 CET 2015, Time: ,Sat Nov 14 01:35:00 CET 2015, Event: ,Atlanta @ Boston, Favorite: ,Atlanta, 13114   size:931.44,Price: ,1.98,Boston, 13108   size:5.0,Price: ,1.99,x
1.121667648, Sport: ,Soccer, Time: ,Sat Nov 14 00:00:00 CET 2015, Time: ,Sat Nov 14 00:00:00 CET 2015, Event: ,ABC v Mogi Mirim, Favorite: ,abc, 3794139   size:440.16,Price: ,1.57,Mogi Mirim, 1039199   size:162.34,Price: ,6.8,The Draw, 58805   size:44.1,Price: ,4.4,ok
1.121769477, Sport: ,Soccer, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Gibraltar United FC v St. Josephs FC, Favorite: ,St. Josephs FC, 8891285   size:4712.71,Price: ,1.01,Gibraltar United FC, 10419065   size:10.0,Price: ,180.0,The Draw, 58805   size:3.99,Price: ,21.0,ok
1.121810921, Sport: ,Tennis, Time: ,Sat Nov 14 04:00:00 CET 2015, Time: ,Sat Nov 14 04:00:00 CET 2015, Event: ,Millman v Yo Nishioka, Favorite: ,John Millman, 4415206   size:69.39,Price: ,1.43,Yoshihito Nishioka, 7137497   size:6.14,Price: ,2.9,ok
1.121746553, Sport: ,Basketball, Time: ,Sat Nov 14 01:00:00 CET 2015, Time: ,Sat Nov 14 01:00:00 CET 2015, Event: ,Eastern Illinois @ Indiana, Favorite: ,Indiana, 13116   size:2.83,Price: ,1.02,Eastern Illinois, 718717   size:12.51,Price: ,4.4,ok
1.121746550, Sport: ,Basketball, Time: ,Sat Nov 14 05:30:00 CET 2015, Time: ,Sat Nov 14 05:30:00 CET 2015, Event: ,Rice @ California, Favorite: ,California, 352410   size:8.38,Price: ,1.04,Rice, 675921   size:6.05,Price: ,2.16,ok
1.121819217, Sport: ,Tennis, Time: ,Sat Nov 14 02:00:00 CET 2015, Time: ,Sat Nov 14 02:00:00 CET 2015, Event: ,K Itsusaki v P Kobelt, Favorite: ,Peter Kobelt, 8798913   size:190.89,Price: ,1.01,Kaito Itsusaki, 10524375   size:8.51,Price: ,18.0,ok
1.121819215, Sport: ,Tennis, Time: ,Sat Nov 14 05:30:00 CET 2015, Time: ,Sat Nov 14 05:30:00 CET 2015, Event: ,Katayama v Shi Nakamura, Favorite: ,Sho Katayama, 8351069   size:8.38,Price: ,1.04,Shinnosuke Nakamura, 10524377   size:8.38,Price: ,1.04,ok
