1.119932400, Sport: ,Tennis, Time: ,Sat Aug 08 13:30:00 CEST 2015, Time: ,Sat Aug 08 13:30:00 CEST 2015, Event: ,And Martin v Albot, Favorite: ,Andrej Martin, 5071877   size:5.0,Price: ,1.92,Radu Albot, 6603898   size:62.84,Price: ,2.0,ok
1.119938507, Sport: ,Tennis, Time: ,Sat Aug 08 10:00:00 CEST 2015, Time: ,Sat Aug 08 10:00:00 CEST 2015, Event: ,Tsitsipas v Lazic, Favorite: ,Stefanos Tsitsipas, 9193006   size:602.69,Price: ,1.03,Marko Lazic, 9625168   size:10.47,Price: ,7.4,ok
1.119763498, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Queens Park v Annan Ath, Favorite: ,Queens Park, 729809   size:700.95,Price: ,2.0,The Draw, 58805   size:9.88,Price: ,3.85,Annan Ath, 2214928   size:76.78,Price: ,3.9,x
1.119770446, Sport: ,Soccer, Time: ,Sat Aug 08 14:00:00 CEST 2015, Time: ,Sat Aug 08 14:00:00 CEST 2015, Event: ,Steinbach v Saarbrucken, Favorite: ,Saarbrucken, 110687   size:16.1,Price: ,1.46,The Draw, 58805   size:51.6,Price: ,4.6,Steinbach, 10079904   size:4.15,Price: ,7.8,ok
1.119308032, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Coventry v Wigan, Favorite: ,Wigan, 69746   size:101.06,Price: ,2.48,Coventry, 48043   size:52.53,Price: ,3.2,The Draw, 58805   size:43.53,Price: ,3.35,x
1.119309122, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Shrewsbury v Millwall, Favorite: ,Shrewsbury, 148735   size:7.33,Price: ,2.34,Millwall, 56036   size:41.77,Price: ,3.4,The Draw, 58805   size:58.03,Price: ,3.45,x
1.119903180, Sport: ,Soccer, Time: ,Sat Aug 08 11:00:00 CEST 2015, Time: ,Sat Aug 08 11:00:00 CEST 2015, Event: ,Army United II v RBAC FC, Favorite: ,RBAC FC, 8675181   size:141.14,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119938862, Sport: ,Tennis, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Tsurenko v Gibbs, Favorite: ,Lesia Tsurenko, 5300861   size:2.38,Price: ,1.45,Nicole Gibbs, 4946628   size:5.67,Price: ,2.76,ok
1.119852090, Sport: ,Soccer, Time: ,Sat Aug 08 14:45:00 CEST 2015, Time: ,Sat Aug 08 14:45:00 CEST 2015, Event: ,Kelantan v Terengganu, Favorite: ,Kelantan, 5531265   size:2.55,Price: ,2.26,Terengganu, 5315208   size:2.55,Price: ,2.84,The Draw, 58805   size:4.09,Price: ,3.4,x
1.119754545, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,Kerho 07 v KPV, Favorite: ,KPV, 1130626   size:2.25,Price: ,1.47,The Draw, 58805   size:2.31,Price: ,3.8,Kerho 07, 8474025   size:3.23,Price: ,4.8,ok
1.119756605, Sport: ,Soccer, Time: ,Sat Aug 08 15:30:00 CEST 2015, Time: ,Sat Aug 08 15:30:00 CEST 2015, Event: ,Erzgebirge v Greuther Furth, Favorite: ,Greuther Furth, 64375   size:16.34,Price: ,2.18,The Draw, 58805   size:5.0,Price: ,3.45,Erzgebirge, 476499   size:9.0,Price: ,3.7,x
1.119754547, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,BK-46 v MuSA, Favorite: ,MuSA, 5491518   size:141.14,Price: ,1.06,The Draw, 58805   size:5.65,Price: ,1.25,x
1.119852094, Sport: ,Soccer, Time: ,Sat Aug 08 14:45:00 CEST 2015, Time: ,Sat Aug 08 14:45:00 CEST 2015, Event: ,Sarawak v PDRM, Favorite: ,Sarawak, 5330753   size:4.62,Price: ,2.36,PDRM, 6453269   size:3.55,Price: ,2.56,The Draw, 58805   size:3.46,Price: ,3.15,x
1.119757935, Sport: ,Soccer, Time: ,Sat Aug 08 12:00:00 CEST 2015, Time: ,Sat Aug 08 12:00:00 CEST 2015, Event: ,Okayama v Kitakyushu, Favorite: ,Okayama, 5561025   size:16.15,Price: ,2.36,The Draw, 58805   size:12.28,Price: ,3.3,Kitakyushu, 5026013   size:11.58,Price: ,3.45,x
1.119754541, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,Sudet v FC Kiffen, Favorite: ,Sudet, 4663570   size:2.55,Price: ,2.22,FC Kiffen, 498140   size:2.55,Price: ,2.4,The Draw, 58805   size:2.79,Price: ,3.2,ok
1.119852096, Sport: ,Soccer, Time: ,Sat Aug 08 14:45:00 CEST 2015, Time: ,Sat Aug 08 14:45:00 CEST 2015, Event: ,ATM (Armed Forces) v Johor Darul Takzim, Favorite: ,Johor Darul Takzim, 6958480   size:2.3,Price: ,1.43,The Draw, 58805   size:36.66,Price: ,3.75,ATM (Armed Forces), 6958481   size:35.93,Price: ,5.2,ok
1.119754543, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,FC Kiisto v JBK, Favorite: ,JBK, 498150   size:14.18,Price: ,2.06,FC Kiisto, 498146   size:2.55,Price: ,2.72,The Draw, 58805   size:3.88,Price: ,3.75,x
1.119852098, Sport: ,Soccer, Time: ,Sat Aug 08 14:45:00 CEST 2015, Time: ,Sat Aug 08 14:45:00 CEST 2015, Event: ,Perak v Felda Utd, Favorite: ,Perak, 5528833   size:4.21,Price: ,1.99,Felda Utd, 9189668   size:37.59,Price: ,2.98,The Draw, 58805   size:3.42,Price: ,3.3,x
