1.121679734, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Jastrzebski Wegiel v Bielsko-Biala, Favorite: ,Bielsko-Biala, 4292855   size:397.07,Price: ,1.27,Jastrzebski Wegiel, 4263016   size:306.31,Price: ,1.35,ok
1.121679678, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Fenerbahce Grundig v Telekom Baku, Favorite: ,Fenerbahce Universal Is, 10381421   size:3.72,Price: ,1.02,Rabita Baku, 5121198   size:1053.92,Price: ,1.02,ok
1.121674444, Sport: ,Handball, Time: ,Wed Nov 11 19:00:00 CET 2015, Time: ,Wed Nov 11 19:00:00 CET 2015, Event: ,Chartres v Saint Raphael, Favorite: ,Saint Raphael, 3786983   size:225.03,Price: ,1.17,Chartres, 10169935   size:5.62,Price: ,7.8,Draw, 330157   size:3.06,Price: ,13.5,ok
1.121734260, Sport: ,Basketball, Time: ,Wed Nov 11 22:30:00 CET 2015, Time: ,Wed Nov 11 22:30:00 CET 2015, Event: ,Clube Uniao Sportiva Wo v Namur (W), Favorite: ,Namur (W), 8978739   size:8.38,Price: ,1.04,Clube Uniao Sportiva Wo, 10462541   size:14.99,Price: ,1.1,x
1.121745604, Sport: ,Soccer, Time: ,Wed Nov 11 20:30:00 CET 2015, Time: ,Wed Nov 11 20:30:00 CET 2015, Event: ,FC Britannia XI (Res) v Manchester 62 FC (Res), Favorite: ,FC Britannia XI (Res), 10458147   size:11.17,Price: ,1.22,Manchester 62 FC (Res), 10435435   size:11.17,Price: ,1.22,The Draw, 58805   size:3.72,Price: ,2.92,x
1.121727854, Sport: ,Tennis, Time: ,Thu Nov 12 01:30:00 CET 2015, Time: ,Thu Nov 12 01:30:00 CET 2015, Event: ,Kicker/Lindell v Martin/Podlipnik-Castil, Favorite: ,Martin/Podlipnik-Castil, 9436921   size:2.55,Price: ,1.33,Kicker/Lindell, 9437241   size:2.55,Price: ,2.34,ok
1.121746762, Sport: ,Soccer, Time: ,Wed Nov 11 20:45:00 CET 2015, Time: ,Wed Nov 11 20:45:00 CET 2015, Event: ,Worksop Town v Frecheville C A FC, Favorite: ,Worksop Town, 1230957   size:140.27,Price: ,1.06,Frecheville C A FC, 10510958   size:83.93,Price: ,1.18,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121745770, Sport: ,Soccer, Time: ,Wed Nov 11 21:00:00 CET 2015, Time: ,Wed Nov 11 21:00:00 CET 2015, Event: ,Fraserburgh v Inverurie Loco, Favorite: ,Fraserburgh, 2214945   size:3.34,Price: ,1.95,Inverurie Loco, 1331501   size:2.58,Price: ,2.52,The Draw, 58805   size:2.23,Price: ,2.92,x
1.121727827, Sport: ,Tennis, Time: ,Wed Nov 11 19:07:00 CET 2015, Time: ,Wed Nov 11 19:07:00 CET 2015, Event: ,Arguello/Dellien v Ward/Ward, Favorite: ,Arguello/Dellien, 10507814   size:123.56,Price: ,1.51,Ward/Ward, 10507815   size:2.83,Price: ,2.5,x
1.121679684, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Impel Wroclaw v Dresdner SC, Favorite: ,Impel Wroclaw, 6912945   size:178.8,Price: ,1.51,Dresdner SC, 2779366   size:175.0,Price: ,1.66,x
