1.122663427, Sport: ,Basketball, Time: ,Fri Jan 22 02:00:00 CET 2016, Time: ,Fri Jan 22 02:00:00 CET 2016, Event: ,Atenas v Instituto Atletico Cent, Favorite: ,Atenas, 6719082   size:2.55,Price: ,1.32,Instituto Atletico Cent, 10346458   size:2.55,Price: ,3.65,ok
1.122659840, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,IK Pantern v AIK Stockholm, Favorite: ,AIK Stockholm, 702159   size:49.53,Price: ,1.87,IK Pantern, 9001037   size:21.02,Price: ,3.05,Tie, 60104   size:25.05,Price: ,2.72,ok
1.122668837, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:05:00 CET 2016, Time: ,Fri Jan 22 01:05:00 CET 2016, Event: ,Vancouver @ Boston, Favorite: ,Boston, 2112316   size:3.88,Price: ,1.9,Vancouver, 2109691   size:100.15,Price: ,3.8,Tie, 60104   size:277.42,Price: ,4.3,x
1.122663429, Sport: ,Basketball, Time: ,Fri Jan 22 01:30:00 CET 2016, Time: ,Fri Jan 22 01:30:00 CET 2016, Event: ,Sionista v Penarol, Favorite: ,Sionista, 6719083   size:97.55,Price: ,1.79,Penarol, 6719113   size:2.55,Price: ,2.08,x
1.122674063, Sport: ,Tennis, Time: ,Fri Jan 22 08:30:00 CET 2016, Time: ,Fri Jan 22 08:30:00 CET 2016, Event: ,Alessandra Gisonna v Mariana Drazic, Favorite: ,Mariana Drazic, 9626946   size:2.73,Price: ,1.08,Alessandra Gisonna, 10346977   size:3.69,Price: ,2.0,ok
1.122668038, Sport: ,Ice Hockey, Time: ,Fri Jan 22 18:20:00 CET 2016, Time: ,Fri Jan 22 18:20:00 CET 2016, Event: ,HC Liberec v HC Vitkovice, Favorite: ,HC Liberec, 536117   size:4.96,Price: ,1.47,HC Vitkovice, 536116   size:131.04,Price: ,5.0,Tie, 60104   size:116.48,Price: ,5.5,ok
1.122645610, Sport: ,Tennis, Time: ,Fri Jan 22 00:30:00 CET 2016, Time: ,Fri Jan 22 00:30:00 CET 2016, Event: ,Clezar/Neis v Eysseric/Reyes-Varela, Favorite: ,Clezar/Neis, 8861023   size:2.55,Price: ,1.59,Eysseric/Reyes-Varela, 10689060   size:2.79,Price: ,2.42,x
1.122646027, Sport: ,Basketball, Time: ,Thu Jan 21 20:30:00 CET 2016, Time: ,Thu Jan 21 20:30:00 CET 2016, Event: ,Laboral Kutxa v CSKA Moscow, Favorite: ,CSKA Moscow, 266272   size:36.52,Price: ,1.52,Laboral Kutxa, 7735599   size:3.32,Price: ,2.82,x
1.122668315, Sport: ,Basketball, Time: ,Fri Jan 22 11:00:00 CET 2016, Time: ,Fri Jan 22 11:00:00 CET 2016, Event: ,KDB Life Winnus v KB Stars, Favorite: ,KB Stars, 6739926   size:2489.96,Price: ,1.06,KDB Life Winnus, 5166575   size:72.07,Price: ,1.07,ok
1.122600897, Sport: ,Soccer, Time: ,Thu Jan 21 22:15:00 CET 2016, Time: ,Thu Jan 21 22:15:00 CET 2016, Event: ,Fram (W) v HK Vikingur (W), Favorite: ,HK Vikingur (W), 5330937   size:14.87,Price: ,1.2,Fram (W), 5431512   size:5.6,Price: ,14.0,The Draw, 58805   size:5.3,Price: ,7.4,ok
