1.122079585, Sport: ,Basketball, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,Nevezis v Tallinn Kalev, Favorite: ,Nevezis, 5154509   size:3.0,Price: ,1.04,Tallinn Kalev, 6715565   size:3.0,Price: ,1.04,ok
1.121980187, Sport: ,Soccer, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Red Bull Salzburg v Wolfsberger AC, Favorite: ,Red Bull Salzburg, 3158851   size:156.57,Price: ,2.58,Wolfsberger AC, 7418999   size:245.14,Price: ,3.1,The Draw, 58805   size:25.72,Price: ,3.3,x
1.122084485, Sport: ,Basketball, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,Dynamo Kursk (W) v Uniqa Sopron (W), Favorite: ,Dynamo Kursk (W), 10411144   size:2.83,Price: ,1.03,Uniqa Sopron (W), 6101364   size:3.76,Price: ,1.5,ok
1.121979263, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Laval v Brest, Favorite: ,Laval, 77585   size:54.76,Price: ,2.7,Brest, 669348   size:6.65,Price: ,3.25,The Draw, 58805   size:258.53,Price: ,3.05,ok
1.122084467, Sport: ,Basketball, Time: ,Wed Dec 02 15:00:00 CET 2015, Time: ,Wed Dec 02 15:00:00 CET 2015, Event: ,Nadezhda (W) v Wisla Can Pack (W), Favorite: ,Nadezhda (W), 5290907   size:2.83,Price: ,1.03,Wisla Can Pack (W), 5290906   size:3.76,Price: ,1.5,x
1.121996679, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Inegolspor v Balikesirspor, Favorite: ,Balikesirspor, 4985298   size:28.37,Price: ,1.57,Inegolspor, 1341525   size:8.59,Price: ,4.3,The Draw, 58805   size:10.51,Price: ,3.7,x
1.121996677, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,1461 Trabzon v Pazarspor, Favorite: ,1461 Trabzon, 5289229   size:3.76,Price: ,1.11,Pazarspor, 5202346   size:3.85,Price: ,9.0,The Draw, 58805   size:7.46,Price: ,4.8,ok
1.121996675, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Boluspor v Umraniyespor, Favorite: ,Boluspor, 2553026   size:9.41,Price: ,1.04,Umraniyespor, 6250160   size:73.17,Price: ,1.12,The Draw, 58805   size:14.18,Price: ,3.1,ok
1.122099920, Sport: ,Basketball, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,Tajfun v Bakken, Favorite: ,Bakken, 7224123   size:2.83,Price: ,1.03,Tajfun, 8193254   size:11.68,Price: ,1.49,ok
1.122099865, Sport: ,Basketball, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Juventus v Etha Engomis, Favorite: ,Juventus, 5244996   size:2.83,Price: ,1.03,Etha Engomis, 5848672   size:3.76,Price: ,1.5,ok
1.121979647, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Tours v Clermont, Favorite: ,Tours, 1543737   size:28.87,Price: ,2.46,Clermont, 309686   size:34.88,Price: ,3.45,The Draw, 58805   size:503.9,Price: ,3.2,x
1.122099785, Sport: ,Basketball, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,BK Khimik Yuzhne v TU Rock, Favorite: ,BK Khimik Yuzhne, 9143332   size:10.22,Price: ,1.56,TU Rock, 6718520   size:3.97,Price: ,2.44,ok
1.121996671, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Karabukspor v Payas Belediyespor, Favorite: ,Karabukspor, 3292145   size:9.41,Price: ,1.04,Payas Belediyespor, 10292632   size:9.41,Price: ,1.04,The Draw, 58805   size:14.18,Price: ,3.1,x
1.121980911, Sport: ,Soccer, Time: ,Tue Dec 01 20:30:00 CET 2015, Time: ,Tue Dec 01 20:30:00 CET 2015, Event: ,Zaglebie Lubin v Jagiellonia Bialystock, Favorite: ,Zaglebie Lubin, 166904   size:10.54,Price: ,2.06,Jagiellonia Bialystock, 7391394   size:336.99,Price: ,4.0,The Draw, 58805   size:8.47,Price: ,3.6,x
1.122079216, Sport: ,Basketball, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,KK Sigal Prishtina v AEK Larnacas, Favorite: ,AEK Larnacas, 9034490   size:16.0,Price: ,1.08,KK Sigal Prishtina, 9063473   size:10.99,Price: ,2.0,ok
1.121980316, Sport: ,Soccer, Time: ,Tue Dec 01 20:30:00 CET 2015, Time: ,Tue Dec 01 20:30:00 CET 2015, Event: ,Gent v Zulte-Waregem, Favorite: ,Gent, 350594   size:355.1,Price: ,1.35,Zulte-Waregem, 505726   size:10.96,Price: ,10.0,The Draw, 58805   size:102.28,Price: ,5.6,ok
1.122079576, Sport: ,Basketball, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Jekabpils v TTU, Favorite: ,Jekabpils, 7735550   size:3.0,Price: ,1.04,TTU, 6718622   size:3.0,Price: ,1.04,ok
1.122079212, Sport: ,Basketball, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Boras v Le Havre, Favorite: ,Boras, 7037205   size:43.99,Price: ,1.4,Le Havre, 1292696   size:15.0,Price: ,1.45,x
1.121980593, Sport: ,Soccer, Time: ,Tue Dec 01 20:30:00 CET 2015, Time: ,Tue Dec 01 20:30:00 CET 2015, Event: ,Gornik Zabrze v Piast Gliwice, Favorite: ,Piast Gliwice, 3157365   size:47.18,Price: ,2.46,Gornik Zabrze, 503499   size:143.61,Price: ,3.1,The Draw, 58805   size:260.49,Price: ,3.5,x
1.122079593, Sport: ,Basketball, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Nilan Bisons v Kauhajoen Karhu, Favorite: ,Nilan Bisons, 7749519   size:6.12,Price: ,1.35,Kauhajoen Karhu, 2621631   size:57.91,Price: ,3.45,ok
1.122083121, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Romulus FC v Birmingham City B, Favorite: ,Birmingham City B, 8943206   size:3.92,Price: ,1.68,Romulus FC, 7693014   size:6.91,Price: ,3.4,The Draw, 58805   size:6.78,Price: ,4.3,ok
1.121996673, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Sanliurfaspor v Kirklarelispor, Favorite: ,Sanliurfaspor, 2610482   size:9.41,Price: ,1.04,Kirklarelispor, 5340310   size:3.76,Price: ,1.11,The Draw, 58805   size:14.18,Price: ,3.1,ok
1.121996687, Sport: ,Soccer, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,Adana Demirspor v Sivas Belediyespor, Favorite: ,Adana Demirspor, 2610481   size:2.55,Price: ,1.73,Sivas Belediyespor, 6781573   size:2.55,Price: ,4.2,The Draw, 58805   size:2.55,Price: ,3.85,x
