1.121657505, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Lyon v Gent, Favorite: ,Lyon, 55271   size:1500.28,Price: ,1.79,Gent, 350594   size:2001.12,Price: ,5.2,The Draw, 58805   size:355.11,Price: ,4.0,x
1.121965388, Sport: ,Soccer, Time: ,Tue Nov 24 21:00:00 CET 2015, Time: ,Tue Nov 24 21:00:00 CET 2015, Event: ,Stirling U20 v Stenhousemuir U20, Favorite: ,Stirling U20, 9243449   size:10.0,Price: ,1.12,Stenhousemuir U20, 9001453   size:2.54,Price: ,5.6,The Draw, 58805   size:9.96,Price: ,2.88,ok
1.121870135, Sport: ,Ice Hockey, Time: ,Tue Nov 24 17:20:00 CET 2015, Time: ,Tue Nov 24 17:20:00 CET 2015, Event: ,Kometa Brno v Mountfield HK, Favorite: ,Mountfield HK, 7577373   size:18.0,Price: ,1.44,Kometa Brno, 3304802   size:2.56,Price: ,1.78,Tie, 60104   size:20.34,Price: ,4.5,x
1.121963358, Sport: ,Basketball, Time: ,Tue Nov 24 17:30:00 CET 2015, Time: ,Tue Nov 24 17:30:00 CET 2015, Event: ,Jekabpils v BC Barsy Atyrau, Favorite: ,BC Barsy Atyrau, 10435550   size:2.55,Price: ,1.7,Jekabpils, 7735550   size:50.34,Price: ,2.2,x
1.121865809, Sport: ,Soccer, Time: ,Tue Nov 24 12:30:00 CET 2015, Time: ,Tue Nov 24 12:30:00 CET 2015, Event: ,Home Utd v Brunei DPMM FC, Favorite: ,Brunei DPMM FC, 6238894   size:2.55,Price: ,2.16,Home Utd, 4852330   size:2.05,Price: ,3.2,The Draw, 58805   size:6.37,Price: ,3.55,x
1.121963311, Sport: ,Basketball, Time: ,Tue Nov 24 17:30:00 CET 2015, Time: ,Tue Nov 24 17:30:00 CET 2015, Event: ,Kalev Cramo v Lukoil Academic, Favorite: ,Kalev Cramo, 6007950   size:2.55,Price: ,1.57,Lukoil Academic, 677801   size:24.18,Price: ,2.44,x
1.121872362, Sport: ,Ice Hockey, Time: ,Tue Nov 24 16:00:00 CET 2015, Time: ,Tue Nov 24 16:00:00 CET 2015, Event: ,Lada v Spartak, Favorite: ,Lada, 2484346   size:15.08,Price: ,2.42,Spartak, 2773599   size:5.0,Price: ,2.76,Tie, 60104   size:4.1,Price: ,4.3,x
1.121866139, Sport: ,Soccer, Time: ,Tue Nov 24 14:30:00 CET 2015, Time: ,Tue Nov 24 14:30:00 CET 2015, Event: ,Chennaiyin v Delhi Dynamos, Favorite: ,Chennaiyin, 8900344   size:5.0,Price: ,2.32,Delhi Dynamos, 8897748   size:53.76,Price: ,3.3,The Draw, 58805   size:131.54,Price: ,3.35,ok
1.121938098, Sport: ,Basketball, Time: ,Tue Nov 24 09:15:00 CET 2015, Time: ,Tue Nov 24 09:15:00 CET 2015, Event: ,NLEX Road Warriors v Meralco Bolts, Favorite: ,NLEX Road Warriors, 8911710   size:33.0,Price: ,1.5,Meralco Bolts, 5023541   size:602.51,Price: ,1.9,ok
1.121920505, Sport: ,Volleyball, Time: ,Tue Nov 24 18:00:00 CET 2015, Time: ,Tue Nov 24 18:00:00 CET 2015, Event: ,Paok Thessaloniki v Ethnikos Alexandroupoli, Favorite: ,PAOK Thessaloniki, 1359847   size:2.84,Price: ,1.03,Ethnikos Alexandroupoli, 5894204   size:18.0,Price: ,1.18,ok
