1.122626028, Sport: ,Soccer, Time: ,Sun Jan 17 11:45:00 CET 2016, Time: ,Sun Jan 17 11:45:00 CET 2016, Event: ,EF Alhama v Lorca Deportivo CF, Favorite: ,Lorca Deportivo CF, 10243205   size:3.82,Price: ,1.34,EF Alhama, 8826848   size:2.0,Price: ,7.0,The Draw, 58805   size:3.64,Price: ,4.5,ok
1.122625698, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Club Haro Deportivo v CD Alfaro, Favorite: ,Club Haro Deportivo, 7536128   size:4.06,Price: ,1.26,CD Alfaro, 8092661   size:42.87,Price: ,7.8,The Draw, 58805   size:53.3,Price: ,4.5,ok
1.122506581, Sport: ,Soccer, Time: ,Sun Jan 17 17:30:00 CET 2016, Time: ,Sun Jan 17 17:30:00 CET 2016, Event: ,Cremonese v Bassano Virtus, Favorite: ,Cremonese, 924267   size:101.63,Price: ,2.46,Bassano Virtus, 3260780   size:124.19,Price: ,3.1,The Draw, 58805   size:4.12,Price: ,2.98,x
1.122637270, Sport: ,Basketball, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Usti nad Labem v Prostejov, Favorite: ,Prostejov, 5866240   size:600.37,Price: ,1.04,Usti Nad Labem, 7758609   size:80.0,Price: ,1.3,ok
1.122523424, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Carpi v Sampdoria, Favorite: ,Carpi, 4893598   size:182.07,Price: ,2.74,Sampdoria, 60311   size:341.31,Price: ,3.0,The Draw, 58805   size:3084.26,Price: ,3.25,ok
1.122522217, Sport: ,Soccer, Time: ,Sun Jan 17 17:30:00 CET 2016, Time: ,Sun Jan 17 17:30:00 CET 2016, Event: ,Brescia v Cesena, Favorite: ,Brescia, 7407   size:14.14,Price: ,2.36,Cesena, 501219   size:4.0,Price: ,3.5,The Draw, 58805   size:735.13,Price: ,3.25,ok
1.122624926, Sport: ,Soccer, Time: ,Sun Jan 17 11:30:00 CET 2016, Time: ,Sun Jan 17 11:30:00 CET 2016, Event: ,CD Basconia v Santutxu FC, Favorite: ,Santutxu FC, 7097875   size:2.34,Price: ,2.22,CD Basconia, 8300534   size:4.27,Price: ,2.88,The Draw, 58805   size:64.25,Price: ,3.1,x
1.122506220, Sport: ,Soccer, Time: ,Sun Jan 17 17:30:00 CET 2016, Time: ,Sun Jan 17 17:30:00 CET 2016, Event: ,Arezzo v Santarcangelo, Favorite: ,Arezzo, 522048   size:19.9,Price: ,2.08,Santarcangelo, 6327767   size:93.01,Price: ,3.8,The Draw, 58805   size:2.64,Price: ,3.15,ok
1.122522697, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Lugo v Huesca, Favorite: ,Lugo, 2081063   size:35.14,Price: ,2.34,Huesca, 2250353   size:5.03,Price: ,3.65,The Draw, 58805   size:23.19,Price: ,3.3,x
1.122634441, Sport: ,Soccer, Time: ,Sun Jan 17 11:45:00 CET 2016, Time: ,Sun Jan 17 11:45:00 CET 2016, Event: ,CU Collado Villalba v Club Atletico de Pinto, Favorite: ,CU Collado Villalba, 6929102   size:9.16,Price: ,1.06,Club Atletico de Pinto, 7636389   size:9.16,Price: ,1.06,The Draw, 58805   size:15.67,Price: ,2.88,x
1.122634563, Sport: ,Soccer, Time: ,Sun Jan 17 12:45:00 CET 2016, Time: ,Sun Jan 17 12:45:00 CET 2016, Event: ,Lebrijana v CD San Roque de Cadiz, Favorite: ,Lebrijana, 9315717   size:27.48,Price: ,1.02,CD San Roque de Cadiz, 7717173   size:27.48,Price: ,1.02,The Draw, 58805   size:25.37,Price: ,1.41,x
1.122613555, Sport: ,Mixed Martial Arts, Time: ,Sun Jan 17 22:30:00 CET 2016, Time: ,Sun Jan 17 22:30:00 CET 2016, Event: ,Rosa v Bochniak, Favorite: ,Charles Rosa, 8889525   size:5.07,Price: ,1.4,Kyle Bochniak, 10719723   size:6.99,Price: ,2.98,ok
1.122596896, Sport: ,Handball, Time: ,Sun Jan 17 14:00:00 CET 2016, Time: ,Sun Jan 17 14:00:00 CET 2016, Event: ,Netherlands v Switzerland, Favorite: ,Draw, 330157   size:18.0,Price: ,1.31,Netherlands, 626085   size:13.99,Price: ,1.57,Switzerland, 624131   size:16.0,Price: ,1.93,x
1.122524042, Sport: ,Soccer, Time: ,Sun Jan 17 19:15:00 CET 2016, Time: ,Sun Jan 17 19:15:00 CET 2016, Event: ,Nacional v Braga, Favorite: ,Braga, 48799   size:494.36,Price: ,2.02,Nacional, 203723   size:104.35,Price: ,4.2,The Draw, 58805   size:145.54,Price: ,3.5,ok
1.122625587, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,CF Soller v CD Binissalem, Favorite: ,CD Binissalem, 9320405   size:122.33,Price: ,1.47,CF Soller, 8870825   size:33.59,Price: ,5.2,The Draw, 58805   size:34.06,Price: ,3.75,x
1.122633807, Sport: ,Soccer, Time: ,Sun Jan 17 11:30:00 CET 2016, Time: ,Sun Jan 17 11:30:00 CET 2016, Event: ,AD Alcorcon II v CF Pozuelo de Alarcon, Favorite: ,CF Pozuelo de Alarcon, 9301050   size:2.08,Price: ,2.4,AD Alcorcon II, 6929275   size:2.03,Price: ,2.58,The Draw, 58805   size:2.55,Price: ,3.15,x
1.122623963, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Real Sociedad (W) v Rayo Vallecano (W), Favorite: ,Real Sociedad (W), 6794562   size:2.42,Price: ,1.6,Rayo Vallecano (W), 5878665   size:3.5,Price: ,4.4,The Draw, 58805   size:3.47,Price: ,4.1,ok
1.122624018, Sport: ,Soccer, Time: ,Sun Jan 17 12:30:00 CET 2016, Time: ,Sun Jan 17 12:30:00 CET 2016, Event: ,UDG Tenerife Sur (W) v Levante (W), Favorite: ,Levante (W), 5878638   size:2.47,Price: ,2.1,UDG Tenerife Sur (W), 9488105   size:12.87,Price: ,2.78,The Draw, 58805   size:23.83,Price: ,3.75,x
1.122625863, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Coria CF v Cordoba B, Favorite: ,Cordoba B, 7602491   size:4.54,Price: ,1.91,Coria CF, 6450526   size:3.73,Price: ,3.4,The Draw, 58805   size:3.76,Price: ,3.35,ok
1.122624412, Sport: ,Soccer, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Pozuelo de Alarcon (W) v Olimpico Moratalaz (W), Favorite: ,Pozuelo de Alarcon (W), 10243635   size:2.38,Price: ,2.0,Olimpico Moratalaz (W), 10243633   size:39.27,Price: ,2.74,The Draw, 58805   size:28.04,Price: ,3.45,ok
1.122583623, Sport: ,Ice Hockey, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Kongsvinger IL v Lillehammer IK, Favorite: ,Lillehammer IK, 4138388   size:7.32,Price: ,1.39,Kongsvinger IL, 8870539   size:96.87,Price: ,4.4,Tie, 60104   size:13.77,Price: ,4.9,ok
1.122613552, Sport: ,Mixed Martial Arts, Time: ,Sun Jan 17 22:30:00 CET 2016, Time: ,Sun Jan 17 22:30:00 CET 2016, Event: ,Barroso v Mutapcic, Favorite: ,Elvis Mutapcic, 10719718   size:5.9,Price: ,1.56,Francimar Barroso, 7535687   size:3.63,Price: ,2.36,x
1.122624815, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,CD Acero v Elche CF II, Favorite: ,Elche CF II, 7295717   size:2.53,Price: ,1.26,CD Acero, 6797364   size:3.25,Price: ,7.0,The Draw, 58805   size:3.67,Price: ,4.8,ok
1.122634570, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,CF Palleja (W) v CE Europa (W), Favorite: ,CF Palleja (W), 10243583   size:2.11,Price: ,2.26,CE Europa (W), 10243582   size:48.63,Price: ,2.4,The Draw, 58805   size:28.04,Price: ,3.45,ok
1.122633085, Sport: ,Soccer, Time: ,Sun Jan 17 23:00:00 CET 2016, Time: ,Sun Jan 17 23:00:00 CET 2016, Event: ,Petapa v CSD Comunicaciones, Favorite: ,Petapa, 9204580   size:7.85,Price: ,1.07,CSD Comunicaciones, 4109938   size:7.85,Price: ,1.07,The Draw, 58805   size:15.67,Price: ,2.88,x
1.122583626, Sport: ,Ice Hockey, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Lorenskog IK v Sparta, Favorite: ,Lorenskog IK, 4138389   size:2.73,Price: ,1.83,Sparta, 2357194   size:5.39,Price: ,3.15,Tie, 60104   size:110.06,Price: ,4.0,x
1.122634692, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Pinatar CF v Espinardo Atletico, Favorite: ,Espinardo Atletico, 10215484   size:2.66,Price: ,1.78,Pinatar CF, 8873742   size:34.05,Price: ,3.45,The Draw, 58805   size:34.09,Price: ,3.35,x
