1.122079583, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Maidstone Utd v Maidenhead, Favorite: ,Maidstone Utd, 6555176   size:139.14,Price: ,1.93,Maidenhead, 728405   size:9.26,Price: ,4.3,The Draw, 58805   size:3.77,Price: ,3.6,x
1.122080328, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Needham Market v Brentwood Town, Favorite: ,Needham Market, 2870975   size:3.77,Price: ,1.11,Brentwood Town, 10296970   size:3.77,Price: ,1.11,The Draw, 58805   size:5.0,Price: ,3.2,x
1.122072272, Sport: ,Basketball, Time: ,Wed Dec 02 01:00:00 CET 2015, Time: ,Wed Dec 02 01:00:00 CET 2015, Event: ,LA Lakers @ Philadelphia, Favorite: ,LA Lakers, 2120881   size:189.03,Price: ,1.92,Philadelphia, 13103   size:56.23,Price: ,2.02,x
1.122082948, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Merthyr Town v Frome, Favorite: ,Merthyr Town, 8749416   size:2.73,Price: ,1.12,Frome, 3396717   size:2.73,Price: ,1.12,The Draw, 58805   size:2.73,Price: ,3.15,x
1.122079581, Sport: ,Soccer, Time: ,Tue Dec 01 12:00:00 CET 2015, Time: ,Tue Dec 01 12:00:00 CET 2015, Event: ,Sariyer v Kayserispor, Favorite: ,Kayserispor, 508789   size:13.68,Price: ,1.91,Sariyer, 965421   size:3.07,Price: ,4.6,The Draw, 58805   size:2.11,Price: ,3.7,ok
1.121980187, Sport: ,Soccer, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Red Bull Salzburg v Wolfsberger AC, Favorite: ,Red Bull Salzburg, 3158851   size:762.91,Price: ,1.16,Wolfsberger AC, 7418999   size:3.65,Price: ,24.0,The Draw, 58805   size:282.87,Price: ,10.0,x
1.121982295, Sport: ,Soccer, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Panthrakikos v Olympiakos Volou, Favorite: ,Panthrakikos, 2053859   size:15.11,Price: ,1.66,Olympiakos Volou, 2126375   size:37.47,Price: ,5.9,The Draw, 58805   size:65.44,Price: ,3.9,ok
1.121982173, Sport: ,Soccer, Time: ,Tue Dec 01 13:30:00 CET 2015, Time: ,Tue Dec 01 13:30:00 CET 2015, Event: ,Al Sarhan v Blama, Favorite: ,Al Sarhan, 7663429   size:84.83,Price: ,2.24,Blama, 6750873   size:2.32,Price: ,3.55,The Draw, 58805   size:3.88,Price: ,3.2,x
1.121991007, Sport: ,Ice Hockey, Time: ,Tue Dec 01 12:30:00 CET 2015, Time: ,Tue Dec 01 12:30:00 CET 2015, Event: ,Barys v Dynamo Moscow, Favorite: ,Dynamo Moscow, 1252378   size:14.73,Price: ,2.24,Barys, 3328562   size:24.0,Price: ,2.88,Tie, 60104   size:28.7,Price: ,4.4,x
1.121979842, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Le Havre v Evian TG, Favorite: ,Le Havre, 70446   size:30.56,Price: ,2.22,Evian TG, 4864973   size:98.88,Price: ,4.2,The Draw, 58805   size:346.54,Price: ,3.15,ok
1.121903749, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Stirling v Cumbernauld Colts, Favorite: ,Stirling, 729811   size:2.55,Price: ,1.51,Cumbernauld Colts, 10290983   size:3.39,Price: ,5.2,The Draw, 58805   size:10.72,Price: ,4.0,ok
1.122083251, Sport: ,Soccer, Time: ,Tue Dec 01 18:45:00 CET 2015, Time: ,Tue Dec 01 18:45:00 CET 2015, Event: ,Greece (W) v France (W), Favorite: ,France (W), 541830   size:1264.23,Price: ,1.02,Greece (W), 899118   size:4.76,Price: ,95.0,The Draw, 58805   size:28.42,Price: ,5.2,ok
1.121980717, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Ruch Chorzow v Korona Kielce, Favorite: ,Ruch Chorzow, 2160683   size:5.58,Price: ,2.5,Korona Kielce, 1209555   size:19.45,Price: ,3.25,The Draw, 58805   size:231.6,Price: ,3.3,ok
1.121979647, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Tours v Clermont, Favorite: ,Tours, 1543737   size:33.74,Price: ,2.46,Clermont, 309686   size:239.99,Price: ,3.35,The Draw, 58805   size:565.64,Price: ,3.2,x
1.121980837, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Nieciecza v Slask Wroclaw, Favorite: ,Nieciecza, 4871645   size:31.07,Price: ,2.62,Slask Wroclaw, 3143307   size:33.35,Price: ,3.0,The Draw, 58805   size:362.69,Price: ,3.35,x
1.121981207, Sport: ,Soccer, Time: ,Tue Dec 01 13:00:00 CET 2015, Time: ,Tue Dec 01 13:00:00 CET 2015, Event: ,CS Uni Craiova v ACS Poli Timisoara, Favorite: ,CS Uni Craiova, 7615862   size:48.99,Price: ,2.04,ACS Poli Timisoara, 6809287   size:180.75,Price: ,4.3,The Draw, 58805   size:642.9,Price: ,3.35,x
1.122079955, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Ironi Ramat HaSharon v Hapoel Ashkelon, Favorite: ,Ironi Ramat HaSharon, 6242601   size:5.23,Price: ,2.36,Hapoel Ashkelon, 5221516   size:2.82,Price: ,3.25,The Draw, 58805   size:2.4,Price: ,3.25,x
1.121980911, Sport: ,Soccer, Time: ,Tue Dec 01 20:30:00 CET 2015, Time: ,Tue Dec 01 20:30:00 CET 2015, Event: ,Zaglebie Lubin v Jagiellonia Bialystock, Favorite: ,Zaglebie Lubin, 166904   size:279.69,Price: ,2.02,Jagiellonia Bialystock, 7391394   size:71.31,Price: ,4.2,The Draw, 58805   size:2.69,Price: ,3.6,x
1.121984318, Sport: ,Soccer, Time: ,Tue Dec 01 16:00:00 CET 2015, Time: ,Tue Dec 01 16:00:00 CET 2015, Event: ,South Africa U23 v Zambia U23, Favorite: ,South Africa U23, 10233250   size:33.13,Price: ,2.48,Zambia U23, 10559733   size:6.31,Price: ,3.0,The Draw, 58805   size:5.03,Price: ,3.4,ok
1.121980316, Sport: ,Soccer, Time: ,Tue Dec 01 20:30:00 CET 2015, Time: ,Tue Dec 01 20:30:00 CET 2015, Event: ,Gent v Zulte-Waregem, Favorite: ,Gent, 350594   size:9.11,Price: ,1.42,Zulte-Waregem, 505726   size:7.55,Price: ,9.0,The Draw, 58805   size:57.64,Price: ,5.0,ok
1.121981921, Sport: ,Soccer, Time: ,Tue Dec 01 18:30:00 CET 2015, Time: ,Tue Dec 01 18:30:00 CET 2015, Event: ,Iraklis v Anagennisi Karditsa, Favorite: ,Iraklis, 14076   size:2.13,Price: ,1.33,Anagennisi Karditsa, 3143236   size:17.81,Price: ,9.0,The Draw, 58805   size:2.55,Price: ,5.9,ok
1.122076126, Sport: ,Basketball, Time: ,Wed Dec 02 02:00:00 CET 2015, Time: ,Wed Dec 02 02:00:00 CET 2015, Event: ,Instituto Atletico Cent v Olimpico, Favorite: ,Instituto Atletico Cent, 10346458   size:3.0,Price: ,1.04,Olimpico, 6719115   size:3.0,Price: ,1.04,x
1.122072366, Sport: ,Basketball, Time: ,Wed Dec 02 02:00:00 CET 2015, Time: ,Wed Dec 02 02:00:00 CET 2015, Event: ,Orlando @ Minnesota, Favorite: ,Minnesota, 13118   size:3.43,Price: ,1.8,Orlando, 13104   size:2.74,Price: ,2.14,x
1.121573574, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Stoke v Sheff Wed, Favorite: ,Stoke, 69720   size:173.47,Price: ,1.84,Sheff Wed, 47992   size:7.0,Price: ,5.2,The Draw, 58805   size:81.84,Price: ,3.75,ok
1.122084814, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Forfar U20 v Berwick U20, Favorite: ,Forfar U20, 9244793   size:3.77,Price: ,1.11,Berwick U20, 9131077   size:3.77,Price: ,1.11,The Draw, 58805   size:14.25,Price: ,2.88,ok
1.122079231, Sport: ,Soccer, Time: ,Tue Dec 01 19:30:00 CET 2015, Time: ,Tue Dec 01 19:30:00 CET 2015, Event: ,Torku Konyaspor v Kocaeli Birlik Spor, Favorite: ,Torku Konyaspor, 6553233   size:2.76,Price: ,1.29,Kocaeli Birlik Spor, 10293959   size:5.73,Price: ,7.0,The Draw, 58805   size:2.55,Price: ,5.0,ok
1.121980593, Sport: ,Soccer, Time: ,Tue Dec 01 20:30:00 CET 2015, Time: ,Tue Dec 01 20:30:00 CET 2015, Event: ,Gornik Zabrze v Piast Gliwice, Favorite: ,Piast Gliwice, 3157365   size:18.24,Price: ,2.38,Gornik Zabrze, 503499   size:126.37,Price: ,3.25,The Draw, 58805   size:152.15,Price: ,3.55,x
1.121982178, Sport: ,Soccer, Time: ,Tue Dec 01 16:15:00 CET 2015, Time: ,Tue Dec 01 16:15:00 CET 2015, Event: ,Panionios v Zakinthos, Favorite: ,Panionios, 285324   size:714.0,Price: ,1.28,Zakinthos, 3435381   size:2.28,Price: ,12.0,The Draw, 58805   size:5.0,Price: ,6.6,ok
1.122079199, Sport: ,Basketball, Time: ,Tue Dec 01 17:30:00 CET 2015, Time: ,Tue Dec 01 17:30:00 CET 2015, Event: ,Ventspils v Turow Zgorzelec, Favorite: ,Ventspils, 1081645   size:347.67,Price: ,1.41,Turow Zgorzelec, 1434930   size:4.49,Price: ,2.56,ok
1.121980034, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Creteil v Paris FC, Favorite: ,Creteil, 269793   size:9.44,Price: ,2.18,Paris FC, 5168454   size:31.38,Price: ,4.0,The Draw, 58805   size:805.85,Price: ,3.25,x
1.122080616, Sport: ,Soccer, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Dunfermline U20 v Ross Co U20, Favorite: ,Dunfermline U20, 6791592   size:14.32,Price: ,2.26,Ross Co U20, 9002628   size:10.8,Price: ,2.88,The Draw, 58805   size:4.24,Price: ,3.9,ok
1.122091803, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Bedworth Utd v Stratford Town, Favorite: ,Stratford Town, 2119277   size:3.7,Price: ,1.78,Bedworth Utd, 4231711   size:2.55,Price: ,3.5,The Draw, 58805   size:4.61,Price: ,3.65,ok
1.122080272, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Queen of South U20 v Clyde U20, Favorite: ,Queen of South U20, 9220053   size:3.77,Price: ,1.11,Clyde U20, 9220046   size:10.09,Price: ,2.12,The Draw, 58805   size:15.68,Price: ,3.1,x
1.121979091, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Nantes v Lyon, Favorite: ,Lyon, 55271   size:85.62,Price: ,2.24,Nantes, 10774   size:68.68,Price: ,3.85,The Draw, 58805   size:1253.75,Price: ,3.35,x
1.122080396, Sport: ,Soccer, Time: ,Tue Dec 01 15:15:00 CET 2015, Time: ,Tue Dec 01 15:15:00 CET 2015, Event: ,Kilmarnock U20 v Aberdeen U20, Favorite: ,Aberdeen U20, 6868317   size:3.82,Price: ,2.2,Kilmarnock U20, 6581076   size:2.55,Price: ,2.84,The Draw, 58805   size:3.38,Price: ,3.75,ok
1.121978885, Sport: ,Soccer, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Angers v Paris St-G, Favorite: ,Paris St-G, 489720   size:7310.66,Price: ,1.35,Angers, 473963   size:93.22,Price: ,12.5,The Draw, 58805   size:382.19,Price: ,5.3,x
1.121979455, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Dijon v Auxerre, Favorite: ,Dijon, 305995   size:72.91,Price: ,1.71,Auxerre, 44800   size:220.18,Price: ,6.0,The Draw, 58805   size:80.63,Price: ,3.8,x
1.121999742, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:45:00 CET 2015, Time: ,Tue Dec 01 19:45:00 CET 2015, Event: ,Geneve Servette v Bern, Favorite: ,Geneve Servette, 4932959   size:15.91,Price: ,2.2,Bern, 243256   size:2.51,Price: ,2.62,Tie, 60104   size:114.95,Price: ,4.1,ok
1.122069641, Sport: ,Basketball, Time: ,Tue Dec 01 11:00:00 CET 2015, Time: ,Tue Dec 01 11:00:00 CET 2015, Event: ,Seoul Knights v Anyang KGC Pro, Favorite: ,Anyang KGC Pro, 10276570   size:40.0,Price: ,1.82,Seoul Knights, 7954787   size:22.62,Price: ,1.95,x
1.121979938, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Sochaux v Nancy, Favorite: ,Nancy, 70468   size:4.27,Price: ,2.14,Sochaux, 44796   size:83.54,Price: ,4.4,The Draw, 58805   size:26.03,Price: ,3.15,x
1.122076132, Sport: ,Basketball, Time: ,Tue Dec 01 18:30:00 CET 2015, Time: ,Tue Dec 01 18:30:00 CET 2015, Event: ,Liepaja v Jurmala, Favorite: ,Liepaja, 8926929   size:37.77,Price: ,1.23,Jurmala, 8916815   size:8.49,Price: ,4.3,x
1.122084869, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Stenhousemuir U20 v Alloa U20, Favorite: ,Alloa U20, 9243282   size:3.77,Price: ,1.11,Stenhousemuir U20, 9001453   size:72.67,Price: ,1.12,The Draw, 58805   size:19.95,Price: ,3.15,ok
