1.120986320, Sport: ,Tennis, Time: ,Thu Oct 01 22:00:00 CEST 2015, Time: ,Thu Oct 01 22:00:00 CEST 2015, Event: ,F Coria v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:99.01,Price: ,1.41,Federico Coria, 8326752   size:6.76,Price: ,3.25,x
1.121019119, Sport: ,Basketball, Time: ,Thu Oct 01 21:00:00 CEST 2015, Time: ,Thu Oct 01 21:00:00 CEST 2015, Event: ,Crvena Zvezda v Mega Vizura, Favorite: ,Crvena Zvezda, 1275898   size:5.8,Price: ,1.26,Mega Vizura, 7735104   size:42.28,Price: ,4.2,ok
1.120995399, Sport: ,Basketball, Time: ,Fri Oct 02 02:30:00 CEST 2015, Time: ,Fri Oct 02 02:30:00 CEST 2015, Event: ,Estudiantes (C) v Quimsa, Favorite: ,Estudiantes (C), 7753473   size:5.0,Price: ,1.05,Quimsa, 6243645   size:5.0,Price: ,1.05,ok
1.120519180, Sport: ,American Football, Time: ,Fri Oct 02 02:25:00 CEST 2015, Time: ,Fri Oct 02 02:25:00 CEST 2015, Event: ,Baltimore @ Pittsburgh, Favorite: ,Baltimore Ravens, 50205   size:1886.57,Price: ,1.73,Pittsburgh Steelers, 50208   size:427.07,Price: ,2.36,ok
1.120989593, Sport: ,Tennis, Time: ,Thu Oct 01 20:15:00 CEST 2015, Time: ,Thu Oct 01 20:15:00 CEST 2015, Event: ,Stakhovsky v A Golubev, Favorite: ,Sergiy Stakhovsky, 2284304   size:30.75,Price: ,1.37,Andrey Golubev, 2454785   size:9.99,Price: ,3.4,ok
1.120990426, Sport: ,Tennis, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,Riba v Ignatik, Favorite: ,Pere Riba, 2489421   size:7.49,Price: ,1.52,Uladzimir Ignatik, 3259323   size:80.74,Price: ,2.7,ok
1.120972071, Sport: ,Tennis, Time: ,Thu Oct 01 21:00:00 CEST 2015, Time: ,Thu Oct 01 21:00:00 CEST 2015, Event: ,Brown/Kudla v Goransson/Lakat, Favorite: ,Brown/Kudla, 10344707   size:14.07,Price: ,1.18,Goransson/Lakat, 10344708   size:2.7,Price: ,6.0,x
1.120892067, Sport: ,Handball, Time: ,Thu Oct 01 20:30:00 CEST 2015, Time: ,Thu Oct 01 20:30:00 CEST 2015, Event: ,Skanderborg v Bjerringbro, Favorite: ,Bjerringbro, 2640558   size:9.74,Price: ,1.27,Skanderborg, 2467576   size:421.31,Price: ,5.3,Draw, 330157   size:181.21,Price: ,11.0,x
1.121004327, Sport: ,Basketball, Time: ,Thu Oct 01 20:00:00 CEST 2015, Time: ,Thu Oct 01 20:00:00 CEST 2015, Event: ,Egypt Women v Cameroon Women, Favorite: ,Cameroon Women, 10318447   size:4.17,Price: ,1.2,Egypt Women, 10318273   size:253.41,Price: ,4.3,ok
1.120983939, Sport: ,Tennis, Time: ,Thu Oct 01 20:00:00 CEST 2015, Time: ,Thu Oct 01 20:00:00 CEST 2015, Event: ,Bossel/Halys v Klein/Statham, Favorite: ,Klein/Statham, 8176552   size:38.64,Price: ,1.56,Bossel/Halys, 10344711   size:3.37,Price: ,2.58,ok
1.121007411, Sport: ,Volleyball, Time: ,Thu Oct 01 21:00:00 CEST 2015, Time: ,Thu Oct 01 21:00:00 CEST 2015, Event: ,Netherlands v Poland, Favorite: ,Netherlands, 678723   size:3427.24,Price: ,1.07,Poland, 678742   size:14.22,Price: ,11.5,ok
1.120964818, Sport: ,American Football, Time: ,Fri Oct 02 01:30:00 CEST 2015, Time: ,Fri Oct 02 01:30:00 CEST 2015, Event: ,Montreal @ Ottawa, Favorite: ,Ottawa, 8604244   size:2.76,Price: ,1.81,Montreal, 2014643   size:16.95,Price: ,2.14,ok
1.121004445, Sport: ,Tennis, Time: ,Fri Oct 02 04:00:00 CEST 2015, Time: ,Fri Oct 02 04:00:00 CEST 2015, Event: ,L Zhang v Sawayanagi, Favorite: ,Riko Sawayanagi, 8839049   size:14.88,Price: ,1.8,Ling Zhang, 4182952   size:56.46,Price: ,2.02,x
1.120986665, Sport: ,Tennis, Time: ,Thu Oct 01 20:00:00 CEST 2015, Time: ,Thu Oct 01 20:00:00 CEST 2015, Event: ,R Harrison v Michalicka, Favorite: ,Ryan Harrison, 2923247   size:30.67,Price: ,1.17,Marek Michalicka, 7048682   size:11.16,Price: ,5.7,x
1.121004307, Sport: ,Tennis, Time: ,Fri Oct 02 00:30:00 CEST 2015, Time: ,Fri Oct 02 00:30:00 CEST 2015, Event: ,Bangoura/Michalicka v Ball/Reid, Favorite: ,Ball/Reid, 8892655   size:3.5,Price: ,1.43,Bangoura/Michalicka, 10344703   size:7.75,Price: ,2.56,ok
1.120986328, Sport: ,Tennis, Time: ,Thu Oct 01 21:30:00 CEST 2015, Time: ,Thu Oct 01 21:30:00 CEST 2015, Event: ,Rogers v Crawford, Favorite: ,Shelby Rogers, 4943786   size:20.0,Price: ,1.44,Samantha Crawford, 6603928   size:6.76,Price: ,3.2,ok
1.120984769, Sport: ,Soccer, Time: ,Thu Oct 01 20:30:00 CEST 2015, Time: ,Thu Oct 01 20:30:00 CEST 2015, Event: ,St. Josephs FC v Angels FC, Favorite: ,St. Josephs FC, 8891285   size:21.96,Price: ,1.62,Angels FC, 10363051   size:15.21,Price: ,4.8,The Draw, 58805   size:16.25,Price: ,4.3,ok
1.120852845, Sport: ,Baseball, Time: ,Thu Oct 01 21:45:00 CEST 2015, Time: ,Thu Oct 01 21:45:00 CEST 2015, Event: ,LAD @ SF, Favorite: ,San Francisco (T Hudson), 8432632   size:289.16,Price: ,1.97,LA Dodgers (B Anderson), 9389898   size:374.16,Price: ,2.02,x
1.120835766, Sport: ,Soccer, Time: ,Fri Oct 02 13:30:00 CEST 2015, Time: ,Fri Oct 02 13:30:00 CEST 2015, Event: ,Brunei DPMM FC v Home Utd, Favorite: ,Brunei DPMM FC, 6238894   size:10.55,Price: ,1.89,Home Utd, 4852330   size:5.27,Price: ,4.6,The Draw, 58805   size:7.91,Price: ,3.55,ok
1.120994754, Sport: ,Tennis, Time: ,Fri Oct 02 08:15:00 CEST 2015, Time: ,Fri Oct 02 08:15:00 CEST 2015, Event: ,Kyrgios v Karlovic, Favorite: ,Nick Kyrgios, 7299658   size:306.61,Price: ,1.72,Ivo Karlovic, 2263570   size:8.64,Price: ,2.36,ok
1.121020218, Sport: ,Tennis, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Igoshin/Shyla v Myneni/Sharan, Favorite: ,Igoshin/Shyla, 10343465   size:6.25,Price: ,1.04,Myneni/Sharan, 9324247   size:6.25,Price: ,1.04,ok
1.121018004, Sport: ,Tennis, Time: ,Fri Oct 02 09:30:00 CEST 2015, Time: ,Fri Oct 02 09:30:00 CEST 2015, Event: ,Myneni v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:32.47,Price: ,1.24,Saketh Myneni, 7445661   size:8.15,Price: ,3.0,x
1.121004437, Sport: ,Tennis, Time: ,Fri Oct 02 09:30:00 CEST 2015, Time: ,Fri Oct 02 09:30:00 CEST 2015, Event: ,Mi Basic v Dustov, Favorite: ,Mirza Basic, 5499167   size:2.55,Price: ,1.57,Farrukh Dustov, 2386930   size:6.94,Price: ,1.9,x
1.120984494, Sport: ,Soccer, Time: ,Thu Oct 01 20:00:00 CEST 2015, Time: ,Thu Oct 01 20:00:00 CEST 2015, Event: ,Bonsucesso v Nova Iguacu, Favorite: ,Bonsucesso, 6089345   size:20.43,Price: ,1.68,Nova Iguacu, 1362126   size:23.0,Price: ,5.2,The Draw, 58805   size:7.13,Price: ,3.85,ok
1.120866744, Sport: ,Soccer, Time: ,Fri Oct 02 02:00:00 CEST 2015, Time: ,Fri Oct 02 02:00:00 CEST 2015, Event: ,Defensor Sporting v Lanus, Favorite: ,Lanus, 194513   size:8.11,Price: ,2.62,Defensor Sporting, 1222679   size:75.07,Price: ,3.15,The Draw, 58805   size:381.3,Price: ,3.15,x
1.121019571, Sport: ,Tennis, Time: ,Fri Oct 02 09:30:00 CEST 2015, Time: ,Fri Oct 02 09:30:00 CEST 2015, Event: ,Rodina v Vekic, Favorite: ,Evgeniya Rodina, 2415530   size:14.06,Price: ,1.68,Donna Vekic, 6603944   size:199.0,Price: ,2.36,x
1.120974339, Sport: ,Soccer, Time: ,Fri Oct 02 13:30:00 CEST 2015, Time: ,Fri Oct 02 13:30:00 CEST 2015, Event: ,Global v Albirex Niigata, Favorite: ,Albirex Niigata, 5712145   size:15.69,Price: ,2.04,Global, 9233649   size:14.93,Price: ,2.64,The Draw, 58805   size:3.97,Price: ,3.75,ok
1.120852868, Sport: ,Baseball, Time: ,Fri Oct 02 01:05:00 CEST 2015, Time: ,Fri Oct 02 01:05:00 CEST 2015, Event: ,BOS @ NYY, Favorite: ,New York Yankees (C Sabathia), 6607089   size:470.0,Price: ,1.72,Boston (R Hill), 10276314   size:101.99,Price: ,2.28,ok
