1.121617614, Sport: ,Tennis, Time: ,Thu Nov 05 12:00:00 CET 2015, Time: ,Thu Nov 05 12:00:00 CET 2015, Event: ,Wozniacki v S Kuznetsova, Favorite: ,Caroline Wozniacki, 2309522   size:403.82,Price: ,1.54,Svetlana Kuznetsova, 2256501   size:7.95,Price: ,2.84,x
1.121648648, Sport: ,Tennis, Time: ,Thu Nov 05 13:00:00 CET 2015, Time: ,Thu Nov 05 13:00:00 CET 2015, Event: ,N Djokovic v G Simon, Favorite: ,Novak Djokovic, 2249229   size:9227.11,Price: ,1.07,Gilles Simon, 2249345   size:9.69,Price: ,14.5,ok
1.121517657, Sport: ,Soccer, Time: ,Thu Nov 05 12:30:00 CET 2015, Time: ,Thu Nov 05 12:30:00 CET 2015, Event: ,Home Utd v Albirex Niigata, Favorite: ,Albirex Niigata, 5712145   size:5.99,Price: ,2.42,Home Utd, 4852330   size:7.88,Price: ,2.58,The Draw, 58805   size:2.55,Price: ,3.9,ok
1.121664539, Sport: ,Tennis, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Reix v Herdzelas, Favorite: ,Sherazad Reix, 9610851   size:2.55,Price: ,1.63,Dea Herdzelas, 8443235   size:8.52,Price: ,2.28,x
1.121647671, Sport: ,Soccer, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,FC Brasov v Ramnicu Valcea, Favorite: ,FC Brasov, 3204853   size:2.55,Price: ,2.02,Ramnicu Valcea, 4189796   size:7.54,Price: ,2.92,The Draw, 58805   size:2.55,Price: ,3.15,ok
1.121647395, Sport: ,Soccer, Time: ,Thu Nov 05 14:00:00 CET 2015, Time: ,Thu Nov 05 14:00:00 CET 2015, Event: ,CA Acassuso (Res) v Estudiantes Cas (Res), Favorite: ,CA Acassuso (Res), 10197579   size:4.2,Price: ,1.07,Estudiantes Cas (Res), 10490425   size:4.2,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121625364, Sport: ,Soccer, Time: ,Thu Nov 05 16:00:00 CET 2015, Time: ,Thu Nov 05 16:00:00 CET 2015, Event: ,Smouha v ENPPI, Favorite: ,ENPPI, 5259327   size:2.55,Price: ,1.87,Smouha, 5170871   size:2.55,Price: ,4.7,The Draw, 58805   size:2.11,Price: ,3.05,x
1.121653485, Sport: ,Tennis, Time: ,Thu Nov 05 10:30:00 CET 2015, Time: ,Thu Nov 05 10:30:00 CET 2015, Event: ,Goffin v A Murray, Favorite: ,Andy Murray, 2256509   size:8775.55,Price: ,1.16,David Goffin, 5224084   size:38.58,Price: ,6.6,ok
1.121649335, Sport: ,Tennis, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Kowalczyk/Marcan v Arends/Paval, Favorite: ,Kowalczyk/Marcan, 10431867   size:3.23,Price: ,1.55,Arends/Paval, 10483068   size:2.72,Price: ,1.84,ok
1.121637516, Sport: ,Tennis, Time: ,Thu Nov 05 16:00:00 CET 2015, Time: ,Thu Nov 05 16:00:00 CET 2015, Event: ,Ball/Brown v Bury/Siljestrom, Favorite: ,Bury/Siljestrom, 9940566   size:3.05,Price: ,1.64,Ball/Brown, 10409550   size:2.92,Price: ,1.71,ok
1.121558458, Sport: ,Volleyball, Time: ,Thu Nov 05 09:00:00 CET 2015, Time: ,Thu Nov 05 09:00:00 CET 2015, Event: ,Hyundai Hillstate v Heungkuk Pink Spiders, Favorite: ,Hyundai Hillstate, 10391682   size:272.08,Price: ,1.26,Heungkuk Pink Spiders, 10391681   size:2.76,Price: ,1.81,x
1.121664146, Sport: ,Tennis, Time: ,Thu Nov 05 18:45:00 CET 2015, Time: ,Thu Nov 05 18:45:00 CET 2015, Event: ,T Paul v Nielsen, Favorite: ,Tommy Paul, 8859306   size:41.87,Price: ,1.08,Frederik Nielsen, 2444574   size:41.87,Price: ,1.08,ok
1.121622703, Sport: ,Basketball, Time: ,Thu Nov 05 18:00:00 CET 2015, Time: ,Thu Nov 05 18:00:00 CET 2015, Event: ,Komarno v Prievidza, Favorite: ,Komarno, 6719595   size:3.49,Price: ,1.84,Prievidza, 6719644   size:72.93,Price: ,1.97,ok
1.121647781, Sport: ,Soccer, Time: ,Thu Nov 05 18:00:00 CET 2015, Time: ,Thu Nov 05 18:00:00 CET 2015, Event: ,Yarmouk (KUW) v Al Salmiyah, Favorite: ,Al Salmiyah, 7188818   size:10.27,Price: ,1.31,Yarmouk (KUW), 9274400   size:9.24,Price: ,5.1,The Draw, 58805   size:25.3,Price: ,3.8,ok
1.121649280, Sport: ,Tennis, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Mi Basic v Setkic, Favorite: ,Mirza Basic, 5499167   size:5.97,Price: ,1.38,Aldin Setkic, 7366936   size:70.74,Price: ,2.62,x
