1.122392937, Sport: ,Soccer, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Deveronvale v Huntly, Favorite: ,Deveronvale, 66265   size:3.65,Price: ,1.16,Huntly, 272083   size:3.65,Price: ,1.16,The Draw, 58805   size:4.08,Price: ,3.1,x
1.122355071, Sport: ,Rugby Union, Time: ,Sun Dec 27 18:15:00 CET 2015, Time: ,Sun Dec 27 18:15:00 CET 2015, Event: ,Munster v Leinster, Favorite: ,Munster, 1185061   size:2.61,Price: ,1.56,Leinster, 8875   size:2.62,Price: ,2.76,Draw, 246289   size:3.81,Price: ,21.0,x
1.122364107, Sport: ,Basketball, Time: ,Sun Dec 27 01:35:00 CET 2015, Time: ,Sun Dec 27 01:35:00 CET 2015, Event: ,Boston @ Detroit, Favorite: ,Boston, 13108   size:30.25,Price: ,1.98,Detroit, 13111   size:6.78,Price: ,2.0,ok
1.122364187, Sport: ,Basketball, Time: ,Sun Dec 27 01:05:00 CET 2015, Time: ,Sun Dec 27 01:05:00 CET 2015, Event: ,Memphis @ Charlotte, Favorite: ,Charlotte, 13110   size:388.5,Price: ,1.74,Memphis, 119812   size:3.77,Price: ,2.32,ok
1.122334092, Sport: ,Soccer, Time: ,Sun Dec 27 15:00:00 CET 2015, Time: ,Sun Dec 27 15:00:00 CET 2015, Event: ,Lanciano v Livorno, Favorite: ,Lanciano, 201325   size:12.05,Price: ,2.66,Livorno, 201326   size:149.05,Price: ,3.1,The Draw, 58805   size:309.3,Price: ,3.15,ok
1.122355078, Sport: ,Rugby Union, Time: ,Sun Dec 27 15:00:00 CET 2015, Time: ,Sun Dec 27 15:00:00 CET 2015, Event: ,Bordeaux v Grenoble, Favorite: ,Bordeaux, 5766262   size:8.61,Price: ,1.21,Grenoble, 233950   size:2.64,Price: ,4.7,Draw, 246289   size:2.63,Price: ,22.0,ok
1.122355079, Sport: ,Rugby Union, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Castres v Brive, Favorite: ,Castres, 61038   size:5.94,Price: ,1.32,Brive, 632440   size:5.94,Price: ,3.45,Draw, 246289   size:8.17,Price: ,20.0,ok
1.122285202, Sport: ,American Football, Time: ,Sun Dec 27 19:00:00 CET 2015, Time: ,Sun Dec 27 19:00:00 CET 2015, Event: ,Indianapolis @ Miami, Favorite: ,Miami Dolphins, 50201   size:2.73,Price: ,1.79,Indianapolis Colts, 50200   size:288.3,Price: ,2.22,x
1.122397674, Sport: ,Soccer, Time: ,Sun Dec 27 15:30:00 CET 2015, Time: ,Sun Dec 27 15:30:00 CET 2015, Event: ,CD Carinena v UD Fraga, Favorite: ,CD Carinena, 10403001   size:9.13,Price: ,1.06,UD Fraga, 10381911   size:9.13,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.122355077, Sport: ,Rugby Union, Time: ,Sun Dec 27 15:00:00 CET 2015, Time: ,Sun Dec 27 15:00:00 CET 2015, Event: ,Oyonnax v Stade Francais, Favorite: ,Stade Francais, 233949   size:4.39,Price: ,1.83,Oyonnax, 7431712   size:2.63,Price: ,2.14,Draw, 246289   size:2.65,Price: ,23.0,x
1.122355085, Sport: ,Rugby Union, Time: ,Sun Dec 27 21:00:00 CET 2015, Time: ,Sun Dec 27 21:00:00 CET 2015, Event: ,Toulouse v Toulon, Favorite: ,Toulouse, 52259   size:2.63,Price: ,1.76,Toulon, 1242213   size:2.63,Price: ,2.2,Draw, 246289   size:6.81,Price: ,20.0,ok
1.122355083, Sport: ,Rugby Union, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Pau v La Rochelle, Favorite: ,Pau, 21370   size:5.94,Price: ,1.52,La Rochelle, 4788784   size:5.94,Price: ,2.6,Draw, 246289   size:8.17,Price: ,20.0,ok
1.122355084, Sport: ,Rugby Union, Time: ,Sun Dec 27 18:00:00 CET 2015, Time: ,Sun Dec 27 18:00:00 CET 2015, Event: ,Clermont v Racing Metro, Favorite: ,Clermont, 1275770   size:13.63,Price: ,1.01,Racing Metro, 4121782   size:13.63,Price: ,1.01,Draw, 246289   size:2.66,Price: ,21.0,x
1.122355081, Sport: ,Rugby Union, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Montpellier v Agen, Favorite: ,Montpellier, 632441   size:136.32,Price: ,1.05,Agen, 690999   size:68.16,Price: ,7.6,Draw, 246289   size:68.16,Price: ,36.0,ok
1.122364117, Sport: ,Basketball, Time: ,Sun Dec 27 02:35:00 CET 2015, Time: ,Sun Dec 27 02:35:00 CET 2015, Event: ,Chicago @ Dallas, Favorite: ,Dallas, 13122   size:5.56,Price: ,1.76,Chicago, 13117   size:6.97,Price: ,2.3,ok
1.122333439, Sport: ,Soccer, Time: ,Sun Dec 27 13:00:00 CET 2015, Time: ,Sun Dec 27 13:00:00 CET 2015, Event: ,Bursaspor v Mersin Idman Yurdu, Favorite: ,Bursaspor, 113183   size:47.99,Price: ,1.48,Mersin Idman Yurdu, 508779   size:12.82,Price: ,8.4,The Draw, 58805   size:127.17,Price: ,4.7,ok
1.122364197, Sport: ,Basketball, Time: ,Sun Dec 27 01:05:00 CET 2015, Time: ,Sun Dec 27 01:05:00 CET 2015, Event: ,Miami @ Orlando, Favorite: ,Orlando, 13104   size:39.8,Price: ,1.57,Miami, 13109   size:267.0,Price: ,2.66,x
1.122372883, Sport: ,Basketball, Time: ,Sun Dec 27 15:00:00 CET 2015, Time: ,Sun Dec 27 15:00:00 CET 2015, Event: ,Torku Konyaspor v Turk Telekom, Favorite: ,Turk Telekom, 631280   size:50.26,Price: ,1.53,Torku Konyaspor, 8914461   size:94.66,Price: ,1.72,x
