1.121646273, Sport: ,Basketball, Time: ,Sat Nov 07 18:30:00 CET 2015, Time: ,Sat Nov 07 18:30:00 CET 2015, Event: ,Ratiopharm Ulm v Ludwigsburg, Favorite: ,Ratiopharm Ulm, 2114275   size:2.55,Price: ,1.48,Ludwigsburg, 689542   size:2.55,Price: ,2.42,x
1.121539332, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Coventry v Northampton, Favorite: ,Coventry, 48043   size:7.79,Price: ,1.88,Northampton, 5034   size:9.04,Price: ,4.8,The Draw, 58805   size:22.15,Price: ,3.75,x
1.121646277, Sport: ,Basketball, Time: ,Sat Nov 07 18:30:00 CET 2015, Time: ,Sat Nov 07 18:30:00 CET 2015, Event: ,sOliver Wurzburg v Bayreuth, Favorite: ,sOliver Wurzburg, 10371127   size:6.05,Price: ,1.31,Bayreuth, 5002542   size:8.25,Price: ,3.85,ok
1.121555081, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Glenavon v Ballinamallard Utd, Favorite: ,Glenavon, 46955   size:2.55,Price: ,1.81,Ballinamallard Utd, 3611091   size:8.55,Price: ,4.2,The Draw, 58805   size:8.29,Price: ,4.0,ok
1.121618420, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,London Irish v Bath, Favorite: ,Bath, 8887   size:714.44,Price: ,1.42,London Irish, 2734858   size:16.63,Price: ,3.25,Draw, 246289   size:4.98,Price: ,20.0,ok
1.121555085, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Carrick Rangers v Dungannon Swifts, Favorite: ,Carrick Rangers, 2757225   size:25.17,Price: ,2.26,Dungannon Swifts, 623959   size:2.55,Price: ,3.35,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121618466, Sport: ,Rugby League, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,France v Scotland, Favorite: ,Draw, 11126   size:353.07,Price: ,1.01,France, 11125   size:46.23,Price: ,1.03,Scotland, 10539   size:46.23,Price: ,1.03,x
1.121555083, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Ballymena v Glentoran, Favorite: ,Glentoran, 46944   size:2.55,Price: ,2.3,Ballymena, 539985   size:12.41,Price: ,3.0,The Draw, 58805   size:2.78,Price: ,3.7,ok
1.121618423, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Worcester v Newcastle, Favorite: ,Worcester, 283308   size:2.73,Price: ,1.41,Newcastle, 1247243   size:34.61,Price: ,3.1,Draw, 246289   size:14.01,Price: ,21.0,ok
1.121555089, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Linfield v Crusaders, Favorite: ,Linfield, 44330   size:10.23,Price: ,2.48,Crusaders, 539982   size:12.55,Price: ,2.72,The Draw, 58805   size:2.55,Price: ,3.65,x
