1.119596433, Sport: ,Soccer, Time: ,Wed Jul 22 20:00:00 CEST 2015, Time: ,Wed Jul 22 20:00:00 CEST 2015, Event: ,CA Paranaense U19 v Parana Curitiba U19, Favorite: ,Parana Curitiba U19, 6957731   size:141.58,Price: ,1.06,CA Paranaense U19, 9111267   size:91.71,Price: ,1.65,The Draw, 58805   size:11.0,Price: ,2.6,ok
1.119599664, Sport: ,Soccer, Time: ,Wed Jul 22 20:30:00 CEST 2015, Time: ,Wed Jul 22 20:30:00 CEST 2015, Event: ,ASD Camaiore Calcio v Empoli, Favorite: ,Empoli, 60294   size:2.79,Price: ,1.09,The Draw, 58805   size:36.73,Price: ,8.4,ASD Camaiore Calcio, 10039289   size:35.99,Price: ,11.5,ok
1.119602007, Sport: ,Soccer, Time: ,Wed Jul 22 20:45:00 CEST 2015, Time: ,Wed Jul 22 20:45:00 CEST 2015, Event: ,Stockport v Bolton U21, Favorite: ,Stockport, 47997   size:141.82,Price: ,1.06,Bolton U21, 6594013   size:18.93,Price: ,2.08,The Draw, 58805   size:15.82,Price: ,2.58,x
1.119578292, Sport: ,Soccer, Time: ,Thu Jul 23 01:30:00 CEST 2015, Time: ,Thu Jul 23 01:30:00 CEST 2015, Event: ,Deportivo Anzoategui v Mineros Guayana, Favorite: ,Deportivo Anzoategui, 3636185   size:2.55,Price: ,2.24,Mineros Guayana, 7456728   size:2.25,Price: ,3.35,The Draw, 58805   size:7.68,Price: ,3.5,x
1.119617188, Sport: ,Tennis, Time: ,Wed Jul 22 21:15:00 CEST 2015, Time: ,Wed Jul 22 21:15:00 CEST 2015, Event: ,Kuznetsov v Novikov, Favorite: ,Dennis Novikov, 6217982   size:44.31,Price: ,1.91,Alex Kuznetsov, 2263691   size:7.02,Price: ,1.96,ok
1.119590844, Sport: ,Darts, Time: ,Wed Jul 22 23:00:00 CEST 2015, Time: ,Wed Jul 22 23:00:00 CEST 2015, Event: ,Anderson v Suljovic, Favorite: ,Gary Anderson, 2409760   size:13508.35,Price: ,1.1,Mensur Suljovic, 2693783   size:11.44,Price: ,10.0,x
1.119616014, Sport: ,Soccer, Time: ,Wed Jul 22 21:30:00 CEST 2015, Time: ,Wed Jul 22 21:30:00 CEST 2015, Event: ,Estudiantes Caracas v Carabobo FC, Favorite: ,Carabobo FC, 893607   size:5.0,Price: ,2.8,Estudiantes Caracas, 9930413   size:18.02,Price: ,3.05,The Draw, 58805   size:14.98,Price: ,3.1,x
1.119601797, Sport: ,Soccer, Time: ,Wed Jul 22 20:45:00 CEST 2015, Time: ,Wed Jul 22 20:45:00 CEST 2015, Event: ,Solihull Moors v Sheff Utd U21, Favorite: ,Sheff Utd U21, 6812038   size:141.58,Price: ,1.06,The Draw, 58805   size:2.86,Price: ,1.25,x
1.119512327, Sport: ,Soccer, Time: ,Wed Jul 22 20:30:00 CEST 2015, Time: ,Wed Jul 22 20:30:00 CEST 2015, Event: ,Steaua Bucharest v Trencin, Favorite: ,Steaua Bucharest, 489080   size:884.26,Price: ,1.61,The Draw, 58805   size:9051.49,Price: ,4.2,Trencin, 501167   size:11.44,Price: ,7.0,x
1.119596545, Sport: ,Soccer, Time: ,Wed Jul 22 20:00:00 CEST 2015, Time: ,Wed Jul 22 20:00:00 CEST 2015, Event: ,FC Ararat v HUJK Emmaste, Favorite: ,HUJK Emmaste, 6649069   size:28.67,Price: ,1.7,FC Ararat, 8866981   size:8.54,Price: ,3.25,The Draw, 58805   size:6.58,Price: ,4.1,ok
1.119574118, Sport: ,Tennis, Time: ,Thu Jul 23 01:45:00 CEST 2015, Time: ,Thu Jul 23 01:45:00 CEST 2015, Event: ,Peliwo v Quigley, Favorite: ,Eric Quigley, 6596536   size:74.91,Price: ,1.81,Filip Peliwo, 7366916   size:11.02,Price: ,2.12,ok
