1.119555605, Sport: ,Soccer, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,Esbjerg v FC Copenhagen, Favorite: ,FC Copenhagen, 28217   size:266.0,Price: ,2.24,The Draw, 58805   size:12.29,Price: ,3.3,Esbjerg, 113193   size:109.51,Price: ,3.6,ok
1.119574361, Sport: ,Baseball, Time: ,Sun Jul 26 19:10:00 CEST 2015, Time: ,Sun Jul 26 19:10:00 CEST 2015, Event: ,CWS @ CLE, Favorite: ,Cleveland (D Salazar), 7423005   size:30.21,Price: ,1.58,Chicago White Sox (C Rodon), 9469946   size:56.76,Price: ,2.54,x
1.119682957, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Hibernian LFC (W) v Aberdeen (W), Favorite: ,Aberdeen (W), 8635135   size:3.56,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,x
1.119681507, Sport: ,Soccer, Time: ,Sun Jul 26 18:30:00 CEST 2015, Time: ,Sun Jul 26 18:30:00 CEST 2015, Event: ,Stuttgart v Winterthur, Favorite: ,Winterthur, 458019   size:260.32,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,x
1.119561604, Sport: ,Soccer, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,GAIS v Ljungskile, Favorite: ,Ljungskile, 502383   size:2.55,Price: ,2.62,GAIS, 384083   size:2.57,Price: ,2.8,The Draw, 58805   size:119.37,Price: ,3.6,x
1.119676157, Sport: ,Soccer, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Flandria v CA Colegiales, Favorite: ,Flandria, 9509138   size:2.08,Price: ,2.0,The Draw, 58805   size:4.19,Price: ,2.98,CA Colegiales, 7670892   size:3.87,Price: ,3.85,x
1.119562259, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,Stjarnan v IBV, Favorite: ,Stjarnan, 3831006   size:7.87,Price: ,1.76,The Draw, 58805   size:55.07,Price: ,4.1,IBV, 198705   size:291.96,Price: ,5.2,ok
1.119560994, Sport: ,Soccer, Time: ,Sun Jul 26 17:30:00 CEST 2015, Time: ,Sun Jul 26 17:30:00 CEST 2015, Event: ,CS Uni Craiova v Astra Giurgiu, Favorite: ,CS Uni Craiova, 7615862   size:26.71,Price: ,2.22,The Draw, 58805   size:86.0,Price: ,3.3,Astra Giurgiu, 4991412   size:21.06,Price: ,3.7,x
1.119566986, Sport: ,Cricket, Time: ,Sun Jul 26 11:30:00 CEST 2015, Time: ,Sun Jul 26 11:30:00 CEST 2015, Event: ,Yorkshire v Gloucestershire, Favorite: ,Yorkshire, 655   size:2.55,Price: ,1.46,Gloucestershire, 2219   size:142.85,Price: ,2.66,x
1.119566978, Sport: ,Cricket, Time: ,Sun Jul 26 11:30:00 CEST 2015, Time: ,Sun Jul 26 11:30:00 CEST 2015, Event: ,Somerset v Derbyshire, Favorite: ,Somerset, 5995   size:4.3,Price: ,1.64,Derbyshire, 31375   size:4.25,Price: ,2.42,x
1.119646862, Sport: ,Soccer, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,Wisla Plock v Bytovia Bytow, Favorite: ,Wisla Plock, 487520   size:2.13,Price: ,1.89,The Draw, 58805   size:17.15,Price: ,3.45,Bytovia Bytow, 5876553   size:2.55,Price: ,4.2,x
1.119689354, Sport: ,Tennis, Time: ,Sun Jul 26 13:00:00 CEST 2015, Time: ,Sun Jul 26 13:00:00 CEST 2015, Event: ,Gavrilova/Svitolina v Buyukakcay/Jankovic, Favorite: ,Gavrilova/Svitolina, 10058165   size:4.4,Price: ,1.68,Buyukakcay/Jankovic, 10025950   size:2.55,Price: ,2.1,ok
1.119562265, Sport: ,Soccer, Time: ,Sun Jul 26 17:30:00 CEST 2015, Time: ,Sun Jul 26 17:30:00 CEST 2015, Event: ,KPV v OPS, Favorite: ,OPS, 2391052   size:10.93,Price: ,1.08,The Draw, 58805   size:3.64,Price: ,1.29,x
1.119555173, Sport: ,Soccer, Time: ,Sun Jul 26 17:20:00 CEST 2015, Time: ,Sun Jul 26 17:20:00 CEST 2015, Event: ,Arsenal v Wolfsburg, Favorite: ,Arsenal, 1096   size:2.64,Price: ,1.67,The Draw, 58805   size:89.76,Price: ,4.3,Wolfsburg, 44521   size:94.36,Price: ,5.2,ok
