1.121468501, Sport: ,Tennis, Time: ,Sat Oct 24 14:45:00 CEST 2015, Time: ,Sat Oct 24 14:45:00 CEST 2015, Event: ,A Mannarino v Jo Smith, Favorite: ,Adrian Mannarino, 3066621   size:5.89,Price: ,1.38,John-Patrick Smith, 8243874   size:15.65,Price: ,2.98,ok
1.121260955, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Shonan v Kashima, Favorite: ,Shonan, 4546954   size:299.85,Price: ,1.34,Kashima, 441079   size:93.2,Price: ,10.5,The Draw, 58805   size:3.55,Price: ,5.9,ok
1.121255121, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,Qviding v Oddevold, Favorite: ,Qviding, 384101   size:10.88,Price: ,1.1,Oddevold, 778918   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121450824, Sport: ,Tennis, Time: ,Sat Oct 24 10:45:00 CEST 2015, Time: ,Sat Oct 24 10:45:00 CEST 2015, Event: ,Da Nguyen v J Ward, Favorite: ,James Ward, 2370329   size:173.3,Price: ,1.48,Daniel Nguyen, 8349390   size:29.12,Price: ,2.88,ok
1.121255125, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,IS Halmia v Oskarshamns AIK, Favorite: ,IS Halmia, 804931   size:10.88,Price: ,1.1,Oskarshamns AIK, 778920   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88,ok
1.121431722, Sport: ,Soccer, Time: ,Sat Oct 24 20:00:00 CEST 2015, Time: ,Sat Oct 24 20:00:00 CEST 2015, Event: ,Palmeiras U20 v Santos (Bra) U20, Favorite: ,Palmeiras U20, 5181619   size:3.62,Price: ,1.07,Santos (Bra) U20, 6714730   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88,ok
1.121329540, Sport: ,Cricket, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Namibia v Ireland, Favorite: ,Namibia, 144199   size:2160.82,Price: ,1.04,Ireland, 152530   size:2160.82,Price: ,1.04,The Draw, 60443   size:2160.82,Price: ,1.04,x
1.121344253, Sport: ,Rugby Union, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,Wasps v Bath, Favorite: ,Wasps, 8878   size:2.85,Price: ,1.72,Bath, 8887   size:2.72,Price: ,2.4,Draw, 246289   size:13.89,Price: ,20.0,ok
1.121385126, Sport: ,Ice Hockey, Time: ,Sat Oct 24 19:45:00 CEST 2015, Time: ,Sat Oct 24 19:45:00 CEST 2015, Event: ,Geneve Servette v Zug, Favorite: ,Geneve Servette, 4932959   size:32.57,Price: ,2.28,Zug, 257975   size:165.25,Price: ,2.36,Tie, 60104   size:115.79,Price: ,4.0,x
1.121434100, Sport: ,Soccer, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,SFM Senec v SK Sered, Favorite: ,SFM Senec, 6144037   size:5.0,Price: ,2.04,SK Sered, 6676698   size:5.0,Price: ,3.1,The Draw, 58805   size:6.25,Price: ,3.45,x
1.121432165, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,FK Minija Kretinga v FK Tauras, Favorite: ,FK Minija Kretinga, 9445042   size:10.88,Price: ,1.22,FK Tauras, 4810789   size:10.88,Price: ,1.5,The Draw, 58805   size:10.88,Price: ,3.0,x
1.121432440, Sport: ,Soccer, Time: ,Sat Oct 24 16:30:00 CEST 2015, Time: ,Sat Oct 24 16:30:00 CEST 2015, Event: ,GKS Tychy v Nadwislan Gora, Favorite: ,Nadwislan Gora, 10064486   size:137.57,Price: ,1.06,GKS Tychy, 2618019   size:10.0,Price: ,1.56,The Draw, 58805   size:20.0,Price: ,3.4,x
