1.122261070, Sport: ,Soccer, Time: ,Sun Dec 13 14:30:00 CET 2015, Time: ,Sun Dec 13 14:30:00 CET 2015, Event: ,VV Magreb90 v De Treffers, Favorite: ,VV Magreb90, 10622474   size:5.46,Price: ,1.1,De Treffers, 541701   size:47.58,Price: ,1.13,The Draw, 58805   size:38.5,Price: ,1.26,x
1.122216029, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Lleida v Olimpic Xativa, Favorite: ,Lleida, 911524   size:46.96,Price: ,1.42,Olimpic Xativa, 5213879   size:7.28,Price: ,10.5,The Draw, 58805   size:2.27,Price: ,3.9,ok
1.122262160, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,UD Los Barrios v CMD San Juan, Favorite: ,UD Los Barrios, 6617036   size:66.57,Price: ,2.04,CMD San Juan, 8390549   size:34.96,Price: ,2.98,The Draw, 58805   size:34.96,Price: ,2.98,ok
1.122139657, Sport: ,Soccer, Time: ,Sat Dec 12 22:05:00 CET 2015, Time: ,Sat Dec 12 22:05:00 CET 2015, Event: ,Las Palmas v Betis, Favorite: ,Las Palmas, 9163   size:1527.57,Price: ,2.22,Betis, 44507   size:587.2,Price: ,3.6,The Draw, 58805   size:1564.1,Price: ,3.55,ok
1.122232731, Sport: ,Basketball, Time: ,Sun Dec 13 06:00:00 CET 2015, Time: ,Sun Dec 13 06:00:00 CET 2015, Event: ,Shinhan Bank S Birds v Samsung Life Blue Minx, Favorite: ,Shinhan Bank S Birds, 5154533   size:2631.31,Price: ,1.06,Samsung Life Blue Minx, 7894748   size:190.42,Price: ,1.07,ok
1.122153825, Sport: ,Soccer, Time: ,Sun Dec 13 14:00:00 CET 2015, Time: ,Sun Dec 13 14:00:00 CET 2015, Event: ,Monaco v St Etienne, Favorite: ,Monaco, 361706   size:16.31,Price: ,2.18,St Etienne, 309689   size:118.13,Price: ,4.1,The Draw, 58805   size:347.14,Price: ,3.3,ok
1.122136031, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Antalyaspor v Mersin Idman Yurdu, Favorite: ,Mersin Idman Yurdu, 508779   size:3170.42,Price: ,1.09,Antalyaspor, 113188   size:38.66,Price: ,55.0,The Draw, 58805   size:6.07,Price: ,13.5,x
1.122216130, Sport: ,Basketball, Time: ,Sun Dec 13 02:05:00 CET 2015, Time: ,Sun Dec 13 02:05:00 CET 2015, Event: ,LA Lakers @ Houston, Favorite: ,Houston, 13123   size:30.46,Price: ,1.15,LA Lakers, 2120881   size:89.23,Price: ,6.8,ok
1.122127652, Sport: ,Soccer, Time: ,Sat Dec 12 20:00:00 CET 2015, Time: ,Sat Dec 12 20:00:00 CET 2015, Event: ,KV Mechelen v Lokeren, Favorite: ,KV Mechelen, 196024   size:5.46,Price: ,2.1,Lokeren, 43430   size:46.81,Price: ,3.85,The Draw, 58805   size:128.79,Price: ,3.55,x
1.122218430, Sport: ,Boxing, Time: ,Sun Dec 13 02:30:00 CET 2015, Time: ,Sun Dec 13 02:30:00 CET 2015, Event: ,Arreola v Kauffman, Favorite: ,Arreola, 3812505   size:2.71,Price: ,1.59,Kauffman, 10613419   size:38.62,Price: ,2.82,Draw, 31162   size:3.17,Price: ,18.0,ok
1.122216011, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Leioa v Real Madrid B, Favorite: ,Real Madrid B, 6539994   size:104.9,Price: ,2.06,Leioa, 8792389   size:47.86,Price: ,3.9,The Draw, 58805   size:46.4,Price: ,3.45,x
