1.121618847, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,NK Zagora v NK Omis, Favorite: ,NK Zagora, 3439340   size:61.86,Price: ,1.99,NK Omis, 8304258   size:53.24,Price: ,2.78,The Draw, 58805   size:32.92,Price: ,3.25,ok
1.121618902, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,FC Hradec Kralove U19 v FK Pardubice U19, Favorite: ,FC Hradec Kralove U19, 6854008   size:100.42,Price: ,1.82,FK Pardubice U19, 6620693   size:45.87,Price: ,3.9,The Draw, 58805   size:8.22,Price: ,3.8,ok
1.121636973, Sport: ,Tennis, Time: ,Tue Nov 03 17:00:00 CET 2015, Time: ,Tue Nov 03 17:00:00 CET 2015, Event: ,J Glushko v M Hibi, Favorite: ,Julia Glushko, 5321877   size:5.66,Price: ,1.49,Mayo Hibi, 7594221   size:19.03,Price: ,2.84,ok
1.121510498, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Benfica U19 v Galatasaray U19, Favorite: ,Benfica U19, 5373197   size:295.92,Price: ,1.04,Galatasaray U19, 7653235   size:118.35,Price: ,100.0,The Draw, 58805   size:17.63,Price: ,23.0,ok
1.121510443, Sport: ,Soccer, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,PSV U19 v Wolfsburg U19, Favorite: ,Wolfsburg U19, 6569328   size:23.69,Price: ,2.48,PSV U19, 2502335   size:20.38,Price: ,2.9,The Draw, 58805   size:4.76,Price: ,3.8,x
1.121509993, Sport: ,Soccer, Time: ,Tue Nov 03 17:00:00 CET 2015, Time: ,Tue Nov 03 17:00:00 CET 2015, Event: ,Zlate Moravce v Spartak Myjava, Favorite: ,Zlate Moravce, 2397382   size:29.53,Price: ,2.12,Spartak Myjava, 4247363   size:5.0,Price: ,3.7,The Draw, 58805   size:5.23,Price: ,3.55,ok
1.121636972, Sport: ,Tennis, Time: ,Tue Nov 03 18:30:00 CET 2015, Time: ,Tue Nov 03 18:30:00 CET 2015, Event: ,E Kostova v N Gibbs, Favorite: ,Nicole Gibbs, 4946628   size:227.24,Price: ,1.15,Elitsa Kostova, 6196031   size:30.32,Price: ,6.4,ok
1.121509681, Sport: ,Soccer, Time: ,Tue Nov 03 18:30:00 CET 2015, Time: ,Tue Nov 03 18:30:00 CET 2015, Event: ,St Polten v LASK Linz, Favorite: ,LASK Linz, 453570   size:73.73,Price: ,2.2,St Polten, 1088499   size:5.55,Price: ,3.7,The Draw, 58805   size:11.84,Price: ,3.55,x
1.121622775, Sport: ,Tennis, Time: ,Tue Nov 03 19:30:00 CET 2015, Time: ,Tue Nov 03 19:30:00 CET 2015, Event: ,N Djokovic v Bellucci, Favorite: ,Novak Djokovic, 2249229   size:96804.17,Pric,ok
1.121621218, Sport: ,Tennis, Time: ,Tue Nov 03 18:45:00 CET 2015, Time: ,Tue Nov 03 18:45:00 CET 2015, Event: ,J Pereira v A Mendoza, Favorite: ,Jose Pereira, 8174361   size:2.51,Price: ,1.09,Alejandro Mendoza, 7444907   size:4.0,Price: ,8.2,ok
1.121510109, Sport: ,Soccer, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,Delhi Dynamos v NorthEast Utd FC, Favorite: ,Delhi Dynamos, 8897748   size:50.24,Price: ,1.99,NorthEast Utd FC, 10360661   size:36.2,Price: ,4.2,The Draw, 58805   size:23.39,Price: ,3.75,x
1.121621139, Sport: ,Basketball, Time: ,Tue Nov 03 18:00:00 CET 2015, Time: ,Tue Nov 03 18:00:00 CET 2015, Event: ,Crvena Zvezda v Partizan, Favorite: ,Crvena Zvezda, 1275898   size:577.0,Price: ,1.13,Partizan, 266286   size:5.71,Price: ,7.2,ok
1.121625026, Sport: ,Tennis, Time: ,Tue Nov 03 17:00:00 CET 2015, Time: ,Tue Nov 03 17:00:00 CET 2015, Event: ,Du Brown v Hanfmann, Favorite: ,Dustin Brown, 4486603   size:3.97,Price: ,1.26,Yannick Hanfmann, 8639275   size:11.88,Price: ,3.9,ok
