1.121855213, Sport: ,Soccer, Time: ,Mon Nov 23 21:00:00 CET 2015, Time: ,Mon Nov 23 21:00:00 CET 2015, Event: ,Univ de Concepcion v Union La Calera, Favorite: ,Univ de Concepcion, 5129867   size:44.78,Price: ,1.63,Union La Calera, 5271439   size:20.95,Price: ,5.8,The Draw, 58805   size:84.87,Price: ,4.4,x
1.121937642, Sport: ,Basketball, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Cholet v Gravelines, Favorite: ,Gravelines, 1293964   size:210.3,Price: ,1.34,Cholet, 678099   size:58.24,Price: ,3.45,ok
1.121861449, Sport: ,Basketball, Time: ,Tue Nov 24 01:00:00 CET 2015, Time: ,Tue Nov 24 01:00:00 CET 2015, Event: ,LSU v Marquette, Favorite: ,LSU, 352409   size:2.55,Price: ,1.37,Marquette, 292295   size:150.91,Price: ,3.5,x
1.121960643, Sport: ,Tennis, Time: ,Tue Nov 24 05:15:00 CET 2015, Time: ,Tue Nov 24 05:15:00 CET 2015, Event: ,B Mitchell v M Reid, Favorite: ,Benjamin Mitchell, 4822932   size:2.55,Price: ,1.31,Matt Reid, 4423896   size:2.55,Price: ,3.75,ok
1.121967799, Sport: ,Tennis, Time: ,Mon Nov 23 19:09:00 CET 2015, Time: ,Mon Nov 23 19:09:00 CET 2015, Event: ,Kinard v Fichman, Favorite: ,Sharon Fichman, 3218660   size:121.54,Price: ,1.65,Tori Kinard, 6564416   size:57.07,Price: ,2.46,ok
1.121861445, Sport: ,Basketball, Time: ,Mon Nov 23 23:00:00 CET 2015, Time: ,Mon Nov 23 23:00:00 CET 2015, Event: ,Wake Forest v Indiana, Favorite: ,Indiana, 13116   size:2.55,Price: ,1.11,Wake Forest, 352102   size:2.0,Price: ,7.6,x
1.121868585, Sport: ,Ice Hockey, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Odense v Rungsted, Favorite: ,Odense, 70624   size:142.7,Price: ,1.71,Rungsted, 70625   size:168.57,Price: ,3.7,Tie, 60104   size:30.36,Price: ,5.7,x
1.121938098, Sport: ,Basketball, Time: ,Tue Nov 24 09:15:00 CET 2015, Time: ,Tue Nov 24 09:15:00 CET 2015, Event: ,NLEX Road Warriors v Meralco Bolts, Favorite: ,NLEX Road Warriors, 8911710   size:2.55,Price: ,1.69,Meralco Bolts, 5023541   size:2.55,Price: ,2.22,ok
1.121958321, Sport: ,Soccer, Time: ,Mon Nov 23 19:30:00 CET 2015, Time: ,Mon Nov 23 19:30:00 CET 2015, Event: ,Zebbug Rangers FC v Lija Athletic FC, Favorite: ,Lija Athletic FC, 7279365   size:4.35,Price: ,1.04,Zebbug Rangers FC, 8059675   size:81.79,Price: ,1.77,The Draw, 58805   size:2.21,Price: ,1.05,ok
1.121957551, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Chile U20 (W) v Venezuela (W) U20, Favorite: ,Venezuela (W) U20, 8060059   size:152.65,Price: ,2.12,Chile U20 (W), 10539473   size:4.9,Price: ,3.1,The Draw, 58805   size:16.98,Price: ,3.95,ok
1.121861486, Sport: ,Basketball, Time: ,Tue Nov 24 03:30:00 CET 2015, Time: ,Tue Nov 24 02:59:00 CET 2015, Event: ,Northwestern v North Carolina, Favorite: ,North Carolina, 332652   size:2.55,Price: ,1.17,Northwestern, 715472   size:7.41,Price: ,5.6,ok
1.121928307, Sport: ,Ice Hockey, Time: ,Tue Nov 24 01:35:00 CET 2015, Time: ,Tue Nov 24 01:35:00 CET 2015, Event: ,Los Angeles @ Florida, Favorite: ,Los Angeles, 2112286   size:14.05,Price: ,2.42,Florida, 2112317   size:119.65,Price: ,2.88,Tie, 60104   size:327.28,Price: ,3.9,ok
1.121928301, Sport: ,Ice Hockey, Time: ,Tue Nov 24 02:05:00 CET 2015, Time: ,Tue Nov 24 02:05:00 CET 2015, Event: ,Colorado @ Winnipeg, Favorite: ,Winnipeg, 5866888   size:5.0,Price: ,2.12,Colorado, 2108117   size:333.26,Price: ,3.2,Tie, 60104   size:531.0,Price: ,4.0,x
1.121951411, Sport: ,Basketball, Time: ,Tue Nov 24 02:05:00 CET 2015, Time: ,Tue Nov 24 02:05:00 CET 2015, Event: ,Detroit @ Milwaukee, Favorite: ,Detroit, 13111   size:14.26,Price: ,1.78,Milwaukee, 13115   size:5.22,Price: ,2.28,x
1.121952226, Sport: ,Tennis, Time: ,Tue Nov 24 05:15:00 CET 2015, Time: ,Tue Nov 24 05:15:00 CET 2015, Event: ,Moriya v Yo Nishioka, Favorite: ,Yoshihito Nishioka, 7137497   size:3.37,Price: ,1.48,Hiroki Moriya, 5858055   size:3.73,Price: ,2.88,ok
1.121967630, Sport: ,Tennis, Time: ,Mon Nov 23 21:30:00 CET 2015, Time: ,Mon Nov 23 21:30:00 CET 2015, Event: ,A Stevenson v Jovanovski, Favorite: ,Bojana Jovanovski, 4148045   size:4624.17,Price: ,1.07,Alexandra Stevenson, 2345233   size:19.05,Price: ,14.0,ok
1.121855287, Sport: ,Soccer, Time: ,Mon Nov 23 23:00:00 CET 2015, Time: ,Mon Nov 23 23:00:00 CET 2015, Event: ,Libertad v Deportivo Capiata, Favorite: ,Libertad, 328196   size:8.0,Price: ,1.53,Deportivo Capiata, 7037000   size:3.11,Price: ,7.4,The Draw, 58805   size:25.08,Price: ,4.6,x
1.121964237, Sport: ,Soccer, Time: ,Tue Nov 24 01:00:00 CET 2015, Time: ,Tue Nov 24 01:00:00 CET 2015, Event: ,America de Cali v Bucaramanga, Favorite: ,America de Cali, 330236   size:23.14,Price: ,2.16,Bucaramanga, 7032786   size:6.93,Price: ,3.55,The Draw, 58805   size:13.9,Price: ,3.45,x
1.121737360, Sport: ,Soccer, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Getafe v Rayo Vallecano, Favorite: ,Getafe, 248010   size:1754.91,Price: ,2.4,Rayo Vallecano, 10779   size:512.05,Price: ,3.25,The Draw, 58805   size:7169.48,Price: ,3.55,x
1.121960119, Sport: ,Tennis, Time: ,Tue Nov 24 09:00:00 CET 2015, Time: ,Tue Nov 24 09:00:00 CET 2015, Event: ,Mitchell/Thompson v Kudryavtsev/Watanuki, Favorite: ,Mitchell/Thompson, 8206153   size:2.55,Price: ,1.4,Kudryavtsev/Watanuki, 10553017   size:2.55,Price: ,2.7,ok
1.121951441, Sport: ,Basketball, Time: ,Tue Nov 24 03:05:00 CET 2015, Time: ,Tue Nov 24 02:59:00 CET 2015, Event: ,Oklahoma City @ Utah, Favorite: ,Utah, 13119   size:30.23,Price: ,1.62,Oklahoma City, 3363394   size:11.21,Price: ,2.54,x
1.121938585, Sport: ,Cricket, Time: ,Tue Nov 24 09:00:00 CET 2015, Time: ,Tue Nov 24 09:00:00 CET 2015, Event: ,Comilla v Chittagong, Favorite: ,Chittagong, 6119242   size:5.0,Price: ,1.82,Comilla, 10485382   size:15.9,Price: ,2.18,x
1.121960639, Sport: ,Tennis, Time: ,Tue Nov 24 07:30:00 CET 2015, Time: ,Tue Nov 24 07:30:00 CET 2015, Event: ,Takeuchi v Kibi, Favorite: ,Yuya Kibi, 8815719   size:3.88,Price: ,1.7,Kento Takeuchi, 8230215   size:29.72,Price: ,2.28,ok
1.121958398, Sport: ,Soccer, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Alloa U20 v Forfar U20, Favorite: ,Alloa U20, 9243282   size:2.55,Price: ,1.93,Forfar U20, 9244793   size:2.55,Price: ,3.2,The Draw, 58805   size:8.45,Price: ,4.3,x
1.121866203, Sport: ,Soccer, Time: ,Tue Nov 24 09:00:00 CET 2015, Time: ,Tue Nov 24 09:00:00 CET 2015, Event: ,Zenit St Petersburg U19 v Valencia U19, Favorite: ,Valencia U19, 6607335   size:18.0,Price: ,2.08,Zenit St Petersburg U19, 7653290   size:79.59,Price: ,2.18,The Draw, 58805   size:13.02,Price: ,3.45,ok
1.121957386, Sport: ,Soccer, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Angels FC v Gibraltar United FC, Favorite: ,Gibraltar United FC, 10419065   size:10.01,Price: ,2.26,Angels FC, 10363051   size:11.65,Price: ,2.38,The Draw, 58805   size:4.05,Price: ,3.25,ok
1.121968076, Sport: ,Tennis, Time: ,Tue Nov 24 03:30:00 CET 2015, Time: ,Tue Nov 24 03:30:00 CET 2015, Event: ,Y Tanaka v S Aoyama, Favorite: ,Shuko Aoyama, 5596565   size:2.55,Price: ,1.32,Yuuki Tanaka, 8839145   size:2.55,Price: ,3.5,x
1.121952218, Sport: ,Tennis, Time: ,Tue Nov 24 08:30:00 CET 2015, Time: ,Tue Nov 24 08:30:00 CET 2015, Event: ,Yu Watanuki v Vorster, Favorite: ,Tucker Vorster, 8842203   size:2.85,Price: ,1.83,Yusuke Watanuki, 8349393   size:2.43,Price: ,2.06,ok
1.121957826, Sport: ,Soccer, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Hyde v Stockport Town FC, Favorite: ,Hyde, 1053216   size:6.24,Price: ,1.15,Stockport Town FC, 10506608   size:62.35,Price: ,2.4,The Draw, 58805   size:5.97,Price: ,2.9,ok
1.121972620, Sport: ,Soccer, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Hungerford v Kings Lynn, Favorite: ,Hungerford, 4317868   size:2.99,Price: ,2.2,Kings Lynn, 2145880   size:37.37,Price: ,2.92,The Draw, 58805   size:6.2,Price: ,3.65,ok
1.121968152, Sport: ,Tennis, Time: ,Tue Nov 24 05:00:00 CET 2015, Time: ,Tue Nov 24 05:00:00 CET 2015, Event: ,Na-Lae Han v Kuwata, Favorite: ,Hiroko Kuwata, 8732124   size:32.09,Price: ,1.5,Na-Lae Han, 8842650   size:2.42,Price: ,2.72,ok
