1.120145920, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,St Mirren v Livingston, Favorite: ,St Mirren, 674748   size:266.95,Price: ,2.04,The Draw, 58805   size:12.98,Price: ,3.65,Livingston, 57423   size:269.44,Price: ,4.1,
1.120141295, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Margate v Dartford, Favorite: ,Margate, 42002   size:3.45,Price: ,2.5,Dartford, 3491521   size:2.2,Price: ,2.58,The Draw, 58805   size:2.16,Price: ,3.55,
1.120083238, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stoke v West Brom, Favorite: ,Stoke, 69720   size:949.99,Price: ,1.98,The Draw, 58805   size:1684.61,Price: ,3.45,West Brom, 1703   size:620.4,Price: ,4.7,
1.120231313, Sport: ,Ice Hockey, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Spartak v Lada, Favorite: ,Spartak, 2773599   size:34.09,Price: ,1.88,Lada, 2484346   size:64.0,Price: ,3.7,Tie, 60104   size:51.0,Price: ,4.3,
1.120147012, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Elgin v Stirling, Favorite: ,Elgin, 615041   size:8.25,Price: ,1.9,The Draw, 58805   size:16.33,Price: ,4.0,
1.120153668, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sheff Wed v Middlesbrough, Favorite: ,Middlesbrough, 63907   size:65.54,Price: ,2.38,The Draw, 58805   size:597.98,Price: ,3.35,Sheff Wed, 47992   size:13.76,Price: ,3.5,
1.120231305, Sport: ,Ice Hockey, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,SKA v Torpedo, Favorite: ,SKA, 2296808   size:93.0,Price: ,1.49,Tie, 60104   size:22.07,Price: ,5.5,Torpedo, 2484355   size:21.75,Price: ,5.7,
1.120231300, Sport: ,Ice Hockey, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Lokomotiv v Ak Bars, Favorite: ,Lokomotiv, 2240051   size:62.0,Price: ,2.34,AK Bars, 2582640   size:7.97,Price: ,2.82,Tie, 60104   size:5.0,Price: ,4.1,
1.120153205, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Nottm Forest v Cardiff, Favorite: ,Nottm Forest, 69718   size:110.51,Price: ,2.46,Cardiff, 79343   size:21.65,Price: ,3.2,The Draw, 58805   size:916.85,Price: ,3.4,
1.120153500, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hull v Preston, Favorite: ,Hull, 70385   size:335.95,Price: ,2.08,The Draw, 58805   size:903.02,Price: ,3.45,Preston, 56295   size:219.91,Price: ,4.2,
1.120145850, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Alloa v Morton, Favorite: ,Morton, 46283   size:37.05,Price: ,2.38,Alloa, 203715   size:32.48,Price: ,3.1,The Draw, 58805   size:6.6,Price: ,3.5,
1.120294315, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,AFC Metalosport Galati v ACS Sepsi OSK, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,
1.120294260, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,FC Olt Slatina v CS Atletic Bradu, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,
1.120145519, Sport: ,Soccer, Time: ,Sat Aug 29 17:45:00 CEST 2015, Time: ,Sat Aug 29 17:45:00 CEST 2015, Event: ,Lugano v Luzern, Favorite: ,Luzern, 65784   size:342.47,Price: ,2.18,Lugano, 65780   size:97.06,Price: ,3.35,The Draw, 58805   size:39.69,Price: ,3.9,
1.120145779, Sport: ,Soccer, Time: ,Sat Aug 29 17:45:00 CEST 2015, Time: ,Sat Aug 29 17:45:00 CEST 2015, Event: ,FC Wil v Chiasso, Favorite: ,FC Wil, 179085   size:25.5,Price: ,2.68,Chiasso, 457842   size:5.69,Price: ,2.86,The Draw, 58805   size:8.94,Price: ,3.5,
