1.119416263, Sport: ,Soccer, Time: ,Thu Jul 09 04:00:00 CEST 2015, Time: ,Thu Jul 09 04:00:00 CEST 2015, Event: ,Kitsap Pumas v Portland Timbers U23, Favorite: ,Kitsap Pumas, 5640309   size:10.53,Price: ,1.08,Portland Timbers U23, 9509743   size:99.48,Price: ,1.09,The Draw, 58805   size:4.74,Price: ,2.04,x
1.119405927, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,Vikingur Olafsvik (W) v Fram (W), Favorite: ,Vikingur Olafsvik (W), 6990836   size:99.48,Price: ,1.08,Fram (W), 5431512   size:36.4,Price: ,1.41,The Draw, 58805   size:3.22,Price: ,2.06,ok
1.119415251, Sport: ,Soccer, Time: ,Thu Jul 09 01:00:00 CEST 2015, Time: ,Thu Jul 09 01:00:00 CEST 2015, Event: ,Union San Felipe v Union Espanola, Favorite: ,Union Espanola, 1388376   size:2.67,Price: ,2.3,Union San Felipe, 4966011   size:7.17,Price: ,3.1,The Draw, 58805   size:5.82,Price: ,3.65,x
1.119337452, Sport: ,Soccer, Time: ,Thu Jul 09 03:00:00 CEST 2015, Time: ,Thu Jul 09 03:00:00 CEST 2015, Event: ,Atletico MG v Sport Recife, Favorite: ,Atletico MG, 361329   size:12.18,Price: ,1.46,The Draw, 58805   size:146.85,Price: ,4.7,Sport Recife, 2405306   size:29.2,Price: ,8.6,ok
1.119392130, Sport: ,Soccer, Time: ,Wed Jul 08 20:45:00 CEST 2015, Time: ,Wed Jul 08 20:45:00 CEST 2015, Event: ,St Albans v Watford, Favorite: ,Watford, 56301   size:50.67,Price: ,1.1,The Draw, 58805   size:31.08,Price: ,9.0,St Albans, 256465   size:72.38,Price: ,24.0,ok
1.119406545, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,Fram Reykjavik U19 v Vikingur Reykjavik U19, Favorite: ,Vikingur Reykjavik U19, 6390640   size:248.71,Price: ,1.4,The Draw, 58805   size:3.51,Price: ,2.04,x
1.119367034, Sport: ,Baseball, Time: ,Thu Jul 09 01:10:00 CEST 2015, Time: ,Thu Jul 09 01:10:00 CEST 2015, Event: ,MIA @ BOS, Favorite: ,Boston (R Porcello), 9385112   size:3.91,Price: ,1.57,Miami (T Koehler), 6720895   size:254.49,Price: ,2.62,ok
1.119341260, Sport: ,Soccer, Time: ,Thu Jul 09 04:30:00 CEST 2015, Time: ,Thu Jul 09 04:30:00 CEST 2015, Event: ,El Salvador v Canada, Favorite: ,Canada, 39112   size:191.75,Price: ,2.22,The Draw, 58805   size:949.73,Price: ,3.2,El Salvador, 256609   size:437.14,Price: ,4.1,x
1.119405531, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Coquimbo Unido v Deportes Copiapo, Favorite: ,Coquimbo Unido, 5800422   size:83.56,Price: ,2.34,Deportes Copiapo, 5663001   size:4.99,Price: ,3.25,The Draw, 58805   size:15.96,Price: ,3.55,ok
1.119391677, Sport: ,Basketball, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Poland (W) v Latvia (W), Favorite: ,Poland (W), 6427244   size:1366.07,Price: ,1.1,Latvia (W), 6427224   size:41.13,Price: ,4.2,ok
