1.119685036, Sport: ,Tennis, Time: ,Sat Jul 25 21:45:00 CEST 2015, Time: ,Sat Jul 25 21:45:00 CEST 2015, Event: ,Roger-Vasselin/Stepanek v Koolhof/Middelkoop, Favorite: ,Roger-Vasselin/Stepanek, 10020246   size:2.67,Price: ,1.35,Koolhof/Middelkoop, 9146551   size:3.72,Price: ,3.0,ok
1.119602252, Sport: ,Handball, Time: ,Sun Jul 26 01:00:00 CEST 2015, Time: ,Sun Jul 26 01:00:00 CEST 2015, Event: ,Portugal U21 v Qatar U21, Favorite: ,Portugal U21, 10026205   size:4.88,Price: ,1.79,Qatar U21, 7437023   size:7.36,Price: ,2.36,Draw, 330157   size:71.07,Price: ,8.0,x
1.119574352, Sport: ,Baseball, Time: ,Sun Jul 26 03:05:00 CEST 2015, Time: ,Sun Jul 26 03:05:00 CEST 2015, Event: ,TEX @ LAA, Favorite: ,LA Angels (H Santiago), 8432634   size:538.0,Price: ,1.59,Texas (Y Gallardo), 9378796   size:260.0,Price: ,2.54,x
1.119608237, Sport: ,Soccer, Time: ,Sun Jul 26 01:30:00 CEST 2015, Time: ,Sun Jul 26 01:30:00 CEST 2015, Event: ,LDU v Univ Catolica (Ecu), Favorite: ,LDU, 474678   size:2.37,Price: ,1.56,The Draw, 58805   size:3.41,Price: ,4.0,Univ Catolica (Ecu), 7005170   size:11.72,Price: ,7.2,x
1.119602257, Sport: ,Handball, Time: ,Sat Jul 25 20:30:00 CEST 2015, Time: ,Sat Jul 25 20:30:00 CEST 2015, Event: ,France U21 v South Korea U21, Favorite: ,France U21, 7437019   size:13.17,Price: ,1.66,South Korea U21, 7437046   size:8.4,Price: ,2.6,Draw, 330157   size:71.09,Price: ,8.0,ok
1.119654412, Sport: ,Soccer, Time: ,Sat Jul 25 23:30:00 CEST 2015, Time: ,Sat Jul 25 23:30:00 CEST 2015, Event: ,San Martin de Tucuman v Mitre de Santiago, Favorite: ,Mitre de Santiago, 10004928   size:10.92,Price: ,1.08,The Draw, 58805   size:3.64,Price: ,1.29,x
1.119560468, Sport: ,Soccer, Time: ,Sun Jul 26 03:00:00 CEST 2015, Time: ,Sun Jul 26 03:00:00 CEST 2015, Event: ,FC Juarez v Lobos BUAP, Favorite: ,Lobos BUAP, 6138085   size:6.49,Price: ,2.4,FC Juarez, 10002706   size:3.98,Price: ,2.5,The Draw, 58805   size:13.89,Price: ,2.6,x
1.119488252, Sport: ,Boxing, Time: ,Sun Jul 26 03:00:00 CEST 2015, Time: ,Sun Jul 26 03:00:00 CEST 2015, Event: ,Pascal v Gonzalez, Favorite: ,Jean Pascal, 3476201   size:130.76,Price: ,1.29,Yunieski Gonzalez, 9957025   size:16.57,Price: ,4.2,Draw, 31162   size:9.55,Price: ,29.0,ok
1.119677510, Sport: ,Soccer, Time: ,Sun Jul 26 04:00:00 CEST 2015, Time: ,Sun Jul 26 04:00:00 CEST 2015, Event: ,AD Belen Siglo XXI v Herediano, Favorite: ,Herediano, 4067826   size:9.85,Price: ,1.65,The Draw, 58805   size:26.84,Price: ,4.0,AD Belen Siglo XXI, 7568963   size:31.67,Price: ,5.3,ok
1.119649504, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,Elche v Olimpic Xativa, Favorite: ,Elche, 309111   size:139.88,Price: ,1.06,Olimpic Xativa, 5213879   size:141.17,Price: ,1.15,The Draw, 58805   size:5.0,Price: ,3.05,ok
