1.119713056, Sport: ,Tennis, Time: ,Tue Jul 28 08:00:00 CEST 2015, Time: ,Tue Jul 28 08:00:00 CEST 2015, Event: ,Abduraimova v Diatchenko, Favorite: ,Vitalia Diatchenko, 3674500   size:1759.25,Price: ,1.68,Nigina Abduraimova, 3378313   size:21.84,Price: ,2.42,ok
1.119574491, Sport: ,Baseball, Time: ,Tue Jul 28 01:10:00 CEST 2015, Time: ,Tue Jul 28 01:10:00 CEST 2015, Event: ,CWS @ BOS, Favorite: ,Boston (J Kelly), 8755664   size:26.31,Price: ,1.64,Chicago White Sox (J Danks), 2942998   size:26.01,Price: ,2.52,x
1.119698430, Sport: ,Tennis, Time: ,Tue Jul 28 09:30:00 CEST 2015, Time: ,Tue Jul 28 09:30:00 CEST 2015, Event: ,Kr Pliskova v L Zhu, Favorite: ,Kristyna Pliskova, 2403863   size:9.81,Price: ,1.57,Lin Zhu, 8714569   size:2.55,Price: ,2.58,x
1.119698358, Sport: ,Tennis, Time: ,Tue Jul 28 09:45:00 CEST 2015, Time: ,Tue Jul 28 09:45:00 CEST 2015, Event: ,Vasilevski v Du Lee, Favorite: ,Duckhee Lee, 8505197   size:2.55,Price: ,1.21,Andrei Vasilevski, 6669327   size:2.55,Price: ,4.8,ok
1.119574507, Sport: ,Baseball, Time: ,Tue Jul 28 01:10:00 CEST 2015, Time: ,Tue Jul 28 01:10:00 CEST 2015, Event: ,DET @ TB, Favorite: ,Tampa Bay (N Karns), 8837227   size:34.69,Price: ,1.89,Detroit (A Sanchez), 6546455   size:31.22,Price: ,2.1,ok
1.119230045, Sport: ,Bowls, Time: ,Tue Jul 28 10:00:00 CEST 2015, Time: ,Tue Jul 28 10:00:00 CEST 2015, Event: ,Skelton v Royal, Favorite: ,Mark Royal, 2266429   size:13.4,Price: ,1.01,x
1.119685263, Sport: ,Tennis, Time: ,Tue Jul 28 06:00:00 CEST 2015, Time: ,Tue Jul 28 06:00:00 CEST 2015, Event: ,Khachanov v Weintraub, Favorite: ,Karen Khachanov, 7659623   size:6.85,Price: ,1.78,Amir Weintraub, 5822663   size:5.47,Price: ,2.16,ok
1.119685264, Sport: ,Tennis, Time: ,Tue Jul 28 07:45:00 CEST 2015, Time: ,Tue Jul 28 07:45:00 CEST 2015, Event: ,Ivashka v Skugor, Favorite: ,Franko Skugor, 2862839   size:19.55,Price: ,1.57,Ilya Ivashka, 8304047   size:18.17,Price: ,2.38,ok
1.119230044, Sport: ,Bowls, Time: ,Tue Jul 28 09:00:00 CEST 2015, Time: ,Tue Jul 28 09:00:00 CEST 2015, Event: ,Ware v Willgress, Favorite: ,Wayne Willgress, 6982649   size:13.4,Price: ,1.01,x
1.119574547, Sport: ,Baseball, Time: ,Tue Jul 28 04:15:00 CEST 2015, Time: ,Tue Jul 28 04:15:00 CEST 2015, Event: ,MIL @ SF, Favorite: ,San Francisco (C Heston), 8875870   size:107.6,Price: ,1.6,Milwaukee (K Lohse), 7179919   size:172.8,Price: ,2.58,ok
1.119574523, Sport: ,Baseball, Time: ,Tue Jul 28 02:05:00 CEST 2015, Time: ,Tue Jul 28 02:05:00 CEST 2015, Event: ,COL @ CHC, Favorite: ,Chicago Cubs (K Hendricks), 8688427   size:299.55,Price: ,1.67,Colorado (J De La Rosa), 3017245   size:479.0,Price: ,2.38,ok
1.119707954, Sport: ,Soccer, Time: ,Tue Jul 28 01:00:00 CEST 2015, Time: ,Tue Jul 28 01:00:00 CEST 2015, Event: ,Quindio v Expreso Rojo, Favorite: ,Quindio, 5141456   size:39.83,Price: ,1.67,The Draw, 58805   size:9.78,Price: ,4.1,Expreso Rojo, 5486176   size:3.64,Price: ,5.8,ok
1.119713048, Sport: ,Tennis, Time: ,Tue Jul 28 09:30:00 CEST 2015, Time: ,Tue Jul 28 09:30:00 CEST 2015, Event: ,Nara v Savchuk, Favorite: ,Kurumi Nara, 3375664   size:141.92,Price: ,1.39,Olga Savchuk, 2263617   size:60.0,Price: ,3.2,x
1.119685251, Sport: ,Tennis, Time: ,Tue Jul 28 08:00:00 CEST 2015, Time: ,Tue Jul 28 08:00:00 CEST 2015, Event: ,Karimov v Khabibulin, Favorite: ,Djurabeck Karimov, 8599058   size:7.69,Price: ,1.45,Timur Khabibulin, 8304959   size:2.55,Price: ,2.86,x
1.119696969, Sport: ,Tennis, Time: ,Tue Jul 28 00:00:00 CEST 2015, Time: ,Tue Jul 28 00:00:00 CEST 2015, Event: ,Becker/Lacko v Baghdatis/Jaziri, Favorite: ,Becker/Lacko, 10079041   size:12.23,Price: ,1.75,Baghdatis/Jaziri, 10079042   size:3.03,Price: ,2.08,x
1.119707895, Sport: ,Soccer, Time: ,Tue Jul 28 03:00:00 CEST 2015, Time: ,Tue Jul 28 03:00:00 CEST 2015, Event: ,Fortaleza (Col) v Union Magdalena, Favorite: ,Fortaleza (Col), 8220184   size:4.99,Price: ,1.84,The Draw, 58805   size:2.43,Price: ,3.05,Union Magdalena, 5343365   size:2.82,Price: ,3.55,ok
1.119691417, Sport: ,Tennis, Time: ,Tue Jul 28 10:30:00 CEST 2015, Time: ,Tue Jul 28 10:30:00 CEST 2015, Event: ,St Robert v Souza, Favorite: ,Stephane Robert, 4422812   size:20.14,Price: ,1.93,Joao Souza, 4490590   size:70.0,Price: ,1.97,ok
1.119713034, Sport: ,Tennis, Time: ,Tue Jul 28 08:00:00 CEST 2015, Time: ,Tue Jul 28 08:00:00 CEST 2015, Event: ,Beygelzimer v Zh Yang, Favorite: ,Zhaoxuan Yang, 8172570   size:3.02,Price: ,1.81,Yuliya Beygelzimer, 3674505   size:5.85,Price: ,2.06,ok
1.119574539, Sport: ,Baseball, Time: ,Tue Jul 28 04:10:00 CEST 2015, Time: ,Tue Jul 28 04:10:00 CEST 2015, Event: ,ARI @ SEA, Favorite: ,Seattle (M Montgomery), 9547472   size:534.0,Price: ,1.85,Arizona (R Ray), 9458902   size:349.82,Price: ,2.08,x
1.119704162, Sport: ,Tennis, Time: ,Tue Jul 28 10:30:00 CEST 2015, Time: ,Tue Jul 28 10:30:00 CEST 2015, Event: ,Kavcic v Reister, Favorite: ,Julian Reister, 2607569   size:216.02,Price: ,1.53,Blaz Kavcic, 2863465   size:4.99,Price: ,2.76,ok
1.119713062, Sport: ,Tennis, Time: ,Tue Jul 28 09:30:00 CEST 2015, Time: ,Tue Jul 28 09:30:00 CEST 2015, Event: ,O Ianchuk v Tig, Favorite: ,Patricia Maria Tig, 8679189   size:21.0,Price: ,1.47,Olga Ianchuk, 7429432   size:2.55,Price: ,2.8,ok
1.119686232, Sport: ,Tennis, Time: ,Tue Jul 28 10:00:00 CEST 2015, Time: ,Tue Jul 28 10:00:00 CEST 2015, Event: ,Ka Chang v Su Hsieh, Favorite: ,Su-Wei Hsieh, 8244521   size:2.38,Price: ,1.52,Kai-Chen Chang, 8887166   size:2.55,Price: ,2.64,x
