1.122528521, Sport: ,Tennis, Time: ,Sat Jan 09 12:30:00 CET 2016, Time: ,Sat Jan 09 12:30:00 CET 2016, Event: ,S Wawrinka v Paire, Favorite: ,Stan Wawrinka, 8597476   size:95.08,Price: ,1.26,Benoit Paire, 3911345   size:9.25,Price: ,4.6,ok
1.122532900, Sport: ,Basketball, Time: ,Sat Jan 09 01:00:00 CET 2016, Time: ,Sat Jan 09 01:00:00 CET 2016, Event: ,Valparaiso @ Oakland, Favorite: ,Valparaiso, 732125   size:237.92,Price: ,1.64,Oakland, 742253   size:42.19,Price: ,2.36,ok
1.122530963, Sport: ,Tennis, Time: ,Sat Jan 09 05:15:00 CET 2016, Time: ,Sat Jan 09 05:15:00 CET 2016, Event: ,Nalamphun v Neuchrist, Favorite: ,Maximilian Neuchrist, 7797896   size:147.1,Price: ,1.01,Jatuporn Nalamphun, 9259321   size:9.18,Price: ,1.06,ok
1.122490188, Sport: ,Ice Hockey, Time: ,Sat Jan 09 18:30:00 CET 2016, Time: ,Sat Jan 09 18:30:00 CET 2016, Event: ,Brynas IF v Malmo IF, Favorite: ,Brynas IF, 61438   size:2.66,Price: ,1.03,Malmo IF, 61436   size:2.66,Price: ,1.03,Tie, 60104   size:13.77,Price: ,1.04,ok
1.122504238, Sport: ,Basketball, Time: ,Sat Jan 09 18:00:00 CET 2016, Time: ,Sat Jan 09 18:00:00 CET 2016, Event: ,Hradec v Kolin, Favorite: ,Kolin, 7758592   size:6.7,Price: ,1.75,Hradec, 7758594   size:4.65,Price: ,2.08,x
1.122530606, Sport: ,Soccer, Time: ,Sat Jan 09 15:00:00 CET 2016, Time: ,Sat Jan 09 15:00:00 CET 2016, Event: ,Roma U19 v Inter U19, Favorite: ,Roma U19, 6771865   size:27.55,Price: ,1.02,Inter U19, 2503323   size:27.55,Price: ,1.02,The Draw, 58805   size:2.66,Price: ,1.25,x
1.122530969, Sport: ,Tennis, Time: ,Sat Jan 09 10:30:00 CET 2016, Time: ,Sat Jan 09 10:30:00 CET 2016, Event: ,Panfil v Sekiguchi, Favorite: ,Grzegorz Panfil, 7412916   size:9.18,Price: ,1.06,Shuichi Sekiguchi, 7689554   size:9.18,Price: ,1.06,x
1.122426653, Sport: ,Soccer, Time: ,Sat Jan 09 04:36:00 CET 2016, Time: ,Sat Jan 09 04:36:00 CET 2016, Event: ,Cimarrones de Sonora v Alebrijes de Oaxaca, Favorite: ,Alebrijes de Oaxaca, 9988722   size:3.71,Price: ,2.56,Cimarrones de Sonora, 9988723   size:2.41,Price: ,2.66,The Draw, 58805   size:3.39,Price: ,3.25,x
1.122530961, Sport: ,Tennis, Time: ,Sat Jan 09 07:00:00 CET 2016, Time: ,Sat Jan 09 07:00:00 CET 2016, Event: ,T Tortrakul v Elistratov, Favorite: ,Evgeny Elistratov, 7658444   size:25.33,Price: ,1.02,Teeradon Tortrakul, 10702719   size:9.18,Price: ,1.06,ok
1.122481236, Sport: ,Basketball, Time: ,Sat Jan 09 01:00:00 CET 2016, Time: ,Sat Jan 09 01:00:00 CET 2016, Event: ,San Martin v Libertad, Favorite: ,San Martin, 8861781   size:8.32,Price: ,1.28,Libertad, 6719116   size:29.34,Price: ,4.2,ok
1.122539412, Sport: ,Soccer, Time: ,Sat Jan 09 18:15:00 CET 2016, Time: ,Sat Jan 09 18:15:00 CET 2016, Event: ,Throttur Reykjavik (W) v HK Vikingur (W), Favorite: ,Throttur Reykjavik (W), 5306077   size:27.55,Price: ,1.02,HK Vikingur (W), 5330937   size:27.55,Price: ,1.02,The Draw, 58805   size:2.66,Price: ,1.25,x
1.122481237, Sport: ,Basketball, Time: ,Sat Jan 09 01:30:00 CET 2016, Time: ,Sat Jan 09 01:30:00 CET 2016, Event: ,Weber Bahia Estudiantes v Quilmes, Favorite: ,Weber Bahia Estudiantes, 6719105   size:321.96,Price: ,1.29,Quilmes, 7753472   size:10.24,Price: ,3.85,ok
1.122424590, Sport: ,Soccer, Time: ,Sat Jan 09 15:00:00 CET 2016, Time: ,Sat Jan 09 15:00:00 CET 2016, Event: ,Teramo v Pontedera, Favorite: ,Teramo, 501201   size:2.55,Price: ,2.34,Pontedera, 5727544   size:2.64,Price: ,3.0,The Draw, 58805   size:2.55,Price: ,3.15,x
1.122458696, Sport: ,Rugby Union, Time: ,Fri Jan 08 20:45:00 CET 2016, Time: ,Fri Jan 08 20:45:00 CET 2016, Event: ,Ospreys v Leinster, Favorite: ,Leinster, 8875   size:422.15,Price: ,1.53,Ospreys, 789915   size:67.48,Price: ,3.2,Draw, 246289   size:260.86,Price: ,21.0,ok
1.122423021, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Welling Utd v Grimsby, Favorite: ,Grimsby, 48001   size:101.78,Price: ,1.52,Welling Utd, 1222695   size:12.3,Price: ,8.2,The Draw, 58805   size:5.64,Price: ,4.4,ok
1.122514030, Sport: ,Soccer, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,Hviti Riddarinn (W) v Vikingur Olafsvik (W), Favorite: ,Hviti Riddarinn (W), 9516394   size:27.55,Price: ,1.02,Vikingur Olafsvik (W), 6990836   size:27.55,Price: ,1.02,The Draw, 58805   size:27.55,Price: ,1.02,x
1.122537473, Sport: ,Darts, Time: ,Sat Jan 09 19:00:00 CET 2016, Time: ,Sat Jan 09 19:00:00 CET 2016, Event: ,Scott Waites v Jamie Hughes, Favorite: ,Scott Waites, 2623671   size:2.55,Price: ,1.54,Jamie Hughes, 8659376   size:200.04,Price: ,2.4,ok
1.122481235, Sport: ,Basketball, Time: ,Sat Jan 09 02:00:00 CET 2016, Time: ,Sat Jan 09 02:00:00 CET 2016, Event: ,Instituto Atletico Cent v Sionista, Favorite: ,Instituto Atletico Cent, 10346458   size:10.94,Price: ,1.33,Sionista, 6719083   size:11.27,Price: ,3.6,ok
1.122414433, Sport: ,Ice Hockey, Time: ,Sat Jan 09 01:05:00 CET 2016, Time: ,Sat Jan 09 01:05:00 CET 2016, Event: ,Boston @ New Jersey, Favorite: ,Boston, 2112316   size:110.09,Price: ,2.48,New Jersey, 2112200   size:104.63,Price: ,2.74,Tie, 60104   size:315.05,Price: ,3.9,ok
1.122481473, Sport: ,Basketball, Time: ,Sat Jan 09 02:05:00 CET 2016, Time: ,Sat Jan 09 02:05:00 CET 2016, Event: ,Indiana @ New Orleans, Favorite: ,Indiana, 13116   size:8.59,Price: ,1.8,New Orleans, 6860646   size:8.45,Price: ,2.2,ok
1.122506775, Sport: ,Handball, Time: ,Sat Jan 09 18:30:00 CET 2016, Time: ,Sat Jan 09 18:30:00 CET 2016, Event: ,Larvik HK v Thuringer HC, Favorite: ,Larvik HK, 625876   size:2.58,Price: ,1.11,Thuringer HC, 5860974   size:2.58,Price: ,7.2,Draw, 330157   size:2.58,Price: ,11.5,ok
1.122529852, Sport: ,Soccer, Time: ,Sat Jan 09 16:15:00 CET 2016, Time: ,Sat Jan 09 16:15:00 CET 2016, Event: ,Fylkir (W) v Fram (W), Favorite: ,Fylkir (W), 5281227   size:27.55,Price: ,1.02,Fram (W), 5431512   size:27.55,Price: ,1.02,The Draw, 58805   size:2.66,Price: ,1.25,ok
1.122529974, Sport: ,Soccer, Time: ,Sat Jan 09 19:00:00 CET 2016, Time: ,Sat Jan 09 19:00:00 CET 2016, Event: ,Guarani FC Campinas U20 v Botafogo Joao Pess U20, Favorite: ,Guarani FC Campinas U20, 6714738   size:49.39,Price: ,1.48,Botafogo Joao Pess U20, 10702657   size:203.93,Price: ,3.3,The Draw, 58805   size:203.93,Price: ,3.3,ok
1.122490297, Sport: ,Basketball, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,Spartak Pleven v Academic Bulteks 99, Favorite: ,Spartak Pleven, 7753535   size:3.22,Price: ,1.03,Academic Bulteks 99, 10393950   size:3.22,Price: ,1.03,ok
1.122495867, Sport: ,Soccer, Time: ,Sat Jan 09 18:00:00 CET 2016, Time: ,Sat Jan 09 18:00:00 CET 2016, Event: ,Bordeaux Stade v Plabennec, Favorite: ,Bordeaux Stade, 6873379   size:27.55,Price: ,1.02,Plabennec, 669350   size:27.55,Price: ,1.02,The Draw, 58805   size:2.66,Price: ,1.25,x
1.122530977, Sport: ,Tennis, Time: ,Sat Jan 09 10:00:00 CET 2016, Time: ,Sat Jan 09 10:00:00 CET 2016, Event: ,Garanganga v Peliwo, Favorite: ,Filip Peliwo, 7366916   size:66.67,Price: ,1.68,Takanyi Garanganga, 7048673   size:66.67,Price: ,1.96,x
1.122504349, Sport: ,Basketball, Time: ,Sat Jan 09 17:30:00 CET 2016, Time: ,Sat Jan 09 17:30:00 CET 2016, Event: ,NH Ostrava v Usti nad Labem, Favorite: ,NH Ostrava, 7758595   size:25.68,Price: ,1.88,Usti Nad Labem, 7758609   size:5.46,Price: ,1.92,ok
1.122447107, Sport: ,Soccer, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,Benfica B v Olhanense, Favorite: ,Benfica B, 6563318   size:6.0,Price: ,1.89,Olhanense, 2524227   size:16.77,Price: ,4.6,The Draw, 58805   size:22.84,Price: ,3.5,x
1.122425455, Sport: ,Soccer, Time: ,Sat Jan 09 14:00:00 CET 2016, Time: ,Sat Jan 09 14:00:00 CET 2016, Event: ,Ischia Isolaverde v Cosenza, Favorite: ,Cosenza, 60302   size:65.96,Price: ,2.32,Ischia Isolaverde, 8203820   size:2.65,Price: ,3.2,The Draw, 58805   size:2.51,Price: ,3.2,ok
1.122538219, Sport: ,Tennis, Time: ,Sat Jan 09 08:30:00 CET 2016, Time: ,Sat Jan 09 08:30:00 CET 2016, Event: ,Ugo Humbert v Christoph Negritu, Favorite: ,Ugo Humbert, 9633253   size:9.18,Price: ,1.06,Christoph Negritu, 9625845   size:9.18,Price: ,1.06,ok
1.122427753, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Dunfermline v Ross Co, Favorite: ,Ross Co, 674742   size:13.13,Price: ,1.96,Dunfermline, 48812   size:11.09,Price: ,3.8,The Draw, 58805   size:9.75,Price: ,3.9,x
