1.119226065, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Bloomfield v Dustov, Favorite: ,Farrukh Dustov, 2386930   size:211.32,Price: ,1.27,Richard Bloomfield, 2443801   size:8.7,Price: ,4.2,ok
1.119226087, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Kubler v Machado, Favorite: ,Jason Kubler, 4448756   size:22.57,Price: ,1.74,Rui Machado, 2969565   size:12.92,Price: ,2.2,ok
1.119225493, Sport: ,Tennis, Time: ,Mon Jun 22 18:45:00 CEST 2015, Time: ,Mon Jun 22 18:45:00 CEST 2015, Event: ,Falconi v Dulgheru, Favorite: ,Alexandra Dulgheru, 2548758   size:7.2,Price: ,1.78,Irina Falconi, 4946384   size:2.95,Price: ,2.18,x
1.119226153, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Dodig v Donaldson, Favorite: ,Ivan Dodig, 2835266   size:51.18,Price: ,1.36,Jared Donaldson, 7413423   size:10.32,Price: ,3.7,ok
1.119217933, Sport: ,Tennis, Time: ,Mon Jun 22 17:45:00 CEST 2015, Time: ,Mon Jun 22 17:45:00 CEST 2015, Event: ,Strycova v Begu, Favorite: ,Barbora Strycova, 9416669   size:1122.97,Price: ,1.5,Irina Camelia Begu, 5253284   size:5.48,Price: ,2.98,ok
1.119215622, Sport: ,Tennis, Time: ,Mon Jun 22 19:00:00 CEST 2015, Time: ,Mon Jun 22 19:00:00 CEST 2015, Event: ,Carreno Busta v Fritz, Favorite: ,Pablo Carreno Busta, 5479878   size:3.28,Price: ,1.67,Taylor Harry Fritz, 8784961   size:85.92,Price: ,2.48,x
1.119218518, Sport: ,Tennis, Time: ,Mon Jun 22 19:45:00 CEST 2015, Time: ,Mon Jun 22 19:45:00 CEST 2015, Event: ,Andujar/Oliver Marach v Cuevas/David Marrero, Favorite: ,Cuevas/Marrero, 8491495   size:5.72,Price: ,1.59,Andujar/Marach, 9219422   size:3.11,Price: ,2.54,ok
1.119218502, Sport: ,Tennis, Time: ,Mon Jun 22 18:00:00 CEST 2015, Time: ,Mon Jun 22 18:00:00 CEST 2015, Event: ,Guccione/Andre Sa v Monaco/Diego Schwartzman, Favorite: ,Guccione/Sa, 9378423   size:2.54,Price: ,1.41,Monaco/Schwartzman, 9653265   size:8.27,Price: ,3.05,ok
1.119173283, Sport: ,Basketball, Time: ,Mon Jun 22 18:00:00 CEST 2015, Time: ,Mon Jun 22 18:00:00 CEST 2015, Event: ,Spain (W) v Russia (W), Favorite: ,Spain (W), 6427242   size:422.07,Price: ,1.51,Russia (W), 7306785   size:200.0,Price: ,2.86,ok
1.119225517, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Brengle v Hercog, Favorite: ,Polona Hercog, 2548781   size:108.68,Price: ,1.64,Madison Brengle, 2263603   size:4.78,Price: ,2.46,ok
1.119225858, Sport: ,Tennis, Time: ,Mon Jun 22 18:00:00 CEST 2015, Time: ,Mon Jun 22 18:00:00 CEST 2015, Event: ,Mayer v Chung, Favorite: ,Leonardo Mayer, 3186303   size:41.59,Price: ,1.67,Hyeon Chung, 7690576   size:34.8,Price: ,2.46,ok
1.119225529, Sport: ,Tennis, Time: ,Mon Jun 22 19:15:00 CEST 2015, Time: ,Mon Jun 22 19:15:00 CEST 2015, Event: ,Gajdosova v Davis, Favorite: ,Jarmila Gajdosova, 5497360   size:371.94,Price: ,1.79,Lauren Davis, 4176991   size:23.22,Price: ,2.2,ok
1.119222426, Sport: ,Tennis, Time: ,Mon Jun 22 17:30:00 CEST 2015, Time: ,Mon Jun 22 17:30:00 CEST 2015, Event: ,Garin v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:3.59,Price: ,1.19,Christian Garin, 6670624   size:4.06,Price: ,5.3,ok
1.119225959, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Munoz-De La Nava v Corrie, Favorite: ,Daniel Munoz De La Nava, 2835300   size:22.92,Price: ,1.89,Edward Corrie, 7337094   size:65.53,Price: ,2.04,x
1.119225967, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Weintraub v Fratangelo, Favorite: ,Bjorn Fratangelo, 7593723   size:6.98,Price: ,1.73,Amir Weintraub, 5822663   size:6.15,Price: ,2.22,ok
1.119221679, Sport: ,Basketball, Time: ,Mon Jun 22 20:45:00 CEST 2015, Time: ,Mon Jun 22 20:45:00 CEST 2015, Event: ,Reggio Emilia v Dinamo Sassari, Favorite: ,Reggio Emilia, 958950   size:96.0,Price: ,1.52,Dinamo Sassari, 5520916   size:30.31,Price: ,2.66,ok
