1.122301260, Sport: ,Ice Hockey, Time: ,Thu Dec 24 15:30:00 CET 2015, Time: ,Thu Dec 24 15:30:00 CET 2015, Event: ,Salavat v Spartak, Favorite: ,Salavat, 2304930   size:61.0,Price: ,1.63,Spartak, 2773599   size:23.8,Price: ,4.8,Tie, 60104   size:56.0,Price: ,5.2,x
1.122369204, Sport: ,Basketball, Time: ,Fri Dec 25 08:00:00 CET 2015, Time: ,Fri Dec 25 08:00:00 CET 2015, Event: ,Seoul Knights v Goyang Orions, Favorite: ,Seoul Knights, 7954787   size:3.0,Price: ,1.05,Goyang Orions, 5889518   size:3.0,Price: ,1.05,ok
1.122369200, Sport: ,Basketball, Time: ,Fri Dec 25 06:00:00 CET 2015, Time: ,Fri Dec 25 06:00:00 CET 2015, Event: ,Ulsan Mobis Phoebus v Busan Sonicboom, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:2.55,Price: ,1.07,Busan Sonicboom, 8941900   size:5.93,Price: ,1.49,x
1.122372322, Sport: ,Soccer, Time: ,Thu Dec 24 14:00:00 CET 2015, Time: ,Thu Dec 24 14:00:00 CET 2015, Event: ,CA Bizertin v AS Marsa, Favorite: ,CA Bizertin, 7438197   size:13.8,Price: ,2.08,AS Marsa, 8960999   size:3.4,Price: ,4.5,The Draw, 58805   size:12.47,Price: ,3.05,ok
1.122372124, Sport: ,Basketball, Time: ,Thu Dec 24 19:00:00 CET 2015, Time: ,Thu Dec 24 19:00:00 CET 2015, Event: ,Tamis v Napredak Rubin, Favorite: ,Tamis, 7735827   size:4.29,Price: ,1.05,Napredak Rubin, 7735779   size:4.29,Price: ,1.05,ok
1.122371830, Sport: ,Soccer, Time: ,Thu Dec 24 11:00:00 CET 2015, Time: ,Thu Dec 24 11:00:00 CET 2015, Event: ,CA Batna U21 v USM Bel Abbes U21, Favorite: ,USM Bel Abbes U21, 9053404   size:2.55,Price: ,2.36,CA Batna U21, 7739805   size:6.78,Price: ,3.4,The Draw, 58805   size:3.54,Price: ,3.25,x
1.122372127, Sport: ,Basketball, Time: ,Thu Dec 24 19:30:00 CET 2015, Time: ,Thu Dec 24 19:30:00 CET 2015, Event: ,Vrsac v Sloga, Favorite: ,Vrsac, 7735778   size:4.45,Price: ,1.04,Sloga, 7735845   size:4.45,Price: ,1.04,ok
1.122372122, Sport: ,Basketball, Time: ,Thu Dec 24 19:00:00 CET 2015, Time: ,Thu Dec 24 19:00:00 CET 2015, Event: ,Beovuk 72 v OKK Beograd, Favorite: ,Beovuk 72, 10370887   size:4.45,Price: ,1.04,OKK Beograd, 7735982   size:4.45,Price: ,1.04,ok
1.122360368, Sport: ,Basketball, Time: ,Thu Dec 24 18:00:00 CET 2015, Time: ,Thu Dec 24 18:00:00 CET 2015, Event: ,Besiktas v Torku Konyaspor, Favorite: ,Besiktas, 631288   size:5.93,Price: ,1.27,Torku Konyaspor, 8914461   size:2.55,Price: ,3.95,ok
1.122364046, Sport: ,Basketball, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,Ago Rethymno v AEN Kifisia, Favorite: ,Ago Rethymno, 6024814   size:3.32,Price: ,1.5,AEN Kifisia, 10389447   size:2.1,Price: ,2.38,ok
1.122301270, Sport: ,Ice Hockey, Time: ,Thu Dec 24 15:30:00 CET 2015, Time: ,Thu Dec 24 15:30:00 CET 2015, Event: ,Traktor v Dynamo Moscow, Favorite: ,Dynamo Moscow, 1252378   size:20.0,Price: ,2.1,Traktor, 2595834   size:86.5,Price: ,3.2,Tie, 60104   size:65.0,Price: ,4.1,x
