1.122388150, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Lulea v Vaxjo Lakers, Favorite: ,Lulea, 337769   size:100.0,Price: ,2.16,Vaxjo Lakers, 539706   size:109.0,Price: ,2.72,Tie, 60104   size:109.0,Price: ,4.4,ok
1.122344507, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Rushall Olympic v Stourbridge, Favorite: ,Rushall Olympic, 2608907   size:2.55,Price: ,2.08,Stourbridge, 3491515   size:16.03,Price: ,2.7,The Draw, 58805   size:10.48,Price: ,3.6,x
1.122344509, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Grantham Town v Stamford AFC, Favorite: ,Grantham Town, 6770558   size:2.55,Price: ,1.85,Stamford AFC, 7588988   size:12.97,Price: ,3.1,The Draw, 58805   size:10.48,Price: ,3.6,ok
1.122370230, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Augsburger v Krefeld Pinguine, Favorite: ,Augsburg, 1031532   size:7.83,Price: ,1.07,Krefeld Pinguine, 233926   size:7.83,Price: ,1.07,Tie, 60104   size:5.94,Price: ,1.28,ok
1.122370076, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,EHC Munchen v Eisbaren Berlin, Favorite: ,EHC Munchen, 4923560   size:46.74,Price: ,1.19,Eisbaren Berlin, 233923   size:46.74,Price: ,1.19,Tie, 60104   size:18.93,Price: ,4.6,ok
1.122355085, Sport: ,Rugby Union, Time: ,Sun Dec 27 21:00:00 CET 2015, Time: ,Sun Dec 27 21:00:00 CET 2015, Event: ,Toulouse v Toulon, Favorite: ,Toulouse, 52259   size:299.9,Price: ,1.42,Toulon, 1242213   size:81.79,Price: ,3.4,Draw, 246289   size:3.25,Price: ,23.0,ok
1.122388307, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Malmo v Karlskrona, Favorite: ,Malmo, 1021477   size:292.0,Price: ,1.54,Karlskrona, 5427583   size:6.82,Price: ,4.9,Tie, 60104   size:99.0,Price: ,5.7,x
1.122341975, Sport: ,Soccer, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Eskisehirspor v Genclerbirligi, Favorite: ,Eskisehirspor, 2080746   size:16.09,Price: ,2.42,Genclerbirligi, 50350   size:129.2,Price: ,3.2,The Draw, 58805   size:6.7,Price: ,3.45,ok
1.122364237, Sport: ,Basketball, Time: ,Mon Dec 28 01:00:00 CET 2015, Time: ,Mon Dec 28 01:00:00 CET 2015, Event: ,New York @ Boston, Favorite: ,Boston, 13108   size:20.33,Price: ,1.28,New York, 13106   size:294.45,Price: ,4.5,ok
1.122309502, Sport: ,Ice Hockey, Time: ,Mon Dec 28 00:00:00 CET 2015, Time: ,Mon Dec 28 00:00:00 CET 2015, Event: ,Columbus @ Florida, Favorite: ,Florida, 2112317   size:63.0,Price: ,1.95,Columbus, 2114347   size:108.82,Price: ,3.45,Tie, 60104   size:68.59,Price: ,4.3,ok
1.122338843, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Scunthorpe v Rochdale, Favorite: ,Scunthorpe, 18566   size:113.94,Price: ,2.6,Rochdale, 256383   size:118.92,Price: ,3.0,The Draw, 58805   size:8.2,Price: ,3.4,x
1.122373847, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,Dinamo Riga v Torpedo, Favorite: ,Torpedo, 2484355   size:66.0,Price: ,2.44,Dinamo Riga, 3312399   size:66.0,Price: ,2.52,Tie, 60104   size:66.0,Price: ,4.2,ok
1.122376603, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Nitra v Poprad, Favorite: ,Nitra, 2078603   size:97.37,Price: ,1.7,Poprad, 2078587   size:53.5,Price: ,2.44,Tie, 60104   size:17.93,Price: ,4.8,x
1.122369364, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:15:00 CET 2015, Time: ,Mon Dec 28 19:15:00 CET 2015, Event: ,Vienna Capitals v VSV, Favorite: ,Tie, 60104   size:18.0,Price: ,1.16,Vienna Capitals, 563229   size:85.2,Price: ,1.8,VSV, 565881   size:5.94,Price: ,3.35,ok
1.122369361, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:15:00 CET 2015, Time: ,Mon Dec 28 19:15:00 CET 2015, Event: ,Innsbruck v Olimpija Ljubljana, Favorite: ,Innsbruck, 563236   size:200.47,Price: ,1.34,Olimpija Ljubljana, 2513196   size:47.33,Price: ,2.44,Tie, 60104   size:13.11,Price: ,6.2,x
1.122344511, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Halesowen v Sutton Coldfield, Favorite: ,Halesowen, 981240   size:2.55,Price: ,2.08,Sutton Coldfield, 1034125   size:16.03,Price: ,2.7,The Draw, 58805   size:10.48,Price: ,3.6,x
1.122376605, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Zilina v Skalica, Favorite: ,Tie, 60104   size:27.41,Price: ,1.02,Zilina, 2078590   size:5.94,Price: ,1.26,Skalica, 2078556   size:18.89,Price: ,1.47,x
1.122344513, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Ilkeston v Matlock Town, Favorite: ,Ilkeston, 4864968   size:2.55,Price: ,1.69,Matlock Town, 1558264   size:10.48,Price: ,3.6,The Draw, 58805   size:9.91,Price: ,3.75,x
1.122344515, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Skelmersdale Utd v Marine, Favorite: ,Skelmersdale Utd, 3491517   size:2.55,Price: ,2.24,Marine, 2119329   size:18.17,Price: ,2.5,The Draw, 58805   size:10.9,Price: ,3.5,x
1.122285218, Sport: ,American Football, Time: ,Sun Dec 27 22:05:00 CET 2015, Time: ,Sun Dec 27 22:05:00 CET 2015, Event: ,Jacksonville @ New Orleans, Favorite: ,New Orleans Saints, 50196   size:171.69,Price: ,1.82,Jacksonville Jaguars, 50207   size:481.62,Price: ,2.2,ok
1.122344517, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Whitby Town v Frickley Athletic, Favorite: ,Whitby Town, 62653   size:19.48,Price: ,2.4,Frickley Athletic, 7396836   size:19.48,Price: ,2.4,The Draw, 58805   size:11.35,Price: ,3.4,x
1.122399862, Sport: ,Basketball, Time: ,Mon Dec 28 20:05:00 CET 2015, Time: ,Mon Dec 28 20:05:00 CET 2015, Event: ,Hapoel Holon v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:8.49,Price: ,1.32,Hapoel Holon, 6796483   size:9.62,Price: ,3.5,ok
1.122339372, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Walsall v Peterborough, Favorite: ,Walsall, 55213   size:93.37,Price: ,2.42,Peterborough, 18563   size:121.21,Price: ,3.05,The Draw, 58805   size:95.31,Price: ,3.65,ok
