1.121171655, Sport: ,Soccer, Time: ,Mon Oct 19 19:00:00 CEST 2015, Time: ,Mon Oct 19 19:00:00 CEST 2015, Event: ,Pirin Blagoevgrad v Beroe Stara Za, Favorite: ,Beroe Stara Za, 4127866   size:190.44,Price: ,1.39,Pirin Blagoevgrad, 2504333   size:41.51,Price: ,14.5,The Draw, 58805   size:110.36,Price: ,4.4,ok
1.121350192, Sport: ,Tennis, Time: ,Mon Oct 19 19:02:00 CEST 2015, Time: ,Mon Oct 19 19:02:00 CEST 2015, Event: ,Nevolo v Bangoura, Favorite: ,Sekou Bangoura, 7066127   size:26.49,Price: ,1.44,Dennis Nevolo, 8258597   size:22.08,Price: ,1.84,x
1.121346740, Sport: ,Tennis, Time: ,Mon Oct 19 19:00:00 CEST 2015, Time: ,Mon Oct 19 19:00:00 CEST 2015, Event: ,Agamenone v Severino, Favorite: ,Carlos Eduardo Severino, 7444842   size:4.5,Price: ,1.11,Franco Agamenone, 8979622   size:20.49,Price: ,1.33,ok
1.121182495, Sport: ,Soccer, Time: ,Mon Oct 19 19:30:00 CEST 2015, Time: ,Mon Oct 19 19:30:00 CEST 2015, Event: ,KV Mechelen (Y) v KV Kortrijk (Y), Favorite: ,KV Mechelen (Y), 7167645   size:800.0,Price: ,1.37,KV Kortrijk (Y), 7159098   size:25.0,Price: ,4.0,The Draw, 58805   size:300.0,Price: ,3.2,x
1.121271225, Sport: ,Basketball, Time: ,Mon Oct 19 19:00:00 CEST 2015, Time: ,Mon Oct 19 19:00:00 CEST 2015, Event: ,Galatasaray v Anadolu Efes, Favorite: ,Anadolu Efes, 5832279   size:55.0,Price: ,1.28,Galatasaray, 631281   size:10.0,Price: ,3.5,ok
1.121186457, Sport: ,Soccer, Time: ,Mon Oct 19 19:00:00 CEST 2015, Time: ,Mon Oct 19 19:00:00 CEST 2015, Event: ,Hacken v Sundsvall, Favorite: ,Hacken, 30681   size:51.79,Price: ,2.12,Sundsvall, 30680   size:404.14,Price: ,4.7,The Draw, 58805   size:177.6,Price: ,3.15,ok
1.121329934, Sport: ,Basketball, Time: ,Mon Oct 19 19:30:00 CEST 2015, Time: ,Mon Oct 19 19:30:00 CEST 2015, Event: ,Panathinaikos v Olympiacos, Favorite: ,Olympiacos, 278582   size:100.0,Price: ,1.45,Panathinaikos, 266270   size:173.0,Price: ,2.44,x
1.121350096, Sport: ,Tennis, Time: ,Mon Oct 19 19:12:00 CEST 2015, Time: ,Mon Oct 19 19:12:00 CEST 2015, Event: ,Struvay v J Aubone, Favorite: ,Eduardo Struvay, 7431682   size:122.99,Price: ,1.63,Jean-Yves Aubone, 8476686   size:135.43,Price: ,2.0,ok
1.121182070, Sport: ,Soccer, Time: ,Mon Oct 19 19:30:00 CEST 2015, Time: ,Mon Oct 19 19:30:00 CEST 2015, Event: ,Genk (Y) v Waasland-Beveren (Y), Favorite: ,Genk (Y), 7159134   size:1200.0,Price: ,1.15,Waasland-Beveren (Y), 7159135   size:200.0,Price: ,5.0,The Draw, 58805   size:300.0,Price: ,3.7,x
1.121331154, Sport: ,Tennis, Time: ,Mon Oct 19 19:06:00 CEST 2015, Time: ,Mon Oct 19 19:06:00 CEST 2015, Event: ,Lepchenko v M Gasparyan, Favorite: ,Varvara Lepchenko, 2263576   size:1368.51,Price: ,1.81,Margarita Gasparyan, 6750186   size:160.25,Price: ,2.1,x
1.121271220, Sport: ,Basketball, Time: ,Mon Oct 19 19:00:00 CEST 2015, Time: ,Mon Oct 19 19:00:00 CEST 2015, Event: ,Avtodor v Lokomotiv Kuban, Favorite: ,Lokomotiv Kuban, 5508059   size:44.0,Price: ,1.14,Avtodor, 8801689   size:15.49,Price: ,3.85,ok
1.121346818, Sport: ,Tennis, Time: ,Mon Oct 19 19:00:00 CEST 2015, Time: ,Mon Oct 19 19:00:00 CEST 2015, Event: ,T Monteiro v Molteni, Favorite: ,Thiago Monteiro, 8326656   size:32.79,Price: ,1.4,Andres Molteni, 6180419   size:20.48,Price: ,3.05,ok
1.121181888, Sport: ,Soccer, Time: ,Mon Oct 19 19:30:00 CEST 2015, Time: ,Mon Oct 19 19:30:00 CEST 2015, Event: ,Anderlecht (Y) v KVC Westerlo (Youth), Favorite: ,Anderlecht (Y), 7174785   size:140.28,Price: ,1.17,KVC Westerlo (Youth), 8764419   size:8.19,Price: ,8.8,The Draw, 58805   size:16.39,Price: ,5.1,ok
1.121182833, Sport: ,Soccer, Time: ,Mon Oct 19 19:30:00 CEST 2015, Time: ,Mon Oct 19 19:30:00 CEST 2015, Event: ,Sint Truidense (Youth) v Charleroi (Y), Favorite: ,Sint Truidense (Youth), 10158287   size:2.39,Price: ,1.06,Charleroi (Y), 7167644   size:2.39,Price: ,1.06,The Draw, 58805   size:2.39,Price: ,1.06,x
1.121184935, Sport: ,Soccer, Time: ,Mon Oct 19 19:30:00 CEST 2015, Time: ,Mon Oct 19 19:30:00 CEST 2015, Event: ,CFR Cluj v Viitorul Constanta, Favorite: ,CFR Cluj, 1193695   size:2.73,Price: ,2.12,Viitorul Constanta, 5431165   size:2.73,Price: ,4.9,The Draw, 58805   size:8.83,Price: ,3.05,x
