1.122419785, Sport: ,Soccer, Time: ,Fri Jan 08 20:00:00 CET 2016, Time: ,Fri Jan 08 20:00:00 CET 2016, Event: ,Marseille Consolat v Vendee Les Herbiers, Favorite: ,Marseille Consolat, 8750956   size:45.58,Price: ,2.32,Vendee Les Herbiers, 4421448   size:39.42,Price: ,3.4,The Draw, 58805   size:5.95,Price: ,3.2,ok
1.122491297, Sport: ,Tennis, Time: ,Fri Jan 08 08:30:00 CET 2016, Time: ,Fri Jan 08 08:30:00 CET 2016, Event: ,Johan Sebastien Tatlot v Evan Furness, Favorite: ,Johan Sebastien Tatlot, 7287666   size:211.06,Price: ,1.19,Evan Furness, 8890205   size:2.55,Price: ,5.0,ok
1.122419787, Sport: ,Soccer, Time: ,Fri Jan 08 14:00:00 CET 2016, Time: ,Fri Jan 08 14:00:00 CET 2016, Event: ,Middlesbrough U21 v Norwich U21, Favorite: ,Middlesbrough U21, 6601837   size:3.83,Price: ,1.18,Norwich U21, 6667764   size:3.83,Price: ,1.18,The Draw, 58805   size:3.65,Price: ,1.29,x
1.122489776, Sport: ,Soccer, Time: ,Fri Jan 08 11:00:00 CET 2016, Time: ,Fri Jan 08 11:00:00 CET 2016, Event: ,Hapoel Merhavim v Maccabi Kiryat Malachi, Favorite: ,Maccabi Kiryat Malachi, 9107113   size:3.68,Price: ,1.18,Hapoel Merhavim, 10397481   size:2.0,Price: ,2.1,The Draw, 58805   size:10.0,Price: ,3.3,ok
1.122419783, Sport: ,Soccer, Time: ,Fri Jan 08 20:00:00 CET 2016, Time: ,Fri Jan 08 20:00:00 CET 2016, Event: ,Avranches v Orleans, Favorite: ,Orleans, 2225922   size:20.37,Price: ,2.64,Avranches, 2224930   size:33.88,Price: ,3.0,The Draw, 58805   size:24.56,Price: ,3.05,x
1.122480834, Sport: ,Ice Hockey, Time: ,Fri Jan 08 17:30:00 CET 2016, Time: ,Fri Jan 08 17:30:00 CET 2016, Event: ,Assat Pori v Hifk Helsinki, Favorite: ,HIFK, 66428   size:9.57,Price: ,2.16,Assat, 66429   size:95.0,Price: ,3.0,Tie, 60104   size:109.99,Price: ,4.2,x
1.122491295, Sport: ,Tennis, Time: ,Fri Jan 08 10:00:00 CET 2016, Time: ,Fri Jan 08 10:00:00 CET 2016, Event: ,Duje Delic v Miliaan Niesten, Favorite: ,Miliaan Niesten, 9300628   size:5.53,Price: ,1.08,Duje Delic, 8750014   size:4.1,Price: ,6.4,ok
1.122491296, Sport: ,Tennis, Time: ,Fri Jan 08 08:30:00 CET 2016, Time: ,Fri Jan 08 08:30:00 CET 2016, Event: ,Gleb Alekseenko v Jules Okala, Favorite: ,Jules Okala, 9631389   size:2.55,Price: ,1.56,Gleb Alekseenko, 8713712   size:2.04,Price: ,2.44,ok
1.122491294, Sport: ,Tennis, Time: ,Fri Jan 08 08:30:00 CET 2016, Time: ,Fri Jan 08 08:30:00 CET 2016, Event: ,Altug Celikbilek v Ugo Humbert, Favorite: ,Ugo Humbert, 9633253   size:13.92,Price: ,1.66,Altug Celikbilek, 8842202   size:5.63,Price: ,2.36,ok
1.122478087, Sport: ,Soccer, Time: ,Fri Jan 08 14:00:00 CET 2016, Time: ,Fri Jan 08 14:00:00 CET 2016, Event: ,Hapoel Katamon v Hapoel Bnei Lod, Favorite: ,Hapoel Bnei Lod, 5337940   size:2.55,Price: ,2.56,Hapoel Katamon, 7629623   size:12.17,Price: ,2.84,The Draw, 58805   size:2.68,Price: ,3.25,x
1.122481250, Sport: ,Basketball, Time: ,Fri Jan 08 12:35:00 CET 2016, Time: ,Fri Jan 08 12:35:00 CET 2016, Event: ,Tianjin v Sichuan, Favorite: ,Sichuan, 8926907   size:3.23,Price: ,1.03,Tianjin, 8926906   size:2.55,Price: ,1.25,ok
1.122481251, Sport: ,Basketball, Time: ,Fri Jan 08 12:35:00 CET 2016, Time: ,Fri Jan 08 12:35:00 CET 2016, Event: ,Zhejiang Chouzhou v Jilin, Favorite: ,Zhejiang Chouzhou, 8926899   size:3.2,Price: ,1.03,Jilin, 8926909   size:5.94,Price: ,1.68,ok
1.122481252, Sport: ,Basketball, Time: ,Fri Jan 08 12:35:00 CET 2016, Time: ,Fri Jan 08 12:35:00 CET 2016, Event: ,Zhejiang Guangsha v Shenzhen New Century Le, Favorite: ,Zhejiang Guangsha, 8926901   size:3.2,Price: ,1.03,Dongguan, 10466369   size:5.94,Price: ,1.32,ok
1.122491608, Sport: ,Tennis, Time: ,Fri Jan 08 07:30:00 CET 2016, Time: ,Fri Jan 08 07:30:00 CET 2016, Event: ,Youzhny v Gerasimov, Favorite: ,Mikhail Youzhny, 2263536   size:3.7,Price: ,1.36,Egor Gerasimov, 7797772   size:2.55,Price: ,3.35,ok
1.122481370, Sport: ,Basketball, Time: ,Fri Jan 08 01:05:00 CET 2016, Time: ,Fri Jan 08 01:05:00 CET 2016, Event: ,Atlanta @ Philadelphia, Favorite: ,Atlanta, 13114   size:507.36,Price: ,1.23,Philadelphia, 13103   size:26.17,Price: ,5.2,ok
1.122480824, Sport: ,Ice Hockey, Time: ,Fri Jan 08 17:30:00 CET 2016, Time: ,Fri Jan 08 17:30:00 CET 2016, Event: ,Saipa Lappeenranta v Karpat Oulu, Favorite: ,SaiPa, 66264   size:104.0,Price: ,2.48,Karpat, 66430   size:8.03,Price: ,2.56,Tie, 60104   size:106.4,Price: ,4.2,x
1.122419790, Sport: ,Soccer, Time: ,Fri Jan 08 14:00:00 CET 2016, Time: ,Fri Jan 08 14:00:00 CET 2016, Event: ,Al Shabab (UAE) U21 v Al Sharjah U21, Favorite: ,Al Sharjah U21, 8946425   size:2.55,Price: ,1.54,Al Shabab (UAE) U21, 10676319   size:20.43,Price: ,4.3,The Draw, 58805   size:24.48,Price: ,3.75,x
1.122407306, Sport: ,Basketball, Time: ,Fri Jan 08 01:00:00 CET 2016, Time: ,Fri Jan 08 01:00:00 CET 2016, Event: ,Michigan @ Purdue, Favorite: ,Purdue, 697628   size:517.0,Price: ,1.29,Michigan, 697627   size:11.74,Price: ,3.95,ok
1.122480829, Sport: ,Ice Hockey, Time: ,Fri Jan 08 17:30:00 CET 2016, Time: ,Fri Jan 08 17:30:00 CET 2016, Event: ,TPS Turku v Kalpa Hockey, Favorite: ,TPS, 66803   size:99.0,Price: ,2.26,KalPa, 275250   size:6.79,Price: ,3.05,Tie, 60104   size:98.0,Price: ,3.85,ok
