1.119631000, Sport: ,Tennis, Time: ,Thu Jul 23 22:00:00 CEST 2015, Time: ,Thu Jul 23 22:00:00 CEST 2015, Event: ,Kalinina v Jaksic, Favorite: ,Anhelina Kalinina, 8907168   size:5.66,Price: ,1.59,Jovana Jaksic, 7168389   size:5.1,Price: ,2.5,ok
1.119630950, Sport: ,Tennis, Time: ,Thu Jul 23 21:00:00 CEST 2015, Time: ,Thu Jul 23 21:00:00 CEST 2015, Event: ,Draganja/Kontinen v Bautista Agut/Marrero, Favorite: ,Draganja/Kontinen, 8462597   size:18.4,Price: ,1.59,Bautista Agut/Marrero, 10016381   size:79.8,Price: ,2.62,ok
1.119612842, Sport: ,Soccer, Time: ,Thu Jul 23 22:00:00 CEST 2015, Time: ,Thu Jul 23 22:00:00 CEST 2015, Event: ,KFG v Throttur V, Favorite: ,Throttur V, 6412799   size:10.93,Price: ,1.08,The Draw, 58805   size:10.0,Price: ,3.5,ok
1.119614984, Sport: ,Soccer, Time: ,Thu Jul 23 20:45:00 CEST 2015, Time: ,Thu Jul 23 20:45:00 CEST 2015, Event: ,Hornchurch v Billericay Town, Favorite: ,Billericay Town, 1034114   size:3.0,Price: ,2.46,Hornchurch, 598920   size:2.43,Price: ,2.62,The Draw, 58805   size:4.77,Price: ,3.55,x
1.119603413, Sport: ,Soccer, Time: ,Thu Jul 23 22:00:00 CEST 2015, Time: ,Thu Jul 23 22:00:00 CEST 2015, Event: ,Trujillanos v Atletico Venezuela, Favorite: ,Trujillanos, 1224046   size:32.2,Price: ,1.79,The Draw, 58805   size:18.92,Price: ,3.75,Atletico Venezuela, 7683135   size:2.81,Price: ,5.0,ok
1.119612560, Sport: ,Soccer, Time: ,Thu Jul 23 20:00:00 CEST 2015, Time: ,Thu Jul 23 20:00:00 CEST 2015, Event: ,CA Colegiales (Res) v CA Atlanta (Res), Favorite: ,CA Atlanta (Res), 10050185   size:10.93,Price: ,1.08,The Draw, 58805   size:10.93,Price: ,1.29,ok
1.119520662, Sport: ,Soccer, Time: ,Thu Jul 23 21:15:00 CEST 2015, Time: ,Thu Jul 23 21:15:00 CEST 2015, Event: ,KA Akureyri v Fjardabyggd, Favorite: ,KA Akureyri, 399804   size:30.9,Price: ,1.98,The Draw, 58805   size:44.52,Price: ,3.85,Fjardabyggd, 3968878   size:72.14,Price: ,3.9,ok
1.119520660, Sport: ,Soccer, Time: ,Thu Jul 23 22:00:00 CEST 2015, Time: ,Thu Jul 23 22:00:00 CEST 2015, Event: ,IR Reykjavik v Aegir, Favorite: ,IR Reykjavik, 4742652   size:2.55,Price: ,1.31,The Draw, 58805   size:2.53,Price: ,5.8,Aegir, 7248213   size:36.21,Price: ,9.4,ok
1.119585102, Sport: ,Handball, Time: ,Thu Jul 23 21:15:00 CEST 2015, Time: ,Thu Jul 23 21:15:00 CEST 2015, Event: ,France U21 v Argentina U21, Favorite: ,Draw, 330157   size:99.99,Price: ,1.01,x
1.119585981, Sport: ,Rugby League, Time: ,Thu Jul 23 21:00:00 CEST 2015, Time: ,Thu Jul 23 21:00:00 CEST 2015, Event: ,Hull FC v Wigan, Favorite: ,Wigan, 23756   size:16.41,Price: ,1.41,Hull FC, 23395   size:106.29,Price: ,3.65,Draw, 11126   size:11.47,Price: ,25.0,ok
1.119516601, Sport: ,Soccer, Time: ,Thu Jul 23 20:45:00 CEST 2015, Time: ,Thu Jul 23 20:45:00 CEST 2015, Event: ,Birkirkara v West Ham, Favorite: ,West Ham, 48756   size:185.49,Price: ,1.33,The Draw, 58805   size:45.86,Price: ,5.6,Birkirkara, 46922   size:3.22,Price: ,12.5,x
