1.121771136, Sport: ,Ice Hockey, Time: ,Tue Nov 17 15:00:00 CET 2015, Time: ,Tue Nov 17 15:00:00 CET 2015, Event: ,Metallurg MG v Sochi, Favorite: ,Metallurg Mg, 3343614   size:93.0,Price: ,1.68,Sochi, 8796844   size:26.0,Price: ,4.4,Tie, 60104   size:94.15,Price: ,4.8,ok
1.121839808, Sport: ,Basketball, Time: ,Tue Nov 17 18:50:00 CET 2015, Time: ,Tue Nov 17 18:50:00 CET 2015, Event: ,Ironi Nes Ziona v Maccabi Ashdod, Favorite: ,Ironi Nes Ziona, 7758968   size:2.55,Price: ,1.82,Maccabi Ashdod, 7758972   size:2.55,Price: ,2.08,x
1.121846462, Sport: ,Soccer, Time: ,Tue Nov 17 11:00:00 CET 2015, Time: ,Tue Nov 17 11:00:00 CET 2015, Event: ,FC Mertskhali Ozurgeti v FC Odishi 1919 Zugdidi, Favorite: ,FC Mertskhali Ozurgeti, 6860556   size:15.5,Price: ,1.51,FC Odishi 1919 Zugdidi, 10255164   size:5.5,Price: ,1.51,The Draw, 58805   size:3.49,Price: ,3.15,x
1.121860089, Sport: ,Tennis, Time: ,Tue Nov 17 12:30:00 CET 2015, Time: ,Tue Nov 17 12:30:00 CET 2015, Event: ,Yashina v Stepan, Favorite: ,Ekaterina Yashina, 7445998   size:889.87,Price: ,1.04,Constanze Stepan, 9657562   size:9.37,Price: ,9.0,x
1.121754316, Sport: ,Soccer, Time: ,Tue Nov 17 13:00:00 CET 2015, Time: ,Tue Nov 17 13:00:00 CET 2015, Event: ,Myanmar v Kuwait, Favorite: ,Kuwait, 146063   size:3.04,Price: ,1.1,Myanmar, 3531810   size:3.25,Price: ,3.4,The Draw, 58805   size:2.55,Price: ,4.0,x
1.121845931, Sport: ,Soccer, Time: ,Tue Nov 17 15:00:00 CET 2015, Time: ,Tue Nov 17 15:00:00 CET 2015, Event: ,Italy U20 v Switzerland U20, Favorite: ,Italy U20, 419087   size:2.79,Price: ,1.89,Switzerland U20, 274630   size:60.38,Price: ,4.5,The Draw, 58805   size:11.51,Price: ,3.55,x
1.121841414, Sport: ,Tennis, Time: ,Tue Nov 17 10:00:00 CET 2015, Time: ,Tue Nov 17 10:00:00 CET 2015, Event: ,Doi v R Ozaki, Favorite: ,Misaki Doi, 4729711   size:68.62,Price: ,1.24,Risa Ozaki, 7593284   size:30.7,Price: ,4.8,ok
1.121860080, Sport: ,Tennis, Time: ,Tue Nov 17 11:00:00 CET 2015, Time: ,Tue Nov 17 11:00:00 CET 2015, Event: ,Jegiolka v Cvorovic, Favorite: ,Justyna Jegiolka, 7283198   size:1193.76,Price: ,1.03,Sara Cvorovic, 9634847   size:8.68,Price: ,10.5,ok
1.121752176, Sport: ,Soccer, Time: ,Tue Nov 17 18:45:00 CET 2015, Time: ,Tue Nov 17 18:45:00 CET 2015, Event: ,Denmark U21 v Armenia U21, Favorite: ,Denmark U21, 25927   size:1434.53,Price: ,1.23,Armenia U21, 210037   size:93.99,Price: ,19.0,The Draw, 58805   size:3.08,Price: ,7.2,ok
1.121752250, Sport: ,Soccer, Time: ,Tue Nov 17 18:00:00 CET 2015, Time: ,Tue Nov 17 18:00:00 CET 2015, Event: ,Germany U21 v Austria U21, Favorite: ,Germany U21, 210028   size:3.72,Price: ,1.47,Austria U21, 231948   size:13.69,Price: ,8.2,The Draw, 58805   size:105.83,Price: ,4.8,ok
1.121846628, Sport: ,Soccer, Time: ,Tue Nov 17 14:00:00 CET 2015, Time: ,Tue Nov 17 14:00:00 CET 2015, Event: ,MKS Pogon Szczecin U19 v KKPN Baltyk Kosz U19, Favorite: ,MKS Pogon Szczecin U19, 6486132   size:4.68,Price: ,1.21,KKPN Baltyk Kosz U19, 7619087   size:5.0,Price: ,3.55,The Draw, 58805   size:5.21,Price: ,2.9,ok
1.121848408, Sport: ,Tennis, Time: ,Tue Nov 17 17:30:00 CET 2015, Time: ,Tue Nov 17 17:30:00 CET 2015, Event: ,Gerasimov v Chiudinelli, Favorite: ,Egor Gerasimov, 7797772   size:2.55,Price: ,1.89,Marco Chiudinelli, 2263632   size:2.55,Price: ,1.91,x
1.121850125, Sport: ,Basketball, Time: ,Tue Nov 17 18:30:00 CET 2015, Time: ,Tue Nov 17 18:30:00 CET 2015, Event: ,Rosa Radom v KTP Basket, Favorite: ,Rosa Radom, 6703618   size:2.59,Price: ,1.07,KTP Basket, 7976086   size:6.09,Price: ,2.02,ok
1.121850121, Sport: ,Basketball, Time: ,Tue Nov 17 17:15:00 CET 2015, Time: ,Tue Nov 17 17:15:00 CET 2015, Event: ,Rilski Sportist v Kataja, Favorite: ,Kataja, 1364981   size:63.97,Price: ,1.48,Rilski Sportist, 7753529   size:4.71,Price: ,2.98,x
1.121850000, Sport: ,Basketball, Time: ,Tue Nov 17 18:00:00 CET 2015, Time: ,Tue Nov 17 18:00:00 CET 2015, Event: ,AEK Larnacas v Astana, Favorite: ,AEK Larnacas, 9034490   size:2.55,Price: ,1.64,Astana, 5877769   size:46.23,Price: ,1.77,ok
