1.121828752, Sport: ,Soccer, Time: ,Sun Nov 15 01:45:00 CET 2015, Time: ,Sun Nov 15 01:45:00 CET 2015, Event: ,Fortaleza (Col) v Union Magdalena, Favorite: ,Fortaleza (Col), 8220184   size:15.67,Price: ,1.59,Union Magdalena, 5343365   size:45.27,Price: ,6.6,The Draw, 58805   size:3.48,Price: ,3.75,ok
1.121772069, Sport: ,Basketball, Time: ,Sun Nov 15 02:35:00 CET 2015, Time: ,Sun Nov 15 02:35:00 CET 2015, Event: ,Cleveland @ Milwaukee, Favorite: ,Cleveland, 13112   size:19.28,Price: ,1.46,Milwaukee, 13115   size:3.24,Price: ,3.15,x
1.121832852, Sport: ,Tennis, Time: ,Sat Nov 14 18:46:00 CET 2015, Time: ,Sat Nov 14 18:46:00 CET 2015, Event: ,Siniakova v Caro Garcia, Favorite: ,Caroline Garcia, 5248977   size:60142.91,Price: ,1.07,Katerina Siniakova, 7137442   size:116.41,Price: ,14.0,ok
1.121834237, Sport: ,Tennis, Time: ,Sat Nov 14 20:45:00 CET 2015, Time: ,Sat Nov 14 20:45:00 CET 2015, Event: ,Salisbury v McDonald, Favorite: ,Mackenzie McDonald, 7569897   size:3.45,Price: ,1.45,Joe Salisbury, 8284798   size:21.79,Price: ,2.5,ok
1.121798214, Sport: ,Soccer, Time: ,Sat Nov 14 22:00:00 CET 2015, Time: ,Sat Nov 14 22:00:00 CET 2015, Event: ,Ituano v Barbarense, Favorite: ,Ituano, 1040280   size:4.35,Price: ,1.53,Barbarense, 6973281   size:5.0,Price: ,2.18,The Draw, 58805   size:5.94,Price: ,2.92,ok
1.121755604, Sport: ,Soccer, Time: ,Sat Nov 14 21:00:00 CET 2015, Time: ,Sat Nov 14 21:00:00 CET 2015, Event: ,All Boys v Juventud Unida G, Favorite: ,All Boys, 4724521   size:20.95,Price: ,1.91,Juventud Unida G, 9229737   size:48.69,Price: ,5.4,The Draw, 58805   size:11.21,Price: ,3.3,x
1.121797769, Sport: ,Soccer, Time: ,Sat Nov 14 20:00:00 CET 2015, Time: ,Sat Nov 14 20:00:00 CET 2015, Event: ,Municipal Mejillones v Deportes Melipilla, Favorite: ,Municipal Mejillones, 5705208   size:140.14,Price: ,1.06,Deportes Melipilla, 7084729   size:140.14,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121791308, Sport: ,Soccer, Time: ,Sat Nov 14 22:00:00 CET 2015, Time: ,Sat Nov 14 22:00:00 CET 2015, Event: ,CD Victoria v CD Real Sociedad, Favorite: ,CD Victoria, 7575234   size:4.38,Price: ,2.72,CD Real Sociedad, 9321002   size:4.37,Price: ,2.74,The Draw, 58805   size:7.94,Price: ,3.35,ok
1.121676141, Sport: ,Soccer, Time: ,Sat Nov 14 20:00:00 CET 2015, Time: ,Sat Nov 14 20:00:00 CET 2015, Event: ,Patro Eisden v Heist, Favorite: ,Patro Eisden, 7441124   size:9.11,Price: ,2.0,Heist, 4910877   size:69.13,Price: ,4.1,The Draw, 58805   size:23.72,Price: ,3.75,ok
1.121681727, Sport: ,Soccer, Time: ,Sat Nov 14 20:30:00 CET 2015, Time: ,Sat Nov 14 20:30:00 CET 2015, Event: ,Feralpisalo v Lumezzane, Favorite: ,Feralpisalo, 4893595   size:8.43,Price: ,1.97,Lumezzane, 522043   size:85.47,Price: ,4.3,The Draw, 58805   size:93.81,Price: ,3.35,ok
1.121716246, Sport: ,Ice Hockey, Time: ,Sun Nov 15 02:05:00 CET 2015, Time: ,Sun Nov 15 02:05:00 CET 2015, Event: ,Minnesota @ Dallas, Favorite: ,Dallas, 2108116   size:550.0,Price: ,2.2,Minnesota, 2109894   size:105.0,Price: ,2.94,Tie, 60104   size:105.55,Price: ,4.1,x
1.121681737, Sport: ,Soccer, Time: ,Sat Nov 14 20:30:00 CET 2015, Time: ,Sat Nov 14 20:30:00 CET 2015, Event: ,Paganese v Ischia Isolaverde, Favorite: ,Paganese, 2519554   size:30.2,Price: ,2.38,Ischia Isolaverde, 8203820   size:2.56,Price: ,2.9,The Draw, 58805   size:4.56,Price: ,3.05,x
