1.122765264, Sport: ,Tennis, Time: ,Thu Jan 28 15:00:00 CET 2016, Time: ,Thu Jan 28 15:00:00 CET 2016, Event: ,Jamie Loeb v Mari Osaka, Favorite: ,Mari Osaka, 8733926   size:3.67,Price: ,1.06,Jamie Loeb, 7593252   size:15.69,Price: ,1.19
1.122765256, Sport: ,Tennis, Time: ,Thu Jan 28 16:00:00 CET 2016, Time: ,Thu Jan 28 16:00:00 CET 2016, Event: ,Andrea Gamiz v Jesika Maleckova, Favorite: ,Andrea Gamiz, 7083171   size:10.08,Price: ,1.05,Jesika Maleckova, 9150595   size:9.15,Price: ,1.3
1.122765258, Sport: ,Tennis, Time: ,Thu Jan 28 15:00:00 CET 2016, Time: ,Thu Jan 28 15:00:00 CET 2016, Event: ,Anna Tatishvili v Sofia Kenin, Favorite: ,Sofia Kenin, 9149629   size:10.15,Price: ,1.05,Anna Tatishvili, 2311979   size:9.99,Price: ,1.27
1.122765259, Sport: ,Tennis, Time: ,Thu Jan 28 16:00:00 CET 2016, Time: ,Thu Jan 28 16:00:00 CET 2016, Event: ,Carol Zhao v Lauren Embree, Favorite: ,Carol Zhao, 7550871   size:3.67,Price: ,1.06,Lauren Embree, 3915174   size:7.84,Price: ,1.4
1.122673272, Sport: ,Soccer, Time: ,Thu Jan 28 04:00:00 CET 2016, Time: ,Thu Jan 28 04:00:00 CET 2016, Event: ,Necaxa v Leon, Favorite: ,Leon, 4468457   size:44.78,Price: ,1.94,Necaxa, 230910   size:158.49,Price: ,3.95,The Draw, 58805   size:11.32,Price: ,3.95
1.122772404, Sport: ,Soccer, Time: ,Thu Jan 28 14:00:00 CET 2016, Time: ,Thu Jan 28 14:00:00 CET 2016, Event: ,FK Vardar Skopje v FC Wil, Favorite: ,FK Vardar Skopje, 10762660   size:28.03,Price: ,1.02,FC Wil, 179085   size:28.03,Price: ,1.02,The Draw, 58805   size:44.0,Price: ,1.26
1.122772349, Sport: ,Soccer, Time: ,Thu Jan 28 16:00:00 CET 2016, Time: ,Thu Jan 28 16:00:00 CET 2016, Event: ,Saudi Arabia U21 v Ukraine U21, Favorite: ,Saudi Arabia U21, 5598186   size:11.01,Price: ,1.05,Ukraine U21, 210038   size:11.01,Price: ,1.05,The Draw, 58805   size:44.0,Price: ,1.26
1.122753495, Sport: ,Basketball, Time: ,Thu Jan 28 02:05:00 CET 2016, Time: ,Thu Jan 28 02:05:00 CET 2016, Event: ,Houston Rockets @ San Antonio Spurs, Favorite: ,San Antonio Spurs, 237471   size:8932.8,Price: ,1.19,Houston Rockets, 237488   size:329.0,Price: ,6.0
1.122753472, Sport: ,Basketball, Time: ,Thu Jan 28 04:35:00 CET 2016, Time: ,Thu Jan 28 04:35:00 CET 2016, Event: ,Dallas Mavericks @ Golden State Warriors, Favorite: ,Golden State Warriors, 237493   size:14121.86,Price: ,1.03,Dallas Mavericks, 237472   size:4.35,Price: ,23.0
1.122753530, Sport: ,Basketball, Time: ,Thu Jan 28 01:05:00 CET 2016, Time: ,Thu Jan 28 01:05:00 CET 2016, Event: ,Phoenix Suns @ Cleveland Cavaliers, Favorite: ,Cleveland Cavaliers, 60424   size:1819.71,Price: ,1.04,Phoenix Suns, 237487   size:4.95,Price: ,22.0
1.122673217, Sport: ,Soccer, Time: ,Thu Jan 28 03:30:00 CET 2016, Time: ,Thu Jan 28 03:30:00 CET 2016, Event: ,San Luis v Monterrey, Favorite: ,Monterrey, 328949   size:42.18,Price: ,1.98,San Luis, 328915   size:2.6,Price: ,4.0,The Draw, 58805   size:2.0,Price: ,3.6
1.122765270, Sport: ,Tennis, Time: ,Thu Jan 28 17:30:00 CET 2016, Time: ,Thu Jan 28 17:30:00 CET 2016, Event: ,Chloe Paquet v Marketa Vondrousova, Favorite: ,Marketa Vondrousova, 9433253   size:2.55,Price: ,1.36,Chloe Paquet
