1.119585761, Sport: ,Tennis, Time: ,Tue Jul 21 17:30:00 CEST 2015, Time: ,Tue Jul 21 17:30:00 CEST 2015, Event: ,Arruabarrena/Hradecka v Rae/Smith, Favorite: ,Arruabarrena/Hradecka, 10027014   size:17.0,Price: ,1.3,Rae/Smith, 8621531   size:7.41,Price: ,2.98,ok
1.119576950, Sport: ,Tennis, Time: ,Tue Jul 21 14:00:00 CEST 2015, Time: ,Tue Jul 21 14:00:00 CEST 2015, Event: ,Novak v Zopp, Favorite: ,Jurgen Zopp, 5223695   size:7.46,Price: ,1.49,Dennis Novak, 7335936   size:14.34,Price: ,2.88,ok
1.119585526, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Pereira v Beck, Favorite: ,Teliana Pereira, 6390242   size:400.78,Price: ,1.73,Annika Beck, 4174996   size:221.53,Price: ,2.26,x
1.119585411, Sport: ,Tennis, Time: ,Tue Jul 21 13:00:00 CEST 2015, Time: ,Tue Jul 21 13:00:00 CEST 2015, Event: ,K Knapp v Paszek, Favorite: ,Karin Knapp, 2328045   size:11.33,Price: ,1.36,Tamira Paszek, 2263715   size:73.02,Price: ,3.7,ok
1.119585771, Sport: ,Tennis, Time: ,Tue Jul 21 15:00:00 CEST 2015, Time: ,Tue Jul 21 15:00:00 CEST 2015, Event: ,Kovinic/Vogt v Haas/Mayr-Achleitner, Favorite: ,Kovinic/Vogt, 10027022   size:2.55,Price: ,1.24,Haas/Mayr-Achleitner, 8892210   size:2.55,Price: ,3.95,ok
1.119498588, Sport: ,Soccer, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Dila Gori v Partizan Belgrade, Favorite: ,Partizan Belgrade, 46980   size:701.84,Price: ,1.71,The Draw, 58805   size:64.96,Price: ,3.75,Dila Gori, 6511598   size:18.21,Price: ,6.4,ok
1.119578562, Sport: ,Tennis, Time: ,Tue Jul 21 13:45:00 CEST 2015, Time: ,Tue Jul 21 13:45:00 CEST 2015, Event: ,De Schepper/Dutra Silva v Istomin/Robert, Favorite: ,Istomin/Robert, 10016713   size:2.55,Price: ,1.66,De Schepper/Dutra Silva, 10016712   size:3.06,Price: ,2.1,x
1.119587156, Sport: ,Soccer, Time: ,Tue Jul 21 18:30:00 CEST 2015, Time: ,Tue Jul 21 18:30:00 CEST 2015, Event: ,Admira Wacker v Hapoel Raanana, Favorite: ,Admira Wacker, 729699   size:2.34,Price: ,2.14,Hapoel Raanana, 5281185   size:85.71,Price: ,2.84,The Draw, 58805   size:3.79,Price: ,4.1,ok
1.119592973, Sport: ,Tennis, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Berrettini v Cipolla, Favorite: ,Flavio Cipolla, 2424788   size:2.88,Price: ,1.36,Matteo Berrettini, 8962036   size:2.55,Price: ,3.45,ok
1.119591886, Sport: ,Soccer, Time: ,Tue Jul 21 13:00:00 CEST 2015, Time: ,Tue Jul 21 13:00:00 CEST 2015, Event: ,Al Ahly (Sudan) v LLB Academic FC, Favorite: ,Al Ahly (Sudan), 6618831   size:15.04,Price: ,1.71,The Draw, 58805   size:7.03,Price: ,3.85,LLB Academic FC, 10036036   size:5.4,Price: ,4.7,x
1.119574129, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Schnur v Nishioka, Favorite: ,Yoshihito Nishioka, 7137497   size:7.54,Price: ,1.32,Brayden Schnur, 8699403   size:2.55,Price: ,3.45,ok
1.119592975, Sport: ,Tennis, Time: ,Tue Jul 21 17:15:00 CEST 2015, Time: ,Tue Jul 21 17:15:00 CEST 2015, Event: ,Safwat v Bozoljac, Favorite: ,Ilija Bozoljac, 4489337   size:2.55,Price: ,1.48,Mohamed Safwat, 6948116   size:45.53,Price: ,2.64,ok
1.119603734, Sport: ,Tennis, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Marchenko v Demoliner, Favorite: ,Illya Marchenko, 3691700   size:107.15,Price: ,1.18,Marcelo Demoliner, 3506050   size:60.46,Price: ,5.6,x
1.119500296, Sport: ,Soccer, Time: ,Tue Jul 21 18:40:00 CEST 2015, Time: ,Tue Jul 21 18:40:00 CEST 2015, Event: ,Sweden U19 (W) v France U19 (W), Favorite: ,France U19 (W), 4044100   size:2.93,Price: ,1.88,The Draw, 58805   size:35.2,Price: ,3.6,Sweden U19 (W), 4044103   size:8.03,Price: ,4.4,ok
1.119356362, Sport: ,Basketball, Time: ,Tue Jul 21 14:45:00 CEST 2015, Time: ,Tue Jul 21 14:45:00 CEST 2015, Event: ,Serbia U19 (W) v Brazil U19 (W), Favorite: ,Brazil U19 (W), 7433563   size:11.02,Price: ,1.28,Serbia U19 (W), 7433567   size:129.77,Price: ,3.8,x
