1.121499022, Sport: ,Tennis, Time: ,Wed Oct 28 17:15:00 CET 2015, Time: ,Wed Oct 28 17:15:00 CET 2015, Event: ,Bellucci/Fleming v Knowle/Marach, Favorite: ,Knowle/Marach, 7857513   size:33.19,Price: ,1.62,Bellucci/Fleming, 10456989   size:54.16,Price: ,2.4,ok
1.121492122, Sport: ,Basketball, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Dynamo Kursk (W) v Famila Schio (W), Favorite: ,Dynamo Kursk (W), 10411144   size:2.55,Price: ,1.31,Famila Schio (W), 7137850   size:115.16,Price: ,3.45,ok
1.121385103, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Dinamo Minsk v Metallurg Mg, Favorite: ,Metallurg Mg, 3343614   size:29.32,Price: ,2.26,Dinamo Minsk, 3312412   size:2.18,Price: ,2.9,Tie, 60104   size:49.85,Price: ,4.2,x
1.121369553, Sport: ,Ice Hockey, Time: ,Wed Oct 28 15:30:00 CET 2015, Time: ,Wed Oct 28 15:30:00 CET 2015, Event: ,Vitkovice Steel v Mountfield HK, Favorite: ,Vitkovice Steel, 2878390   size:10.7,Price: ,1.01,Mountfield HK, 7577373   size:10.7,Price: ,1.01,Tie, 60104   size:10.7,Price: ,1.01,x
1.121416356, Sport: ,Volleyball, Time: ,Wed Oct 28 16:00:00 CET 2015, Time: ,Wed Oct 28 16:00:00 CET 2015, Event: ,Stiinta Bacau v Apollon Limassol, Favorite: ,Stiinta Bacau, 6781536   size:3.0,Price: ,1.05,Apollon Limassol, 10410549   size:40.46,Price: ,8.2,ok
1.121495511, Sport: ,Soccer, Time: ,Wed Oct 28 16:55:00 CET 2015, Time: ,Wed Oct 28 16:55:00 CET 2015, Event: ,Al Kuwait SC U20 v Al Arabi (Kuwait) U20, Favorite: ,Al Kuwait SC U20, 10437859   size:136.58,Price: ,1.06,Al Arabi (Kuwait) U20, 10462495   size:136.58,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121493106, Sport: ,Basketball, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Valosun Brno (W) v Miskolc (W), Favorite: ,Miskolc (W), 8997162   size:12.0,Price: ,1.25,Valosun Brno (W), 10462207   size:5.86,Price: ,1.6,ok
1.121418684, Sport: ,Volleyball, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Chemik Police v Agel Prostejov, Favorite: ,Chemik Police, 7733782   size:2.55,Price: ,1.09,Agel Prostejov, 6766227   size:2.0,Price: ,8.8,ok
1.121492134, Sport: ,Basketball, Time: ,Wed Oct 28 17:45:00 CET 2015, Time: ,Wed Oct 28 17:45:00 CET 2015, Event: ,Good Angels Kosice (W) v Galatasaray (W), Favorite: ,Good Angels Kosice (W), 5291016   size:154.77,Price: ,1.21,Galatasaray (W), 5290909   size:154.77,Price: ,1.44,ok
1.121381901, Sport: ,Soccer, Time: ,Wed Oct 28 16:30:00 CET 2015, Time: ,Wed Oct 28 16:30:00 CET 2015, Event: ,Lokomotiv Plovdiv v Montana, Favorite: ,Lokomotiv Plovdiv, 878125   size:4.55,Price: ,1.52,Montana, 3475110   size:5.57,Price: ,7.6,The Draw, 58805   size:13.24,Price: ,4.1,x
1.121477097, Sport: ,Tennis, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Rogowska v Jaksic, Favorite: ,Jovana Jaksic, 7168389   size:2.55,Price: ,1.33,Olivia Rogowska, 3610739   size:3.8,Price: ,3.5,ok
1.121419000, Sport: ,Volleyball, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Vakifbank Istanbul v Gorgonzola Novara, Favorite: ,Vakifbank Istanbul, 3579478   size:1077.49,Price: ,1.01,Gorgonzola Novara, 10368510   size:152.22,Price: ,1.85,ok
