1.121877166, Sport: ,Tennis, Time: ,Thu Nov 19 12:00:00 CET 2015, Time: ,Thu Nov 19 12:00:00 CET 2015, Event: ,Minnen v Vrljic, Favorite: ,Ana Vrljic, 2548767   size:4.66,Price: ,1.6,Greet Minnen, 10108736   size:46.93,Price: ,2.52,x
1.121877200, Sport: ,Tennis, Time: ,Thu Nov 19 13:30:00 CET 2015, Time: ,Thu Nov 19 13:30:00 CET 2015, Event: ,Knoll v Christie, Favorite: ,Xenia Knoll, 7414060   size:4.66,Price: ,1.64,Freya Christie, 8624170   size:2.83,Price: ,2.3,x
1.121790095, Sport: ,Volleyball, Time: ,Thu Nov 19 11:00:00 CET 2015, Time: ,Thu Nov 19 11:00:00 CET 2015, Event: ,Seoul Woori Card Hansae v Incheon Korean Air Jumb, Favorite: ,Incheon Korean Air Jumb, 10389010   size:303.35,Price: ,1.24,Seoul Woori Card Hansae, 10391680   size:64.85,Price: ,2.1,ok
1.121877164, Sport: ,Tennis, Time: ,Thu Nov 19 13:30:00 CET 2015, Time: ,Thu Nov 19 13:30:00 CET 2015, Event: ,Dodin v Bolkvadze, Favorite: ,Oceane Dodin, 7289631   size:7.21,Price: ,1.21,Mariam Bolkvadze, 9630030   size:25.27,Price: ,4.9,ok
1.121860447, Sport: ,Ice Hockey, Time: ,Thu Nov 19 17:30:00 CET 2015, Time: ,Thu Nov 19 17:30:00 CET 2015, Event: ,Lukko v Karpat, Favorite: ,Lukko, 66603   size:110.0,Price: ,2.52,Karpat, 66430   size:110.0,Price: ,2.56,Tie, 60104   size:108.0,Price: ,3.9,x
1.121810468, Sport: ,Tennis, Time: ,Thu Nov 19 13:00:00 CET 2015, Time: ,Thu Nov 19 13:00:00 CET 2015, Event: ,Bolelli/Fognini v Bopanna/Mergea, Favorite: ,Bopanna/Mergea, 8890432   size:4.76,Price: ,1.47,Bolelli/Fognini, 5720390   size:5.0,Price: ,2.92,x
1.121882638, Sport: ,Tennis, Time: ,Thu Nov 19 14:30:00 CET 2015, Time: ,Thu Nov 19 14:30:00 CET 2015, Event: ,Chiudinelli v Mi Basic, Favorite: ,Mirza Basic, 5499167   size:2.55,Price: ,1.61,Marco Chiudinelli, 2263632   size:2.55,Price: ,2.44,ok
1.121763473, Sport: ,Soccer, Time: ,Thu Nov 19 11:00:00 CET 2015, Time: ,Thu Nov 19 11:00:00 CET 2015, Event: ,USM El Harrach U21 v MO Bejaia U21, Favorite: ,USM El Harrach U21, 7746150   size:4.23,Price: ,1.36,MO Bejaia U21, 8297033   size:12.28,Price: ,2.14,The Draw, 58805   size:4.67,Price: ,3.8,ok
1.121771131, Sport: ,Ice Hockey, Time: ,Thu Nov 19 17:30:00 CET 2015, Time: ,Thu Nov 19 17:30:00 CET 2015, Event: ,SKA v Barys, Favorite: ,SKA, 2296808   size:6.06,Price: ,1.82,Barys, 3328562   size:27.0,Price: ,3.8,Tie, 60104   size:60.99,Price: ,4.8,ok
1.121869147, Sport: ,Soccer, Time: ,Thu Nov 19 10:00:00 CET 2015, Time: ,Thu Nov 19 10:00:00 CET 2015, Event: ,Bunyodkor v FK Kokand 1912, Favorite: ,Bunyodkor, 3393514   size:3.52,Price: ,1.42,FK Kokand 1912, 8433044   size:4.0,Price: ,3.35,The Draw, 58805   size:2.31,Price: ,4.2,ok
1.121861772, Sport: ,Tennis, Time: ,Thu Nov 19 12:30:00 CET 2015, Time: ,Thu Nov 19 12:30:00 CET 2015, Event: ,Jakupovic v Jegiolka, Favorite: ,Dalila Jakupovic, 5690805   size:4.66,Price: ,1.49,Justyna Jegiolka, 7283198   size:2.47,Price: ,2.64,ok
1.121860442, Sport: ,Ice Hockey, Time: ,Thu Nov 19 17:30:00 CET 2015, Time: ,Thu Nov 19 17:30:00 CET 2015, Event: ,KalPa v HPK, Favorite: ,KalPa, 275250   size:24.02,Price: ,1.8,HPK, 66424   size:20.0,Price: ,4.5,Tie, 60104   size:41.96,Price: ,4.4,ok
1.121883281, Sport: ,Tennis, Time: ,Thu Nov 19 12:30:00 CET 2015, Time: ,Thu Nov 19 12:30:00 CET 2015, Event: ,Muchova v Maleckova, Favorite: ,Jesika Maleckova, 9150595   size:4.66,Price: ,1.63,Karolina Muchova, 9632758   size:3.79,Price: ,2.24,x
1.121790209, Sport: ,Volleyball, Time: ,Thu Nov 19 09:00:00 CET 2015, Time: ,Thu Nov 19 09:00:00 CET 2015, Event: ,GS Caltex Kixx v Heungkuk Pink Spiders, Favorite: ,GS Caltex Kixx, 10391693   size:3.95,Price: ,1.65,Heungkuk Pink Spiders, 10391681   size:2.55,Price: ,1.7,ok
1.121850847, Sport: ,Basketball, Time: ,Thu Nov 19 19:00:00 CET 2015, Time: ,Thu Nov 19 19:00:00 CET 2015, Event: ,Cedevita v Olympiacos, Favorite: ,Cedevita, 4229279   size:85.96,Price: ,1.83,Olympiacos, 278582   size:71.35,Price: ,2.0,x
