1.119117474, Sport: ,Basketball, Time: ,Wed Jun 10 17:30:00 CEST 2015, Time: ,Wed Jun 10 17:30:00 CEST 2015, Event: ,Neptunas v Juventus, Favorite: ,Neptunas, 5261523   size:961.38,Price: ,1.25,Juventus, 5244996   size:2.55,Price: ,4.5,x
1.119117750, Sport: ,Tennis, Time: ,Thu Jun 11 04:30:00 CEST 2015, Time: ,Thu Jun 11 04:30:00 CEST 2015, Event: ,T Kinard v Inoue, Favorite: ,Miyabi Inoue, 8839053   size:15.99,Price: ,1.46,Tori Kinard, 6564416   size:2.97,Price: ,2.98,ok
1.119073821, Sport: ,Handball, Time: ,Wed Jun 10 20:25:00 CEST 2015, Time: ,Wed Jun 10 20:25:00 CEST 2015, Event: ,Austria v Spain, Favorite: ,Spain, 620381   size:46.89,Price: ,1.19,Austria, 620378   size:3.59,Price: ,7.8,Draw, 330157   size:11.64,Price: ,12.0,ok
1.119053517, Sport: ,Baseball, Time: ,Thu Jun 11 01:08:00 CEST 2015, Time: ,Thu Jun 11 01:08:00 CEST 2015, Event: ,CHC @ DET, Favorite: ,Chicago Cubs (J Arrieta), 7539740   size:311.0,Price: ,1.93,Detroit (S Greene), 9385642   size:510.99,Price: ,1.96,ok
1.119073266, Sport: ,Handball, Time: ,Wed Jun 10 18:35:00 CEST 2015, Time: ,Wed Jun 10 18:35:00 CEST 2015, Event: ,Latvia v Sweden, Favorite: ,Sweden, 624135   size:250.0,Price: ,1.05,Latvia, 2409743   size:69.2,Price: ,11.0,Draw, 330157   size:4.19,Price: ,14.5,ok
1.119107438, Sport: ,Tennis, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Hradecka/Schiavone v Rae/Smith, Favorite: ,Hradecka/Schiavone, 9568454   size:76.79,Price: ,1.55,Rae/Smith, 8621531   size:34.61,Price: ,2.52,x
1.119073747, Sport: ,Handball, Time: ,Wed Jun 10 17:00:00 CEST 2015, Time: ,Wed Jun 10 17:00:00 CEST 2015, Event: ,Russia v Ukraine, Favorite: ,Russia, 602689   size:6632.69,Price: ,1.02,Ukraine, 620385   size:2.67,Price: ,27.0,Draw, 330157   size:4.57,Price: ,30.0,ok
1.118847366, Sport: ,Rugby Union, Time: ,Wed Jun 10 20:30:00 CEST 2015, Time: ,Wed Jun 10 20:30:00 CEST 2015, Event: ,South Africa U20 v Australia U20, Favorite: ,South Africa U20, 7323825   size:5.47,Price: ,1.28,Australia U20, 7323962   size:4.57,Price: ,4.1,Draw, 246289   size:2.67,Price: ,22.0,ok
1.119053557, Sport: ,Baseball, Time: ,Thu Jun 11 02:10:00 CEST 2015, Time: ,Thu Jun 11 02:10:00 CEST 2015, Event: ,KC @ MIN, Favorite: ,Kansas City (E Volquez), 9385643   size:95.45,Price: ,1.95,Minnesota (K Gibson), 7395517   size:541.0,Price: ,1.97,ok
1.119053573, Sport: ,Baseball, Time: ,Thu Jun 11 04:10:00 CEST 2015, Time: ,Thu Jun 11 04:10:00 CEST 2015, Event: ,ARI @ LAD, Favorite: ,LA Dodgers (B Anderson), 9389898   size:525.0,Price: ,1.53,Arizona (J Hellickson), 9385116   size:279.0,Price: ,2.68,ok
1.119053493, Sport: ,Baseball, Time: ,Thu Jun 11 01:00:00 CEST 2015, Time: ,Thu Jun 11 01:00:00 CEST 2015, Event: ,BOS @ BAL, Favorite: ,Baltimore (W Chen), 6298659   size:5.0,Price: ,1.89,Boston (R Porcello), 9385112   size:67.51,Price: ,2.08,ok
1.119113915, Sport: ,Basketball, Time: ,Wed Jun 10 18:30:00 CEST 2015, Time: ,Wed Jun 10 18:30:00 CEST 2015, Event: ,Panathinaikos v Olympiacos, Favorite: ,Panathinaikos, 266270   size:6.76,Price: ,1.9,Olympiacos, 278582   size:76.26,Price: ,1.93,x
