1.121621281, Sport: ,Tennis, Time: ,Mon Nov 02 19:30:00 CET 2015, Time: ,Mon Nov 02 19:30:00 CET 2015, Event: ,Sarmiento/Thompson v Opelka/Paul, Favorite: ,Opelka/Paul, 10484212   size:2.54,Price: ,1.06,Sarmiento/Thompson, 10484209   size:2.86,Price: ,2.2,ok
1.121618673, Sport: ,Tennis, Time: ,Mon Nov 02 23:45:00 CET 2015, Time: ,Mon Nov 02 23:45:00 CET 2015, Event: ,Duran/Molteni v Londero/Sakamoto, Favorite: ,Duran/Molteni, 8910784   size:2.64,Price: ,1.12,Londero/Sakamoto, 10483993   size:61.93,Price: ,5.6,ok
1.121618675, Sport: ,Tennis, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Becuzzi/Lorenzi v Arevalo/Galdos, Favorite: ,Arevalo/Galdos, 10252645   size:3.0,Price: ,1.07,Becuzzi/Lorenzi, 8025338   size:4.69,Price: ,5.7,ok
1.121611647, Sport: ,Tennis, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,F Coria v El Mihdawy, Favorite: ,Federico Coria, 8326752   size:9.87,Price: ,1.27,Adam El Mihdawy, 8428926   size:28.23,Price: ,3.9,x
1.121612059, Sport: ,Soccer, Time: ,Mon Nov 02 22:00:00 CET 2015, Time: ,Mon Nov 02 22:00:00 CET 2015, Event: ,Vila Nova v Brasil de Pelotas, Favorite: ,Vila Nova, 376829   size:2.51,Price: ,1.97,Brasil de Pelotas, 7160974   size:2.54,Price: ,3.8,The Draw, 58805   size:2.9,Price: ,3.55,x
1.121501877, Sport: ,Soccer, Time: ,Tue Nov 03 00:00:00 CET 2015, Time: ,Tue Nov 03 00:00:00 CET 2015, Event: ,Arsenal FC v Defensa y Justicia, Favorite: ,Defensa y Justicia, 5178272   size:160.73,Price: ,2.4,Arsenal FC, 512619   size:175.35,Price: ,3.4,The Draw, 58805   size:4.75,Price: ,3.35,x
1.121450888, Sport: ,Soccer, Time: ,Mon Nov 02 19:30:00 CET 2015, Time: ,Mon Nov 02 19:30:00 CET 2015, Event: ,Genk (Y) v KVC Westerlo (Youth), Favorite: ,Genk (Y), 7159134   size:5.12,Price: ,1.34,KVC Westerlo (Youth), 8764419   size:5.94,Price: ,4.1,The Draw, 58805   size:5.94,Price: ,4.1,ok
1.121451218, Sport: ,Soccer, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Lecce v Monopoli, Favorite: ,Lecce, 508827   size:4.58,Price: ,1.72,Monopoli, 10284167   size:18.0,Price: ,5.8,The Draw, 58805   size:5.0,Price: ,3.75,ok
1.121451053, Sport: ,Soccer, Time: ,Mon Nov 02 19:30:00 CET 2015, Time: ,Mon Nov 02 19:30:00 CET 2015, Event: ,Mouscron Peruwelz Youth v Standard Liege (Y), Favorite: ,Standard Liege (Y), 7159118   size:7.98,Price: ,1.51,Mouscron Peruwelz Youth, 8764421   size:4.73,Price: ,4.6,The Draw, 58805   size:10.72,Price: ,5.1,ok
1.121621299, Sport: ,Tennis, Time: ,Mon Nov 02 22:00:00 CET 2015, Time: ,Mon Nov 02 22:00:00 CET 2015, Event: ,Michon v T Monteiro, Favorite: ,Thiago Monteiro, 8326656   size:24.05,Price: ,1.77,Axel Michon, 4994683   size:65.43,Price: ,2.12,ok
