1.119100953, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Majchrzak v Peliwo, Favorite: ,Kamil Majchrzak, 8698678   size:2.55,Price: ,1.33,Filip Peliwo, 7366916   size:7.76,Price: ,2.62,okok
1.119104999, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,Laaksonen v Teixeira, Favorite: ,Maxime Teixeira, 5321113   size:204.0,Price: ,1.07,okok
1.119103668, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,Stanek v Tiafoe, Favorite: ,Frances Tiafoe, 9399490   size:31.19,Price: ,1.03,Robin Stanek, 8599863   size:127.72,Price: ,1.07,okok
1.119008357, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Durham v Somerset, Favorite: ,The Draw, 60443   size:5.0,Price: ,1.05,Durham, 31374   size:2.15,Price: ,2.16,Somerset, 5995   size:2.64,Price: ,3.65,xx
1.119008359, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Yorkshire v Middlesex, Favorite: ,The Draw, 60443   size:6.33,Price: ,2.18,Yorkshire, 655   size:2.84,Price: ,2.32,Middlesex, 31378   size:2.37,Price: ,2.78,xx
1.119008358, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Sussex v Hampshire, Favorite: ,The Draw, 60443   size:2.0,Price: ,1.96,Sussex, 31379   size:29.35,Price: ,2.48,Hampshire, 3961   size:4.64,Price: ,2.74,xx
1.119040522, Sport: ,Basketball, Time: ,Sun Jun 07 20:05:00 CEST 2015, Time: ,Sun Jun 07 20:05:00 CEST 2015, Event: ,Hapoel Eilat v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 266273   size:77.46,Price: ,1.45,Hapoel Eilat, 7758974   size:21.55,Price: ,2.9,okok
1.119008677, Sport: ,Cricket, Time: ,Sun Jun 07 15:30:00 CEST 2015, Time: ,Sun Jun 07 15:30:00 CEST 2015, Event: ,Worcestershire v Nottinghamshire, Favorite: ,Nottinghamshire, 2780   size:19.93,Price: ,1.59,Worcestershire, 31372   size:28.85,Price: ,2.62,okok
1.119105576, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Parmentier v Niculescu, Favorite: ,Monica Niculescu, 2309528   size:4.8,Price: ,1.59,Pauline Parmentier, 2309569   size:4.39,Price: ,2.5,okok
1.119046477, Sport: ,Basketball, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Real Madrid v Valencia, Favorite: ,Real Madrid, 266274   size:2420.82,Price: ,1.13,Valencia, 599260   size:26.16,Price: ,8.0,x
1.119104961, Sport: ,Tennis, Time: ,Sun Jun 07 13:30:00 CEST 2015, Time: ,Sun Jun 07 13:30:00 CEST 2015, Event: ,L Zhu v Parra Santonja, Favorite: ,Lin Zhu, 8714569   size:25.23,Price: ,1.44,Arantxa Parra Santonja, 2309573   size:148.86,Price: ,3.05,x
1.119105455, Sport: ,Tennis, Time: ,Sun Jun 07 14:30:00 CEST 2015, Time: ,Sun Jun 07 14:30:00 CEST 2015, Event: ,Falla v Sugita, Favorite: ,Alejandro Falla, 2284300   size:6.06,Price: ,1.46,Yuichi Sugita, 3374117   size:7.55,Price: ,2.88,xx
1.119103675, Sport: ,Tennis, Time: ,Sun Jun 07 13:30:00 CEST 2015, Time: ,Sun Jun 07 13:30:00 CEST 2015, Event: ,Date-Krumm v Kudryavtseva, Favorite: ,Alla Kudryavtseva, 2263696   size:28.84,Price: ,1.42,Kimiko Date-Krumm, 8244520   size:31.57,Price: ,3.1,okok
1.119103873, Sport: ,Tennis, Time: ,Sun Jun 07 14:00:00 CEST 2015, Time: ,Sun Jun 07 14:00:00 CEST 2015, Event: ,M Krueger v Lama, Favorite: ,Gonzalo Lama, 7032057   size:68.93,Price: ,1.83,okok
1.119105655, Sport: ,Tennis, Time: ,Sun Jun 07 14:15:00 CEST 2015, Time: ,Sun Jun 07 14:15:00 CEST 2015, Event: ,Hlavackova v Kerkhove, Favorite: ,Andrea Hlavackova, 2405315   size:5.0,Price: ,1.61,Lesley Kerkhove, 7283298   size:36.65,Price: ,2.48,okok
1.119104645, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,P Herbert v Schoorel, Favorite: ,Pierre-Hugues Herbert, 8266399   size:27.88,Price: ,1.35,Thomas Schoorel, 5056962   size:67.07,Price: ,3.7,okok
1.119100961, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,T Ito v M Reid, Favorite: ,Tatsuma Ito, 3374118   size:2.55,Price: ,1.27,Matt Reid, 4423896   size:11.41,Price: ,4.1,okok
1.119101851, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,Bachinger v M Fischer, Favorite: ,Matthias Bachinger, 2397396   size:2.55,Price: ,1.69,Martin Fischer, 2488836   size:2.55,Price: ,2.26,okok
1.119053159, Sport: ,Baseball, Time: ,Sun Jun 07 19:35:00 CEST 2015, Time: ,Sun Jun 07 19:35:00 CEST 2015, Event: ,OAK @ BOS, Favorite: ,Boston (C Buchholz), 2515837   size:108.0,Price: ,1.65,Oakland (K Graveman), 9385645   size:92.0,Price: ,2.46,okok
1.119100002, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,M Podzus v Uchiyama, Favorite: ,Yasutaka Uchiyama, 5858048   size:3.11,Price: ,1.55,Martins Podzus, 8252673   size:2.19,Price: ,2.2,okok
1.119101297, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,H Cunha v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:75.47,Price: ,1.22,Henrique Cunha, 7444875   size:2.55,Price: ,4.6,ok
1.119100966, Sport: ,Tennis, Time: ,Sun Jun 07 10:00:00 CEST 2015, Time: ,Sun Jun 07 10:00:00 CEST 2015, Event: ,Zaitcev v Sakamoto, Favorite: ,Anton Zaitcev, 8714146   size:5.07,Price: ,1.84,Pedro Sakamoto, 8304915   size:4.95,Price: ,1.94,ok
1.119053175, Sport: ,Baseball, Time: ,Sun Jun 07 19:35:00 CEST 2015, Time: ,Sun Jun 07 19:35:00 CEST 2015, Event: ,SF @ PHI, Favorite: ,San Francisco (R Vogelsong), 5504898   size:104.0,Price: ,1.79,Philadelphia (S OSullivan), 8659035   size:65.06,Price: ,2.2,xx
1.119103877, Sport: ,Tennis, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Vekic v Beygelzimer, Favorite: ,Donna Vekic, 6603944   size:69.98,Price: ,1.45,Yuliya Beygelzimer, 3674505   size:41.15,Price: ,3.05,xx
1.119104649, Sport: ,Tennis, Time: ,Sun Jun 07 12:30:00 CEST 2015, Time: ,Sun Jun 07 12:30:00 CEST 2015, Event: ,Zopp v Mahut, Favorite: ,Nicolas Mahut, 2257317   size:25.96,Price: ,1.37,Jurgen Zopp, 5223695   size:51.84,Price: ,3.65,okok
1.119099333, Sport: ,Basketball, Time: ,Sun Jun 07 17:00:00 CEST 2015, Time: ,Sun Jun 07 17:00:00 CEST 2015, Event: ,PAOK v Aris, Favorite: ,PAOK, 281533   size:2.55,Price: ,1.42,Aris, 281552   size:2.55,Price: ,3.1,okok
1.119104528, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Pegula v Ostapenko, Favorite: ,Jelena Ostapenko, 8827537   size:197.94,Price: ,1.25,Jessica Pegula, 6215852   size:22.56,Price: ,4.4,xx
1.119008367, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Gloucestershire v Lancashire, Favorite: ,Lancashire, 424679   size:18.03,Price: ,2.24,The Draw, 60443   size:3.91,Price: ,2.44,Gloucestershire, 2219   size:3.04,Price: ,2.78,ok
1.119087902, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Partizan v Metalac, Favorite: ,Partizan, 266286   size:2.55,Price: ,1.09,Metalac, 7735981   size:3.36,Price: ,5.9,okok
1.119101061, Sport: ,Tennis, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,K Zhang v Govortsova, Favorite: ,Olga Govortsova, 2415575   size:57.0,Price: ,1.22,Kai-Lin Zhang, 8710301   size:71.62,Price: ,5.1,okok
1.119104653, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,U Radwanska v Ar Rodionova, Favorite: ,Urszula Radwanska, 2395156   size:14.65,Price: ,1.2,Arina Rodionova, 2967315   size:12.03,Price: ,5.5,okok
1.119103645, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,Michalicka v G Escobar, Favorite: ,Gonzalo Escobar, 7660810   size:214.34,Price: ,1.07,x
1.119053167, Sport: ,Baseball, Time: ,Sun Jun 07 19:35:00 CEST 2015, Time: ,Sun Jun 07 19:35:00 CEST 2015, Event: ,PIT @ ATL, Favorite: ,Pittsburgh (G Cole), 7340947   size:102.82,Price: ,1.79,Atlanta (A Wood), 7368437   size:91.0,Price: ,2.22,ok
1.119051024, Sport: ,Basketball, Time: ,Sun Jun 07 09:00:00 CEST 2015, Time: ,Sun Jun 07 09:00:00 CEST 2015, Event: ,Global Port v Barako Bull Energy, Favorite: ,Global Port Batang Pier, 6676516   size:195.53,Price: ,1.92,Barako Bull Energy, 5087272   size:2.55,Price: ,1.97,xx
1.119053127, Sport: ,Baseball, Time: ,Sun Jun 07 19:05:00 CEST 2015, Time: ,Sun Jun 07 19:05:00 CEST 2015, Event: ,LAA @ NYY, Favorite: ,NY Yankees (C Sabathia), 3832740   size:100.99,Price: ,1.85,LA Angels (C Wilson), 6296977   size:270.0,Price: ,2.06,okok
1.119051029, Sport: ,Basketball, Time: ,Sun Jun 07 11:15:00 CEST 2015, Time: ,Sun Jun 07 11:15:00 CEST 2015, Event: ,Purefoods Star v Brgy Ginebra, Favorite: ,Purefoods Star Hotshots, 8931317   size:6.05,Price: ,1.7,Brgy Ginebra, 4373828   size:2.78,Price: ,2.36,okok
1.119100858, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Krajinovic v Boutillier, Favorite: ,Filip Krajinovic, 3509265   size:2.55,Price: ,1.35,Remi Boutillier, 8596370   size:44.72,Price: ,3.4,okok
1.119057066, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Denain v Boulazac, Favorite: ,Denain, 6719010   size:2.55,Price: ,1.82,Boulazac, 6718787   size:2.55,Price: ,2.06,okok
1.119008377, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Northamptonshire v Essex, Favorite: ,The Draw, 60443   size:4.51,Price: ,2.52,Essex, 31376   size:4.32,Price: ,2.6,ok
1.119053183, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,DET @ CWS, Favorite: ,Chi White Sox (J Samardzija), 9439851   size:287.0,Price: ,1.8,Detroit (A Simon), 9389893   size:99.99,Price: ,2.14,xx
1.119008371, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Kent v Derbyshire, Favorite: ,The Draw, 60443   size:5.84,Price: ,2.12,Kent, 5901   size:9.27,Price: ,2.6,Derbyshire, 31375   size:17.98,Price: ,2.82,xx
1.119101029, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Bellotti v Michon, Favorite: ,Riccardo Bellotti, 7533686   size:10.2,Price: ,1.51,Axel Michon, 4994683   size:8.94,Price: ,2.12,xx
1.119008373, Sport: ,Cricket, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Leicestershire v Surrey, Favorite: ,Surrey, 424676   size:2.55,Price: ,1.93,The Draw, 60443   size:2.55,Price: ,2.12,Leicestershire, 31377   size:5.94,Price: ,5.2,ok
1.119101425, Sport: ,Tennis, Time: ,Sun Jun 07 15:00:00 CEST 2015, Time: ,Sun Jun 07 15:00:00 CEST 2015, Event: ,N Djokovic v S Wawrinka, Favorite: ,Novak Djokovic, 2249229   size:36000.93,Price: ,1.17,Stanislas Wawrinka, 2257309   size:3727.27,Price: ,6.6,x
1.119053143, Sport: ,Baseball, Time: ,Sun Jun 07 19:10:00 CEST 2015, Time: ,Sun Jun 07 19:10:00 CEST 2015, Event: ,BAL @ CLE, Favorite: ,Cleveland (C Carrasco), 4153692   size:273.0,Price: ,1.57,Baltimore (B Norris), 7545089   size:108.0,Price: ,2.58,xx
1.119104977, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,M Zverev v Zemlja, Favorite: ,Mischa Zverev, 2263625   size:13.73,Price: ,1.75,Grega Zemlja, 3509269   size:95.79,Price: ,2.2,okok
1.119104812, Sport: ,Tennis, Time: ,Sun Jun 07 14:00:00 CEST 2015, Time: ,Sun Jun 07 14:00:00 CEST 2015, Event: ,Saville v Groth, Favorite: ,Sam Groth, 8639819   size:5.0,Price: ,1.43,Luke Saville, 6965426   size:34.3,Price: ,3.05,okok
1.119104658, Sport: ,Tennis, Time: ,Sun Jun 07 16:00:00 CEST 2015, Time: ,Sun Jun 07 16:00:00 CEST 2015, Event: ,Kovalik v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:38.9,Price: ,1.84,Jozef Kovalik, 7287668   size:3.39,Price: ,2.02,okok
1.119105357, Sport: ,Tennis, Time: ,Sun Jun 07 14:15:00 CEST 2015, Time: ,Sun Jun 07 14:15:00 CEST 2015, Event: ,Chiudinelli v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:28.51,Price: ,1.37,Marco Chiudinelli, 2263632   size:3.98,Price: ,3.2,xx
