1.120990934, Sport: ,Soccer, Time: ,Thu Oct 08 16:30:00 CEST 2015, Time: ,Thu Oct 08 16:30:00 CEST 2015, Event: ,Oman v Iran, Favorite: ,The Draw, 58805   size:57.53,Price: ,2.36,Oman, 51305   size:2.71,Price: ,3.95,Iran, 47966   size:176.81,Price: ,2.98,ok
1.121107799, Sport: ,Tennis, Time: ,Thu Oct 08 16:24:00 CEST 2015, Time: ,Thu Oct 08 16:24:00 CEST 2015, Event: ,E Ymer v Kravchuk, Favorite: ,Elias Ymer, 7414305   size:134.36,Price: ,1.83,Konstantin Kravchuk, 5011822   size:73.65,Price: ,2.02,x
1.121116025, Sport: ,Tennis, Time: ,Thu Oct 08 16:17:00 CEST 2015, Time: ,Thu Oct 08 16:17:00 CEST 2015, Event: ,Kovalik v Delbonis, Favorite: ,Jozef Kovalik, 7287668   size:816.36,Price: ,1.72,Federico Delbonis, 6181532   size:128.93,Price: ,2.36,ok
1.121107696, Sport: ,Tennis, Time: ,Thu Oct 08 16:14:00 CEST 2015, Time: ,Thu Oct 08 16:14:00 CEST 2015, Event: ,Babos/Mladenovic v Liang/Wang, Favorite: ,Liang/Wang, 9128675   size:202.22,Price: ,1.66,Babos/Mladenovic, 8242001   size:1054.46,Price: ,2.28,ok
1.120992631, Sport: ,Soccer, Time: ,Thu Oct 08 20:45:00 CEST 2015, Time: ,Thu Oct 08 20:45:00 CEST 2015, Event: ,Hungary v Faroe Islands, Favorite: ,Hungary, 15290   size:7986.13,Price: ,1.3,Faroe Islands, 29633   size:222.43,Price: ,15.0,The Draw, 58805   size:393.7,Price: ,5.8,ok
1.121103962, Sport: ,Basketball, Time: ,Thu Oct 08 20:00:00 CEST 2015, Time: ,Thu Oct 08 20:00:00 CEST 2015, Event: ,Olympiacos v Panathinaikos, Favorite: ,Olympiacos, 278582   size:94.21,Price: ,1.71,Panathinaikos, 266270   size:60.39,Price: ,2.4,x
1.121107204, Sport: ,Tennis, Time: ,Thu Oct 08 17:05:00 CEST 2015, Time: ,Thu Oct 08 17:05:00 CEST 2015, Event: ,R Olivo v Hernandez-Fernandez, Favorite: ,Renzo Olivo, 4822931   size:455.73,Price: ,1.35,Jose Hernandez-Fernande, 9420497   size:168.02,Price: ,3.6,ok
1.121107126, Sport: ,Tennis, Time: ,Thu Oct 08 19:00:00 CEST 2015, Time: ,Thu Oct 08 19:00:00 CEST 2015, Event: ,Smyczek v McDonald, Favorite: ,Tim Smyczek, 2848631   size:61.9,Price: ,1.4,Mackenzie McDonald, 7569897   size:6.78,Price: ,3.25,x
1.120995468, Sport: ,Ice Hockey, Time: ,Thu Oct 08 19:00:00 CEST 2015, Time: ,Thu Oct 08 19:00:00 CEST 2015, Event: ,Valerenga v Stavanger, Favorite: ,Stavanger, 518241   size:2.56,Price: ,1.95,Valerenga, 61435   size:6.76,Price: ,3.2,Tie, 60104   size:103.96,Price: ,4.3,ok
1.121120423, Sport: ,Tennis, Time: ,Thu Oct 08 20:30:00 CEST 2015, Time: ,Thu Oct 08 20:30:00 CEST 2015, Event: ,Teixeira v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:10.73,Price: ,1.31,Maxime Teixeira, 5321113   size:5.77,Price: ,3.6,ok
1.121102913, Sport: ,Soccer, Time: ,Thu Oct 08 18:00:00 CEST 2015, Time: ,Thu Oct 08 18:00:00 CEST 2015, Event: ,Monza v AC Milan, Favorite: ,AC Milan, 127991   size:19.48,Price: ,1.22,Monza, 1220430   size:6.46,Price: ,15.0,The Draw, 58805   size:3.71,Price: ,6.2,ok
