1.121234436, Sport: ,Soccer, Time: ,Wed Oct 21 22:00:00 CEST 2015, Time: ,Wed Oct 21 22:00:00 CEST 2015, Event: ,Academia Puerto Cabello v UCV FC, Favorite: ,Academia Puerto Cabello, 10083750   size:2.21,Price: ,2.26,UCV FC, 10058063   size:70.62,Price: ,2.92,The Draw, 58805   size:69.97,Price: ,3.1,x
1.121362474, Sport: ,Tennis, Time: ,Thu Oct 22 07:30:00 CEST 2015, Time: ,Thu Oct 22 07:30:00 CEST 2015, Event: ,Ivashka v J Ward, Favorite: ,James Ward, 2370329   size:79.88,Price: ,1.71,Ilya Ivashka, 8304047   size:19.48,Price: ,2.22,ok
1.121234158, Sport: ,Soccer, Time: ,Wed Oct 21 20:30:00 CEST 2015, Time: ,Wed Oct 21 20:30:00 CEST 2015, Event: ,SD Logrones v ACD San Marcial, Favorite: ,SD Logrones, 6399685   size:2.72,Price: ,1.13,ACD San Marcial, 8344332   size:2.0,Price: ,14.0,The Draw, 58805   size:3.57,Price: ,5.9,ok
1.121235367, Sport: ,Soccer, Time: ,Thu Oct 22 02:00:00 CEST 2015, Time: ,Thu Oct 22 02:00:00 CEST 2015, Event: ,Tigres v Herediano, Favorite: ,Tigres, 328916   size:504.1,Price: ,1.4,Herediano, 4067826   size:31.35,Price: ,9.6,The Draw, 58805   size:76.67,Price: ,4.9,x
1.121362591, Sport: ,Cricket, Time: ,Thu Oct 22 05:30:00 CEST 2015, Time: ,Thu Oct 22 05:30:00 CEST 2015, Event: ,Bangladesh v Australia, Favorite: ,Bangladesh, 7659   size:144.6,Price: ,1.03,Australia, 16606   size:144.6,Price: ,1.03,x
1.121362517, Sport: ,Basketball, Time: ,Thu Oct 22 02:00:00 CEST 2015, Time: ,Thu Oct 22 02:00:00 CEST 2015, Event: ,New Orleans @ Orlando, Favorite: ,New Orleans, 6860646   size:62.0,Price: ,1.8,Orlando, 13104   size:50.95,Price: ,2.08,x
1.121362598, Sport: ,Cricket, Time: ,Thu Oct 22 10:00:00 CEST 2015, Time: ,Thu Oct 22 10:00:00 CEST 2015, Event: ,UAE v Pakistan, Favorite: ,UAE, 871131   size:144.6,Price: ,1.03,Pakistan, 7461   size:144.6,Price: ,1.03,ok
1.121350011, Sport: ,Tennis, Time: ,Thu Oct 22 01:00:00 CEST 2015, Time: ,Thu Oct 22 01:00:00 CEST 2015, Event: ,Kavcic/Zemlja v Ball/Brown, Favorite: ,Ball/Brown, 10409550   size:6.2,Price: ,1.04,Kavcic/Zemlja, 7025002   size:2.24,Price: ,2.74,ok
1.121262351, Sport: ,Handball, Time: ,Wed Oct 21 20:30:00 CEST 2015, Time: ,Wed Oct 21 20:30:00 CEST 2015, Event: ,Puente Genil v FC Barcelona, Favorite: ,FC Barcelona, 623982   size:0.0,Price: ,0.0,Puente Genil, 10194634   size:14.13,Price: ,55.0,Draw, 330157   size:14.13,Price: ,55.0,ok
1.121353880, Sport: ,Soccer, Time: ,Wed Oct 21 20:30:00 CEST 2015, Time: ,Wed Oct 21 20:30:00 CEST 2015, Event: ,Estudiantes de Caseros v Deportivo Riestra, Favorite: ,Estudiantes de Caseros, 7546748   size:4.31,Price: ,1.76,Deportivo Riestra, 5994579   size:12.79,Price: ,4.9,The Draw, 58805   size:9.39,Price: ,3.95,ok
1.121376241, Sport: ,Tennis, Time: ,Wed Oct 21 22:15:00 CEST 2015, Time: ,Wed Oct 21 22:15:00 CEST 2015, Event: ,Molteni/Trungelliti v Barrios Vera/Lama, Favorite: ,Molteni/Trungelliti, 9456604   size:2.75,Price: ,1.03,Barrios Vera/Lama, 10434914   size:2.75,Price: ,1.03,ok
