1.121422461, Sport: ,Volleyball, Time: ,Sat Oct 31 20:30:00 CET 2015, Time: ,Sat Oct 31 20:30:00 CET 2015, Event: ,Sanitars Montichiari v Minetti Vicenza, Favorite: ,Sanitars Montichiari, 10381563   size:33.26,Price: ,1.01,Minetti Vicenza, 10381561   size:67.38,Price: ,1.52,x
1.121404591, Sport: ,Soccer, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,Shanghai East Asia v Liaoning Whowin, Favorite: ,Shanghai East Asia, 6988032   size:40.36,Price: ,1.17,Liaoning Whowin, 9276641   size:45.78,Price: ,21.0,The Draw, 58805   size:16.42,Price: ,9.4,ok
1.121493550, Sport: ,American Football, Time: ,Sat Oct 31 20:30:00 CET 2015, Time: ,Sat Oct 31 20:30:00 CET 2015, Event: ,Oklahoma State @ Texas Tech, Favorite: ,Oklahoma State, 673442   size:5.57,Price: ,1.66,Texas Tech, 662040   size:6.15,Price: ,2.22,ok
1.121575392, Sport: ,Tennis, Time: ,Sat Oct 31 12:30:00 CET 2015, Time: ,Sat Oct 31 12:30:00 CET 2015, Event: ,Y Bhambri v Donskoy, Favorite: ,Yuki Bhambri, 3772081   size:105.11,Price: ,1.91,Evgeny Donskoy, 3391304   size:62.27,Price: ,2.0,ok
1.121404887, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Silkeborg v Lyngby, Favorite: ,Silkeborg, 28216   size:29.37,Price: ,2.44,Lyngby, 28218   size:9.5,Price: ,3.15,The Draw, 58805   size:7.8,Price: ,3.45,x
1.121561962, Sport: ,Soccer, Time: ,Sat Oct 31 10:00:00 CET 2015, Time: ,Sat Oct 31 10:00:00 CET 2015, Event: ,Uni Cluj v CS FC Caransebes, Favorite: ,Uni Cluj, 2491792   size:2.55,Price: ,1.72,CS FC Caransebes, 8808428   size:3.95,Price: ,3.5,The Draw, 58805   size:16.61,Price: ,3.15,ok
1.121404369, Sport: ,Soccer, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,Hangzhou Greentown v Shanghai Shenxin, Favorite: ,Hangzhou Greentown, 4057550   size:266.9,Price: ,1.29,Shanghai Shenxin, 9151487   size:2.29,Price: ,12.0,The Draw, 58805   size:12.92,Price: ,6.0,ok
1.121562017, Sport: ,Soccer, Time: ,Sat Oct 31 10:00:00 CET 2015, Time: ,Sat Oct 31 10:00:00 CET 2015, Event: ,UTA Arad v Targoviste, Favorite: ,UTA Arad, 2311174   size:2.91,Price: ,1.72,Targoviste, 6803067   size:4.0,Price: ,3.4,The Draw, 58805   size:16.77,Price: ,2.88,ok
1.121560992, Sport: ,Soccer, Time: ,Sat Oct 31 12:00:00 CET 2015, Time: ,Sat Oct 31 12:00:00 CET 2015, Event: ,CD Nacional Funchal U19 v SG Sacavenense U19, Favorite: ,CD Nacional Funchal U19, 6327868   size:4.16,Price: ,1.07,SG Sacavenense U19, 6327805   size:4.16,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121561047, Sport: ,Soccer, Time: ,Sat Oct 31 15:35:00 CET 2015, Time: ,Sat Oct 31 15:35:00 CET 2015, Event: ,Al Salmiyah v Al Sulaibikhat, Favorite: ,Al Sulaibikhat, 9342561   size:138.75,Price: ,1.06,Al Salmiyah, 7188818   size:16.75,Price: ,1.11,The Draw, 58805   size:5.6,Price: ,2.88,x
