1.121394083, Sport: ,Soccer, Time: ,Fri Oct 23 17:50:00 CEST 2015, Time: ,Fri Oct 23 17:50:00 CEST 2015, Event: ,Norway (W) v Wales (W), Favorite: ,Norway (W), 541829   size:8.34,Price: ,1.16,Wales (W), 3071928   size:3.18,Price: ,12.0,The Draw, 58805   size:3.61,Price: ,6.6
1.121255107, Sport: ,Soccer, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Sanliurfaspor v Balikesirspor, Favorite: ,Sanliurfaspor, 2610482   size:5.0,Price: ,2.26,Balikesirspor, 4985298   size:31.68,Price: ,3.55,The Draw, 58805   size:9.01,Price: ,3.35
1.121254411, Sport: ,Soccer, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Rizespor v Akhisar Belediye, Favorite: ,Rizespor, 113643   size:37.31,Price: ,2.04,Akhisar Belediye, 4917452   size:161.89,Price: ,4.2,The Draw, 58805   size:494.67,Price: ,3.45
1.121265919, Sport: ,Soccer, Time: ,Fri Oct 23 18:30:00 CEST 2015, Time: ,Fri Oct 23 18:30:00 CEST 2015, Event: ,KSV Superfund v FAC Team fur Wien, Favorite: ,KSV Superfund, 4840627   size:5.0,Price: ,1.71,FAC Team fur Wien, 3258138   size:5.0,Price: ,5.2,The Draw, 58805   size:71.3,Price: ,4.1
1.121384823, Sport: ,Ice Hockey, Time: ,Fri Oct 23 18:30:00 CEST 2015, Time: ,Fri Oct 23 18:30:00 CEST 2015, Event: ,Vityaz v Sochi, Favorite: ,Sochi, 8796844   size:36.49,Price: ,2.5,Vityaz, 2551763   size:57.05,Price: ,2.8,Tie, 60104   size:52.0,Price: ,3.95
1.121266067, Sport: ,Soccer, Time: ,Fri Oct 23 18:30:00 CEST 2015, Time: ,Fri Oct 23 18:30:00 CEST 2015, Event: ,FC Wiener Neustadt v FC Liefering, Favorite: ,FC Liefering, 7321769   size:5.21,Price: ,1.93,FC Wiener Neustadt, 3164919   size:3.05,Price: ,4.0,The Draw, 58805   size:89.2,Price: ,4.1
1.121384944, Sport: ,Ice Hockey, Time: ,Fri Oct 23 18:30:00 CEST 2015, Time: ,Fri Oct 23 18:30:00 CEST 2015, Event: ,Dynamo Moscow v Lokomotiv, Favorite: ,Dynamo Moscow, 1252378   size:92.0,Price: ,2.3,Lokomotiv, 2240051   size:58.0,Price: ,2.88,Tie, 60104   size:67.59,Price: ,3.9
1.121254224, Sport: ,Soccer, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,Eskisehirspor v Kayserispor, Favorite: ,Kayserispor, 508789   size:97.67,Price: ,2.82,Eskisehirspor, 2080746   size:5.0,Price: ,2.84,The Draw, 58805   size:184.79,Price: ,3.25
1.121390476, Sport: ,Soccer, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,MO Bejaia v ASM Oran, Favorite: ,MO Bejaia, 8300127   size:2.99,Price: ,1.49,ASM Oran, 8954905   size:6.59,Price: ,5.9,The Draw, 58805   size:15.47,Price: ,3.15
1.121384949, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,Slovan Bratislava v Avangard, Favorite: ,Avangard, 2558172   size:43.36,Price: ,2.42,Slovan Bratislava, 1357713   size:13.0,Price: ,2.84,Tie, 60104   size:54.5,Price: ,4.1
1.121268352, Sport: ,Soccer, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,Start v Mjondalen, Favorite: ,Start, 774893   size:139.53,Price: ,2.04,Mjondalen, 3782270   size:23.01,Price: ,3.75,The Draw, 58805   size:101.07,Price: ,3.85
1.121390531, Sport: ,Soccer, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,CS Constantine v USM Blida, Favorite: ,CS Constantine, 7598561   size:2.72,Price: ,1.65,USM Blida, 8166551   size:7.43,Price: ,4.4,The Draw, 58805   size:16.06,Price: ,3.0
1.121384954, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,Medvescak Zagreb v Barys, Favorite: ,Medvescak Zagreb, 4182882   size:93.99,Price: ,2.28,Barys, 3328562   size:7.71,Price: ,2.84,Tie, 60104   size:98.72,Price: ,4.1
1.121369731, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,Kolner Haie v ERC Ingolstadt, Favorite: ,Kolner Haie, 233911   size:22.0,Price: ,1.93,ERC Ingolstadt, 233927   size:69.93,Price: ,3.25,Tie, 60104   size:52.34,Price: ,4.6
1.121283068, Sport: ,Volleyball, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,United Volleys Rhein-Ma v VfB Friedrichshafen, Favorite: ,VfB Friedrichshafen, 2281578   size:308.21,Price: ,1.07,RheinMain, 10424330   size:20.39,Price: ,7.8
1.121270750, Sport: ,Handball, Time: ,Fri Oct 23 20:00:00 CEST 2015, Time: ,Fri Oct 23 20:00:00 CEST 2015, Event: ,Skive fH v Mors Thy, Favorite: ,Mors Thy, 5207545   size:4.12,Price: ,1.53,Skive fH, 5798546   size:2.03,Price: ,3.1,Draw, 330157   size:50.27,Price: ,8.0
1.121268278, Sport: ,Soccer, Time: ,Fri Oct 23 20:15:00 CEST 2015, Time: ,Fri Oct 23 20:15:00 CEST 2015, Event: ,Slavia Prague v Sigma Olomouc, Favorite: ,Slavia Prague, 10777   size:18.57,Price: ,1.97,Sigma Olomouc, 50337   size:10.81,Price: ,4.2,The Draw, 58805   size:2.75,Price: ,3.7
1.121270752, Sport: ,Handball, Time: ,Fri Oct 23 20:30:00 CEST 2015, Time: ,Fri Oct 23 20:30:00 CEST 2015, Event: ,Team Tvis Holstebro v Aalborg, Favorite: ,Team Tvis Holstebro, 359681   size:3.61,Price: ,1.74,Aalborg, 1065783   size:2.4,Price: ,2.62,Draw, 330157   size:50.27,Price: ,8.0
1.121255127, Sport: ,Soccer, Time: ,Fri Oct 23 20:30:00 CEST 2015, Time: ,Fri Oct 23 20:30:00 CEST 2015, Event: ,Rhyl v Airbus UK, Favorite: ,Airbus UK, 3667303   size:2.84,Price: ,1.76,Rhyl, 339726   size:4.99,Price: ,4.6,The Draw, 58805   size:6.14,Price: ,3.85
1.121266201, Sport: ,Soccer, Time: ,Fri Oct 23 20:30:00 CEST 2015, Time: ,Fri Oct 23 20:30:00 CEST 2015, Event: ,Austria Lustenau v FC Wacker Innsbruck, Favorite: ,Austria Lustenau, 453564   size:3.53,Price: ,2.48,FC Wacker Innsbruck, 2469752   size:5.87,Price: ,3.05,The Draw, 58805   size:2.7,Price: ,3.5
1.121255129, Sport: ,Soccer, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Aberystwyth v The New Saints, Favorite: ,The New Saints, 3667304   size:8.07,Price: ,1.62,Aberystwyth, 339725   size:5.0,Price: ,4.4,The Draw, 58805   size:2.42,Price: ,3.9
