1.121322326, Sport: ,Soccer, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Ath Bilbao II (W) v CDEF Logrono (W), Favorite: ,Ath Bilbao II (W), 8278781   size:10.57,Price: ,1.22,CDEF Logrono (W), 10428910   size:10.57,Price: ,1.22,The Draw, 58805   size:10.57,Price: ,3.1
1.121224910, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Betis B v Recreativo Huelva, Favorite: ,Recreativo Huelva, 7449173   size:2.72,Price: ,2.72,Betis B, 2522844   size:2.7,Price: ,3.05,The Draw, 58805   size:20.85,Price: ,3.1
1.121325592, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Internacional de Madrid v Club Atletico de Pinto, Favorite: ,Club Atletico de Pinto, 7636389   size:134.67,Price: ,1.06,Internacional de Madrid, 9376529   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121318087, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Rakow Czestochowa v Energetyk ROW, Favorite: ,Rakow Czestochowa, 5876552   size:12.66,Price: ,1.88,Energetyk ROW, 7444778   size:2.48,Price: ,3.8,The Draw, 58805   size:2.91,Price: ,3.2
1.121224918, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Melilla v Cadiz, Favorite: ,Cadiz, 516259   size:4.63,Price: ,2.6,Melilla, 2250364   size:47.89,Price: ,3.25,The Draw, 58805   size:24.33,Price: ,3.0
1.121224827, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Fuenlabrada v La Roda, Favorite: ,Fuenlabrada, 2250336   size:3.63,Price: ,1.6,La Roda, 4923750   size:4.99,Price: ,6.6,The Draw, 58805   size:15.24,Price: ,4.1
1.121324864, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CF Gava v CE Jupiter, Favorite: ,CE Jupiter, 6797331   size:134.67,Price: ,1.06,CF Gava, 6581259   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121224825, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CD Mensajero v Amorebieta, Favorite: ,Amorebieta, 5756673   size:2.55,Price: ,2.62,CD Mensajero, 8532028   size:3.48,Price: ,2.82,The Draw, 58805   size:4.11,Price: ,3.15
1.121224900, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Hercules v Atletico Baleares, Favorite: ,Hercules, 248015   size:3.08,Price: ,2.0,Atletico Baleares, 3303611   size:30.21,Price: ,4.3,The Draw, 58805   size:36.67,Price: ,3.3
1.121326383, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CF Pozuelo de Alarcon v CD Puerta Bonita, Favorite: ,CF Pozuelo de Alarcon, 9301050   size:134.67,Price: ,1.06,CD Puerta Bonita, 9339205   size:134.67,Price: ,1.06,The Draw, 58805   size:4.99,Price: ,3.1
1.121322812, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Sp Plaza del Argel (W) v UD Aldaia CF (W), Favorite: ,Sp Plaza del Argel (W), 9492958   size:134.67,Price: ,1.06,UD Aldaia CF (W), 10428939   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121163641, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Holstein Kiel U19 v Viktoria Berlin U19, Favorite: ,Holstein Kiel U19, 6685911   size:4.99,Price: ,1.43,Viktoria Berlin U19, 10186673   size:4.99,Price: ,1.56,The Draw, 58805   size:4.99,Price: ,3.1
1.121322382, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Valencia CF II (W) v CFF Albacete (W), Favorite: ,Valencia CF II (W), 10428924   size:134.67,Price: ,1.06,CFF Albacete (W), 10403077   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121324754, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CD Vitoria v CD Betono Elgorriaga, Favorite: ,CD Betono Elgorriaga, 10238362   size:134.67,Price: ,1.06,CD Vitoria, 6044983   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121224815, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Sporting Gijon B v Arandina CF, Favorite: ,Sporting Gijon B, 7602485   size:2.56,Price: ,1.95,Arandina CF, 9320411   size:66.65,Price: ,4.4,The Draw, 58805   size:41.39,Price: ,3.3
1.121224859, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Getafe B v CD Ebro, Favorite: ,Getafe B, 4943234   size:28.97,Price: ,2.16,CD Ebro, 8041211   size:2.55,Price: ,3.6,The Draw, 58805   size:6.92,Price: ,3.45
1.121325317, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Deportivo La Coruna II v Bergantinos CF, Favorite: ,Bergantinos CF, 6884141   size:134.67,Price: ,1.06,Deportivo La Coruna II, 9301052   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121224813, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Cacereno v Tudelano, Favorite: ,Cacereno, 4144561   size:10.74,Price: ,2.08,Tudelano, 4923754   size:2.72,Price: ,3.95,The Draw, 58805   size:3.94,Price: ,3.35
1.121324593, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CD Guadalcacin v Lebrijana, Favorite: ,CD Guadalcacin, 8826856   size:4.99,Price: ,1.34,Lebrijana, 9315717   size:4.99,Price: ,2.04,The Draw, 58805   size:4.99,Price: ,3.1
1.121224855, Sport: ,Soccer, Time: ,Sun Oct 18 12:15:00 CEST 2015, Time: ,Sun Oct 18 12:15:00 CEST 2015, Event: ,CD Guadalajara v Talavera CF, Favorite: ,CD Guadalajara, 2522816   size:2.82,Price: ,1.77,Talavera CF, 7309192   size:36.51,Price: ,4.8,The Draw, 58805   size:6.63,Price: ,3.55
1.121325537, Sport: ,Soccer, Time: ,Sun Oct 18 12:15:00 CEST 2015, Time: ,Sun Oct 18 12:15:00 CEST 2015, Event: ,FC Vilafranca v EC Granollers, Favorite: ,EC Granollers, 10243276   size:134.67,Price: ,1.06,FC Vilafranca, 9339209   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121224861, Sport: ,Soccer, Time: ,Sun Oct 18 12:15:00 CEST 2015, Time: ,Sun Oct 18 12:15:00 CEST 2015, Event: ,Socuellamos v CF Rayo Majadahonda, Favorite: ,Socuellamos, 8792387   size:86.11,Price: ,1.68,CF Rayo Majadahonda, 6929273   size:16.54,Price: ,5.5,The Draw, 58805   size:2.55,Price: ,3.9
1.121339743, Sport: ,Tennis, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,Lukas v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:10.23,Price: ,1.37,Tena Lukas, 7795591   size:12.54,Price: ,3.45
1.121271338, Sport: ,Basketball, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Jeonju KCC Egis v Anyang KGC Pro, Favorite: ,Anyang KGC Pro, 10276570   size:126.69,Price: ,1.02,Jeonju KCC Egis, 8148243   size:91.76,Price: ,1.25
1.121227751, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Seongnam Ilhwa v FC Seoul, Favorite: ,Seongnam Ilhwa, 1184529   size:53.8,Price: ,1.61,FC Seoul, 2479786   size:16.32,Price: ,8.0,The Draw, 58805   size:245.71,Price: ,3.75
1.121165798, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Kamatamare Sanuki v Kumamoto, Favorite: ,Kumamoto, 5021204   size:21.76,Price: ,1.34,Kamatamare Sanuki, 4233864   size:2.72,Price: ,16.0,The Draw, 58805   size:123.9,Price: ,5.1
1.121330163, Sport: ,Tennis, Time: ,Sun Oct 18 09:07:00 CEST 2015, Time: ,Sun Oct 18 09:07:00 CEST 2015, Event: ,Vasilenko v Krstin, Favorite: ,Pedja Krstin, 8257862   size:26.43,Price: ,1.34,Alexander Vasilenko, 7658528   size:46.11,Price: ,2.92
1.121332528, Sport: ,Tennis, Time: ,Sun Oct 18 09:37:00 CEST 2015, Time: ,Sun Oct 18 09:37:00 CEST 2015, Event: ,Soler-Espinosa v Dodin, Favorite: ,Oceane Dodin, 7289631   size:582.83,Price: ,1.42,Sílvia Soler-Espinosa, 8764811   size:40.81,Price: ,3.1
