1.121733701, Sport: ,Basketball, Time: ,Thu Nov 12 20:45:00 CET 2015, Time: ,Thu Nov 12 20:45:00 CET 2015, Event: ,Barcelona v Lokomotiv Kuban, Favorite: ,Barcelona, 266269   size:251.12,Price: ,1.2,Lokomotiv Kuban, 5508059   size:4.0,Price: ,5.4,ok
1.121771429, Sport: ,Tennis, Time: ,Fri Nov 13 04:00:00 CET 2015, Time: ,Fri Nov 13 04:00:00 CET 2015, Event: ,Millman v Y Bai, Favorite: ,John Millman, 4415206   size:6.03,Price: ,1.13,Yan Bai, 3357363   size:9.43,Price: ,6.0,ok
1.121696084, Sport: ,Ice Hockey, Time: ,Fri Nov 13 02:00:00 CET 2015, Time: ,Fri Nov 13 02:00:00 CET 2015, Event: ,Toronto @ Nashville, Favorite: ,Nashville, 2109832   size:91.0,Price: ,1.77,Toronto, 2108073   size:31.65,Price: ,4.4,Tie, 60104   size:327.99,Price: ,4.4,x
1.121770973, Sport: ,Tennis, Time: ,Thu Nov 12 20:10:00 CET 2015, Time: ,Thu Nov 12 20:10:00 CET 2015, Event: ,Youzhny v Roger-Vasselin, Favorite: ,Edouard Roger-Vasselin, 8259187   size:330.0,Price: ,1.45,Mikhail Youzhny, 2263536   size:62.14,Price: ,3.15,ok
1.121759557, Sport: ,Soccer, Time: ,Thu Nov 12 19:30:00 CET 2015, Time: ,Thu Nov 12 19:30:00 CET 2015, Event: ,Charleroi (Y) v Anderlecht (Y), Favorite: ,Charleroi (Y), 7167644   size:9.88,Price: ,2.2,Anderlecht (Y), 7174785   size:74.33,Price: ,4.8,The Draw, 58805   size:33.45,Price: ,2.84,x
1.121696045, Sport: ,Ice Hockey, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,Colorado @ Boston, Favorite: ,Boston, 2112316   size:100.0,Price: ,2.04,Colorado, 2108117   size:18.78,Price: ,3.5,Tie, 60104   size:273.0,Price: ,4.2,x
1.121760616, Sport: ,Soccer, Time: ,Thu Nov 12 20:30:00 CET 2015, Time: ,Thu Nov 12 20:30:00 CET 2015, Event: ,Verona (W) v Rosengard (W), Favorite: ,Rosengard (W), 8452470   size:25.42,Price: ,1.37,Verona (W), 10365422   size:3.53,Price: ,8.6,The Draw, 58805   size:9.88,Price: ,5.6,ok
1.121696129, Sport: ,Ice Hockey, Time: ,Fri Nov 13 02:30:00 CET 2015, Time: ,Fri Nov 13 02:30:00 CET 2015, Event: ,New Jersey @ Chicago, Favorite: ,Chicago, 2109831   size:539.0,Price: ,1.94,New Jersey, 2112200   size:5.0,Price: ,3.7,Tie, 60104   size:100.5,Price: ,4.1,x
1.121761022, Sport: ,Darts, Time: ,Thu Nov 12 22:00:00 CET 2015, Time: ,Thu Nov 12 22:00:00 CET 2015, Event: ,Peter Wright v Adrian Lewis, Favorite: ,Adrian Lewis, 2271003   size:333.87,Price: ,1.93,Peter Wright, 2821235   size:8.31,Price: ,2.02,ok
1.121771380, Sport: ,Tennis, Time: ,Thu Nov 12 21:00:00 CET 2015, Time: ,Thu Nov 12 21:00:00 CET 2015, Event: ,Hach Verdug/Reyes-Varel v Opelka/Paul, Favorite: ,Hach Verdug/Reyes-Varel, 10510902   size:13.84,Price: ,1.61,Opelka/Paul, 10484212   size:10.03,Price: ,2.22,ok
1.121727822, Sport: ,Tennis, Time: ,Thu Nov 12 20:00:00 CET 2015, Time: ,Thu Nov 12 20:00:00 CET 2015, Event: ,Demoliner/Elias v Galdos/Londero, Favorite: ,Demoliner/Elias, 8462580   size:31.16,Price: ,1.43,Galdos/Londero, 10507813   size:37.13,Price: ,3.05,ok
1.121342204, Sport: ,Soccer, Time: ,Thu Nov 12 20:45:00 CET 2015, Time: ,Thu Nov 12 20:45:00 CET 2015, Event: ,Norway v Hungary, Favorite: ,Norway, 30   size:17451.95,Price: ,1.75,Hungary, 15290   size:3075.2,Price: ,6.6,The Draw, 58805   size:10638.08,Price: ,3.55,x
