1.122124957, Sport: ,Ice Hockey, Time: ,Wed Dec 09 03:05:00 CET 2015, Time: ,Wed Dec 09 03:05:00 CET 2015, Event: ,San Jose @ Calgary, Favorite: ,San Jose, 2110001   size:13.32,Price: ,2.52,Calgary, 975675   size:98.0,Price: ,2.66,Tie, 60104   size:501.82,Price: ,3.9,x
1.122195356, Sport: ,Soccer, Time: ,Wed Dec 09 13:00:00 CET 2015, Time: ,Wed Dec 09 13:00:00 CET 2015, Event: ,SK Slavia Praha U19 v Plzen U19, Favorite: ,SK Slavia Praha U19, 6571031   size:3.67,Price: ,1.13,Plzen U19, 7653264   size:17.76,Price: ,3.1,The Draw, 58805   size:22.03,Price: ,3.15,x
1.122198069, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Julia Terziyska v Kyra Shroff, Favorite: ,Julia Terziyska, 9150746   size:2.55,Price: ,1.14,Kyra Shroff, 2548829   size:2.55,Price: ,1.7,ok
1.122198068, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Sherazad Reix v Valeria Bhunu, Favorite: ,Sherazad Reix, 9610851   size:2.55,Price: ,1.13,Valeria Bhunu, 9628326   size:2.55,Price: ,1.72,ok
1.122108472, Sport: ,Soccer, Time: ,Wed Dec 09 15:45:00 CET 2015, Time: ,Wed Dec 09 15:45:00 CET 2015, Event: ,UC Ceares v Condal CF, Favorite: ,UC Ceares, 6283840   size:56.96,Price: ,2.24,Condal CF, 9320403   size:2.55,Price: ,2.88,The Draw, 58805   size:2.55,Price: ,3.25,x
1.122164614, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Shandong, Favorite: ,Shandong, 8926903   size:69.61,Price: ,1.79,Jiangsu Dragons, 8926904   size:51.67,Price: ,2.06,x
1.122124952, Sport: ,Ice Hockey, Time: ,Wed Dec 09 02:35:00 CET 2015, Time: ,Wed Dec 09 02:35:00 CET 2015, Event: ,Carolina @ Dallas, Favorite: ,Dallas, 2108116   size:124.65,Price: ,1.9,Carolina, 2108027   size:272.0,Price: ,3.75,Tie, 60104   size:454.57,Price: ,4.1,ok
1.122183924, Sport: ,Soccer, Time: ,Tue Dec 08 20:30:00 CET 2015, Time: ,Tue Dec 08 20:30:00 CET 2015, Event: ,Holyhead Hotspurs v Bangor City, Favorite: ,Bangor City, 198751   size:2.55,Price: ,1.77,Holyhead Hotspurs, 4272578   size:8.04,Price: ,4.3,The Draw, 58805   size:14.8,Price: ,3.75,x
1.122164612, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Beijing BG / Beikong Fl v Shanxi, Favorite: ,Shanxi, 8926913   size:189.39,Price: ,1.05,Beijing BG / Beikong Fl, 10513291   size:5.96,Price: ,1.66,x
1.122109567, Sport: ,Soccer, Time: ,Wed Dec 09 17:00:00 CET 2015, Time: ,Wed Dec 09 17:00:00 CET 2015, Event: ,Famalicao v Freamunde, Favorite: ,Famalicao, 5875376   size:19.55,Price: ,2.38,Freamunde, 616891   size:25.65,Price: ,3.5,The Draw, 58805   size:3.84,Price: ,3.2,x
1.122095079, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Southend v Millwall, Favorite: ,Millwall, 56036   size:2.75,Price: ,1.52,Southend, 69719   size:130.28,Price: ,8.2,The Draw, 58805   size:45.61,Price: ,4.2,ok
1.122183493, Sport: ,Basketball, Time: ,Wed Dec 09 19:30:00 CET 2015, Time: ,Wed Dec 09 19:30:00 CET 2015, Event: ,Ratiopharm Ulm v Zaragoza, Favorite: ,Ratiopharm Ulm, 2114275   size:2.55,Price: ,1.66,Zaragoza, 3368428   size:36.68,Price: ,2.28,x
1.122203993, Sport: ,Basketball, Time: ,Wed Dec 09 20:00:00 CET 2015, Time: ,Wed Dec 09 20:00:00 CET 2015, Event: ,Landes (W) v PEAC Pecs (W), Favorite: ,Landes (W), 8978732   size:2.75,Price: ,1.03,PEAC Pecs (W), 8978753   size:2.75,Price: ,1.03,ok
