1.121144743, Sport: ,Soccer, Time: ,Wed Oct 14 20:30:00 CEST 2015, Time: ,Wed Oct 14 20:30:00 CEST 2015, Event: ,Cadiz v CD Laredo, Favorite: ,Cadiz, 516259   size:5.13,Price: ,1.37,CD Laredo, 6737451   size:33.9,Price: ,9.8,The Draw, 58805   size:30.23,Price: ,4.4,ok
1.121231738, Sport: ,Tennis, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Polansky v D King, Favorite: ,Darian King, 8413749   size:115.72,Price: ,1.03,Peter Polansky, 2504190   size:3.07,Price: ,1.08,ok
1.121060440, Sport: ,Cricket, Time: ,Thu Oct 15 03:30:00 CEST 2015, Time: ,Thu Oct 15 03:30:00 CEST 2015, Event: ,Uganda U19 v USA U19, Favorite: ,Uganda U19, 10380954   size:111.82,Price: ,1.03,USA U19, 10380955   size:111.82,Price: ,1.03,x
1.121110198, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Tiszaujvaros v Paks, Favorite: ,Tiszaujvaros, 6781401   size:3.51,Price: ,1.07,Paks, 2018015   size:5.0,Price: ,1.11,The Draw, 58805   size:2.54,Price: ,1.39,ok
1.121110473, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Tarr Andrashida v Videoton, Favorite: ,Tarr Andrashida, 10392839   size:3.51,Price: ,1.07,Videoton, 427649   size:10.7,Price: ,1.21,The Draw, 58805   size:5.0,Price: ,1.4,x
1.121110638, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Nagyecsed v Ferencvaros, Favorite: ,Nagyecsed, 5060118   size:3.51,Price: ,1.07,Ferencvaros, 198748   size:3.51,Price: ,1.07,The Draw, 58805   size:2.54,Price: ,1.39,x
1.121229414, Sport: ,Soccer, Time: ,Thu Oct 15 01:00:00 CEST 2015, Time: ,Thu Oct 15 01:00:00 CEST 2015, Event: ,Independente SP v Sao Bernardo, Favorite: ,Independente SP, 7446091   size:3.51,Price: ,1.07,Sao Bernardo, 5231799   size:3.51,Price: ,1.07,The Draw, 58805   size:2.54,Price: ,1.39,ok
1.121225262, Sport: ,Tennis, Time: ,Wed Oct 14 14:30:00 CEST 2015, Time: ,Wed Oct 14 14:30:00 CEST 2015, Event: ,Matsui/Uchiyama v Hsieh/Yang, Favorite: ,Hsieh/Yang, 8699722   size:4.1,Price: ,1.5,Matsui/Uchiyama, 8815265   size:19.31,Price: ,1.92,x
1.121110916, Sport: ,Soccer, Time: ,Wed Oct 14 15:00:00 CEST 2015, Time: ,Wed Oct 14 15:00:00 CEST 2015, Event: ,Maceratese v Savona, Favorite: ,Maceratese, 9501961   size:2.63,Price: ,1.9,Savona, 5924211   size:5.67,Price: ,4.8,The Draw, 58805   size:3.35,Price: ,3.4,ok
1.121224571, Sport: ,Tennis, Time: ,Wed Oct 14 18:30:00 CEST 2015, Time: ,Wed Oct 14 18:30:00 CEST 2015, Event: ,M Gasparyan v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:28.18,Price: ,1.48,Margarita Gasparyan, 6750186   size:60.0,Price: ,2.9,x
