1.119804218, Sport: ,Soccer, Time: ,Sun Aug 02 11:00:00 CEST 2015, Time: ,Sun Aug 02 11:00:00 CEST 2015, Event: ,FC Viktoria Plzen U21 v Ceske Budejovice U21, Favorite: ,FC Viktoria Plzen U21, 6551124   size:10.82,Price: ,1.39,Ceske Budejovice U21, 6553192   size:2.55,Price: ,5.2,The Draw, 58805   size:3.2,Price: ,5.3,ok
1.119661914, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Metalurg Z v Volyn, Favorite: ,Volyn, 4115366   size:5.0,Price: ,1.57,The Draw, 58805   size:43.51,Price: ,4.3,Metalurg Z, 489141   size:27.15,Price: ,6.2,ok
1.119801988, Sport: ,Soccer, Time: ,Sun Aug 02 11:00:00 CEST 2015, Time: ,Sun Aug 02 11:00:00 CEST 2015, Event: ,Warriors (Res) v Tampines Rovers (Res), Favorite: ,Tampines Rovers (Res), 5481402   size:45.1,Price: ,1.4,Warriors (Res), 7128596   size:15.1,Price: ,2.8,The Draw, 58805   size:15.0,Price: ,3.1,ok
1.119736563, Sport: ,Volleyball, Time: ,Sun Aug 02 12:30:00 CEST 2015, Time: ,Sun Aug 02 12:30:00 CEST 2015, Event: ,Australia v India, Favorite: ,Australia, 2175252   size:3.45,Price: ,1.13,India, 4157193   size:3.19,Price: ,7.0,ok
1.119802157, Sport: ,Soccer, Time: ,Sun Aug 02 11:00:00 CEST 2015, Time: ,Sun Aug 02 11:00:00 CEST 2015, Event: ,Kasem Bundit Univ v Chamchuri United FC, Favorite: ,Chamchuri United FC, 8369007   size:30.13,Price: ,1.6,The Draw, 58805   size:10.0,Price: ,3.0,x
1.119809225, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Lietava Jonava v FBK Kaunas, Favorite: ,FBK Kaunas, 180566   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119726086, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Casertana v Lecco, Favorite: ,Casertana, 5727546   size:2.31,Price: ,1.52,The Draw, 58805   size:3.61,Price: ,4.4,Lecco, 2519553   size:5.38,Price: ,6.2,x
1.119803004, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Shurtan v Neftchi Fargona, Favorite: ,Neftchi Fargona, 4170422   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119812845, Sport: ,Tennis, Time: ,Sun Aug 02 12:45:00 CEST 2015, Time: ,Sun Aug 02 12:45:00 CEST 2015, Event: ,Salaba v Malla, Favorite: ,Bastian Malla, 8258298   size:5.23,Price: ,1.31,Libor Salaba, 8750028   size:3.57,Price: ,3.45,x
1.119667229, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Groningen v PSV, Favorite: ,PSV, 48451   size:43.66,Price: ,1.48,The Draw, 58805   size:17.0,Price: ,5.1,Groningen, 48450   size:91.0,Price: ,7.2,ok
