1.119142877, Sport: ,Basketball, Time: ,Wed Jun 17 03:00:00 CEST 2015, Time: ,Wed Jun 17 03:00:00 CEST 2015, Event: ,Golden State @ Cleveland, Favorite: ,Golden State, 13126   size:344.97,Price: ,1.59,Cleveland, 13112   size:170.78,Price: ,2.66,ok
1.119170406, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,C Liu v Ninomiya, Favorite: ,Chang Liu, 7656823   size:12.3,Price: ,1.5,Makoto Ninomiya, 7750118   size:3.72,Price: ,2.62,ok
1.119173729, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,S Han v M Kwon, Favorite: ,Sung-Hee Han, 9497479   size:14.36,Price: ,1.07,Mi Jeong Kwon, 9571991   size:21.83,Price: ,7.8,x
1.119173728, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,S Kim v S Kang, Favorite: ,Seo-Kyung Kang, 8839151   size:67.6,Price: ,1.06,Sung Hee Kim, 9618533   size:22.33,Price: ,7.6,x
1.119170408, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,Y Lee v Mi Kato, Favorite: ,Miyu Kato, 8839047   size:14.81,Price: ,1.5,Ya-Hsuan Lee, 8839147   size:3.78,Price: ,2.58,x
1.119130381, Sport: ,Baseball, Time: ,Wed Jun 17 02:05:00 CEST 2015, Time: ,Wed Jun 17 02:05:00 CEST 2015, Event: ,LAD @ TEX, Favorite: ,LA Dodgers (B Anderson), 9389898   size:106.62,Price: ,1.77,Texas (C Gonzalez), 9558038   size:471.79,Price: ,2.2,x
1.119173723, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,K Chang v K Takahata, Favorite: ,Kai-Chen Chang, 8887166   size:7.38,Price: ,1.11,Kotomi Takahata, 8887182   size:27.22,Price: ,6.4,ok
1.119130373, Sport: ,Baseball, Time: ,Wed Jun 17 01:10:00 CEST 2015, Time: ,Wed Jun 17 01:10:00 CEST 2015, Event: ,WSH @ TB, Favorite: ,Tampa Bay (A Colome), 7310998   size:264.02,Price: ,1.8,Washington (T Roark), 7637263   size:464.06,Price: ,2.14,x
1.119061954, Sport: ,Cricket, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,Sri Lanka v Pakistan (1st Test), Favorite: ,The Draw, 60443   size:283.33,Price: ,1.77,Sri Lanka, 7337   size:474.18,Price: ,3.75,Pakistan, 7461   size:691.99,Price: ,5.7,x
1.119130397, Sport: ,Baseball, Time: ,Wed Jun 17 02:10:00 CEST 2015, Time: ,Wed Jun 17 02:10:00 CEST 2015, Event: ,KC @ MIL, Favorite: ,Kansas City (C Young), 9448847   size:4.25,Price: ,1.94,Milwaukee (M Garza), 8432623   size:3.58,Price: ,2.04,ok
