1.121237436, Sport: ,Ice Hockey, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Vladivostok v Torpedo, Favorite: ,Torpedo, 2484355   size:71.98,Price: ,2.5,Vladivostok, 7597246   size:64.92,Price: ,2.58,Tie, 60104   size:57.26,Price: ,3.9,ok
1.121346437, Sport: ,Ice Hockey, Time: ,Wed Oct 21 01:35:00 CEST 2015, Time: ,Wed Oct 21 01:35:00 CEST 2015, Event: ,Dallas @ Philadelphia, Favorite: ,Philadelphia, 2109791   size:563.99,Price: ,1.4,Dallas, 2108116   size:6.25,Price: ,2.4,Tie, 60104   size:2.75,Price: ,4.0,x
1.121362224, Sport: ,Tennis, Time: ,Wed Oct 21 06:00:00 CEST 2015, Time: ,Wed Oct 21 06:00:00 CEST 2015, Event: ,Jor Thompson v Y He, Favorite: ,Jordan Thompson, 8145584   size:10.72,Price: ,1.12,Yecong He, 8325209   size:22.08,Price: ,7.4,ok
1.121363555, Sport: ,Tennis, Time: ,Wed Oct 21 09:30:00 CEST 2015, Time: ,Wed Oct 21 09:30:00 CEST 2015, Event: ,Chrysochos/Ismailov v Fruttero/Prashanth, Favorite: ,Chrysochos/Ismailov, 10433984   size:6.16,Price: ,1.04,Fruttero/Prashanth, 10433990   size:6.16,Price: ,1.04,x
1.121232669, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Hungary (W) v Turkey (W), Favorite: ,Hungary (W), 5910503   size:12.55,Price: ,1.35,Turkey (W), 4867495   size:10.0,Price: ,3.95,The Draw, 58805   size:21.86,Price: ,3.25,ok
1.121362502, Sport: ,Basketball, Time: ,Wed Oct 21 05:30:00 CEST 2015, Time: ,Wed Oct 21 05:30:00 CEST 2015, Event: ,Golden State @ LA Clippers, Favorite: ,LA Clippers, 237489   size:2.61,Price: ,1.56,Golden State, 13126   size:79.17,Price: ,2.56,ok
1.121340332, Sport: ,Tennis, Time: ,Wed Oct 21 08:00:00 CEST 2015, Time: ,Wed Oct 21 08:00:00 CEST 2015, Event: ,Matsui/Moriya v Mektic/Skugor, Favorite: ,Mektic/Skugor, 9146543   size:2.55,Price: ,1.45,Matsui/Moriya, 10433869   size:3.14,Price: ,1.96,ok
1.121356504, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Sogdiana Jizak v Nasaf, Favorite: ,Nasaf, 4692582   size:4.02,Price: ,1.07,Sogdiana Jizak, 8294188   size:10.57,Price: ,3.2,The Draw, 58805   size:2.99,Price: ,3.05,ok
1.121351056, Sport: ,Tennis, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,Youzhny v Karatsev, Favorite: ,Mikhail Youzhny, 2263536   size:2.55,Price: ,1.39,Aslan Karatsev, 7659748   size:106.0,Price: ,3.2,x
1.121350481, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,Y Zhang v E Kulichkova, Favorite: ,Elizaveta Kulichkova, 7795296   size:228.63,Price: ,1.11,Yuxuan Zhang, 6949174   size:2.0,Price: ,7.8,x
