1.121121640, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Memmingen v Jahn Regensburg, Favorite: ,Jahn Regensburg, 4855758   size:4.18,Price: ,1.47,Memmingen, 5862311   size:4.55,Price: ,8.0,The Draw, 58805   size:3.92,Price: ,4.7,x
1.121227793, Sport: ,Ice Hockey, Time: ,Fri Oct 16 17:30:00 CEST 2015, Time: ,Fri Oct 16 17:30:00 CEST 2015, Event: ,Leki v Sapko, Favorite: ,Leki, 4196564   size:8.67,Price: ,2.08,Sapko, 4196539   size:74.78,Price: ,2.62,Tie, 60104   size:38.84,Price: ,4.5,x
1.121244394, Sport: ,Ice Hockey, Time: ,Sat Oct 17 01:30:00 CEST 2015, Time: ,Sat Oct 17 01:30:00 CEST 2015, Event: ,Carolina @ Detroit, Favorite: ,Detroit, 975676   size:2.62,Price: ,1.85,Carolina, 2108027   size:2.46,Price: ,2.5,Tie, 60104   size:4.26,Price: ,3.75,x
1.121196344, Sport: ,Rugby Union, Time: ,Fri Oct 16 20:45:00 CEST 2015, Time: ,Fri Oct 16 20:45:00 CEST 2015, Event: ,Worcester v Northampton, Favorite: ,Northampton, 50103   size:4.65,Price: ,1.32,Worcester, 283308   size:4.2,Price: ,3.85,Draw, 246289   size:17.67,Price: ,22.0,x
1.121241880, Sport: ,Soccer, Time: ,Fri Oct 16 11:00:00 CEST 2015, Time: ,Fri Oct 16 11:00:00 CEST 2015, Event: ,MFK OKD Karvina U19 v SFC Opava U19, Favorite: ,MFK OKD Karvina U19, 7453401   size:2.55,Price: ,1.73,SFC Opava U19, 6582678   size:5.46,Price: ,2.14,The Draw, 58805   size:5.43,Price: ,3.95,x
1.121241243, Sport: ,Soccer, Time: ,Fri Oct 16 18:00:00 CEST 2015, Time: ,Fri Oct 16 18:00:00 CEST 2015, Event: ,MC Alger v Kabylie, Favorite: ,MC Alger, 5177434   size:4.53,Price: ,1.74,Kabylie, 9529062   size:4.42,Price: ,4.5,The Draw, 58805   size:2.8,Price: ,3.1,ok
1.121244399, Sport: ,Ice Hockey, Time: ,Sat Oct 17 02:00:00 CEST 2015, Time: ,Sat Oct 17 02:00:00 CEST 2015, Event: ,Calgary @ Winnipeg, Favorite: ,Winnipeg, 5866888   size:2.62,Price: ,2.04,Calgary, 975675   size:2.62,Price: ,2.32,Tie, 60104   size:4.26,Price: ,3.75,ok
1.121241365, Sport: ,Soccer, Time: ,Fri Oct 16 15:00:00 CEST 2015, Time: ,Fri Oct 16 15:00:00 CEST 2015, Event: ,MC Alger U21 v Js Kabylie U21, Favorite: ,JS Kabylie U21, 8316608   size:18.0,Price: ,1.08,MC Alger U21, 8126449   size:18.0,Price: ,1.1,The Draw, 58805   size:18.0,Price: ,1.4,x
1.121243543, Sport: ,Soccer, Time: ,Fri Oct 16 14:00:00 CEST 2015, Time: ,Fri Oct 16 14:00:00 CEST 2015, Event: ,Olmaliq v FK Navbahor Namangan, Favorite: ,Olmaliq, 5649889   size:3.51,Price: ,1.07,FK Navbahor Namangan, 8293646   size:3.51,Price: ,1.07,The Draw, 58805   size:2.58,Price: ,1.39,ok
1.121239051, Sport: ,Tennis, Time: ,Fri Oct 16 09:00:00 CEST 2015, Time: ,Fri Oct 16 09:00:00 CEST 2015, Event: ,Liang/Wang v Chan/Lee, Favorite: ,Liang/Wang, 9128675   size:115.54,Price: ,1.33,Chan/Lee, 10407871   size:15.15,Price: ,3.4,x
1.121244714, Sport: ,Tennis, Time: ,Fri Oct 16 14:00:00 CEST 2015, Time: ,Fri Oct 16 14:00:00 CEST 2015, Event: ,Friedsam v M Gasparyan, Favorite: ,Margarita Gasparyan, 6750186   size:1773.79,Price: ,1.84,Anna-Lena Friedsam, 7593369   size:48.0,Price: ,2.14,x
1.121225019, Sport: ,Ice Hockey, Time: ,Fri Oct 16 17:30:00 CEST 2015, Time: ,Fri Oct 16 17:30:00 CEST 2015, Event: ,Zlin v Liberec, Favorite: ,Zlin, 563266   size:186.97,Price: ,1.28,Liberec, 563262   size:186.97,Price: ,1.28,Tie, 60104   size:20.6,Price: ,4.3,x
1.121224601, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:00:00 CEST 2015, Time: ,Fri Oct 16 19:00:00 CEST 2015, Event: ,Aalborg v Herning, Favorite: ,Herning, 70631   size:3.4,Price: ,1.81,Aalborg, 70634   size:59.69,Price: ,3.35,Tie, 60104   size:36.09,Price: ,4.9,ok
1.121229221, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,EHC Munchen v ERC Ingolstadt, Favorite: ,EHC Munchen, 4923560   size:3.21,Price: ,1.91,ERC Ingolstadt, 233927   size:56.86,Price: ,3.25,Tie, 60104   size:21.0,Price: ,4.9,ok
1.121121173, Sport: ,Soccer, Time: ,Fri Oct 16 20:00:00 CEST 2015, Time: ,Fri Oct 16 20:00:00 CEST 2015, Event: ,CA Bastia v Chateauroux, Favorite: ,CA Bastia, 6601801   size:13.56,Price: ,2.5,Chateauroux, 70469   size:11.29,Price: ,3.35,The Draw, 58805   size:2.55,Price: ,3.05,x
1.121121179, Sport: ,Soccer, Time: ,Fri Oct 16 20:00:00 CEST 2015, Time: ,Fri Oct 16 20:00:00 CEST 2015, Event: ,Strasbourg v Boulogne, Favorite: ,Strasbourg, 51404   size:4.99,Price: ,1,ok
1.121276179, Sport: ,Soccer, Time: ,Fri Oct 16 18:00:00 CEST 2015, Time: ,Fri Oct 16 18:00:00 CEST 2015, Event: ,FC Vitebsk v BATE Borisov, Favorite: ,BATE Borisov, 46949   size:2.46,Price: ,1.1,FC Vitebsk, 5643690   size:2.65,Price: ,7.8,The Draw, 58805   size:4.77,Price: ,4.1,ok
1.121229224, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Schwenninger v Dusseldorfer, Favorite: ,Dusseldorfer, 6671675   size:22.76,Price: ,2.22,Schwenninger, 348569   size:69.0,Price: ,2.7,Tie, 60104   size:70.33,Price: ,4.5,x
1.121121695, Sport: ,Soccer, Time: ,Fri Oct 16 19:00:00 CEST 2015, Time: ,Fri Oct 16 19:00:00 CEST 2015, Event: ,Saarbrucken v Kaiserslautern II, Favorite: ,Saarbrucken, 110687   size:2.7,Price: ,1.84,Kaiserslautern II, 5391154   size:9.96,Price: ,4.8,The Draw, 58805   size:3.99,Price: ,3.7,x
1.121122149, Sport: ,Soccer, Time: ,Fri Oct 16 18:30:00 CEST 2015, Time: ,Fri Oct 16 18:30:00 CEST 2015, Event: ,FC Wacker Innsbruck v St Polten, Favorite: ,FC Wacker Innsbruck, 2469752   size:76.39,Price: ,2.28,St Polten, 1088499   size:11.96,Price: ,3.35,The Draw, 58805   size:15.86,Price: ,3.45,x
1.121241310, Sport: ,Soccer, Time: ,Fri Oct 16 17:00:00 CEST 2015, Time: ,Fri Oct 16 17:00:00 CEST 2015, Event: ,AS Khroub v CABB Arreridj, Favorite: ,AS Khroub, 7650242   size:3.51,Price: ,1.07,CABB Arreridj, 7598562   size:3.51,Price: ,1.07,The Draw, 58805   size:2.58,Price: ,1.39,ok
1.121241475, Sport: ,Soccer, Time: ,Fri Oct 16 19:00:00 CEST 2015, Time: ,Fri Oct 16 19:00:00 CEST 2015, Event: ,First Vienna v Rapid Vienna (Am), Favorite: ,First Vienna, 4032977   size:3.6,Price: ,1.39,Rapid Vienna (Am), 4902225   size:5.81,Price: ,6.0,The Draw, 58805   size:13.75,Price: ,3.7,x
1.121238571, Sport: ,Tennis, Time: ,Fri Oct 16 17:00:00 CEST 2015, Time: ,Fri Oct 16 17:00:00 CEST 2015, Event: ,Irigoyen/Kania v Flipkens/Strycova, Favorite: ,Flipkens/Strycova, 10408361   size:4.1,Price: ,1.5,Irigoyen/Kania, 10080585   size:2.58,Price: ,2.38,x
1.121244384, Sport: ,Ice Hockey, Time: ,Sat Oct 17 01:00:00 CEST 2015, Time: ,Sat Oct 17 01:00:00 CEST 2015, Event: ,San Jose @ New Jersey, Favorite: ,San Jose, 2110001   size:3.04,Price: ,2.02,New Jersey, 2112200   size:2.06,Price: ,2.98,Tie, 60104   size:89.54,Price: ,3.6,x
1.121241712, Sport: ,Soccer, Time: ,Fri Oct 16 14:30:00 CEST 2015, Time: ,Fri Oct 16 14:30:00 CEST 2015, Event: ,FK Trakai II v FK Minija Kretinga, Favorite: ,FK Trakai II, 7336842   size:3.51,Price: ,1.07,FK Minija Kretinga, 9445042   size:3.51,Price: ,1.07,The Draw, 58805   size:2.58,Price: ,1.39,ok
1.121225024, Sport: ,Ice Hockey, Time: ,Fri Oct 16 18:00:00 CEST 2015, Time: ,Fri Oct 16 18:00:00 CEST 2015, Event: ,Karlovy Vary v Litvinov, Favorite: ,Karlovy Vary, 1366079   size:18.0,Price: ,1.1,Litvinov, 563270   size:45.53,Price: ,2.38,Tie, 60104   size:18.0,Price: ,1.16,x
1.121241835, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Lija Athletic FC v Mqabba, Favorite: ,Lija Athletic FC, 7279365   size:6.0,Price: ,1.42,Mqabba, 7177094   size:6.0,Price: ,1.99,The Draw, 58805   size:12.0,Price: ,2.34,ok
1.121126661, Sport: ,Handball, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Ribe Esbjerg v Nordsjaelland, Favorite: ,Ribe Esbjerg, 6602892   size:4.02,Price: ,1.53,Nordsjaelland, 4155752   size:4.65,Price: ,3.05,Draw, 330157   size:50.28,Price: ,8.0,x
1.121280700, Sport: ,Tennis, Time: ,Fri Oct 16 17:30:00 CEST 2015, Time: ,Fri Oct 16 17:30:00 CEST 2015, Event: ,Pavlyuchenkova v Krunic, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:5.13,Price: ,1.36,Aleksandra Krunic, 5300820   size:23.56,Price: ,3.35,ok
1.121121171, Sport: ,Soccer, Time: ,Fri Oct 16 20:00:00 CEST 2015, Time: ,Fri Oct 16 20:00:00 CEST 2015, Event: ,Beziers v Frejus St-Raphael, Favorite: ,Beziers, 8076581   size:2.55,Price: ,1.84,Frejus St-Raphael, 6063342   size:3.95,Price: ,4.7,The Draw, 58805   size:4.47,Price: ,3.1,ok
1.121241951, Sport: ,Soccer, Time: ,Fri Oct 16 12:00:00 CEST 2015, Time: ,Fri Oct 16 12:00:00 CEST 2015, Event: ,FC Hradec Kralove U19 v 1. FK Pribram U19, Favorite: ,1. FK Pribram U19, 7451164   size:6.89,Price: ,1.43,FC Hradec Kralove U19, 6854008   size:2.55,Price: ,2.68,The Draw, 58805   size:2.55,Price: ,4.4,x
1.121241632, Sport: ,Soccer, Time: ,Sat Oct 17 00:00:00 CEST 2015, Time: ,Sat Oct 17 00:00:00 CEST 2015, Event: ,Sao Caetano v Botafogo SP, Favorite: ,Sao Caetano, 198130   size:3.51,Price: ,1.07,Botafogo SP, 4435648   size:3.51,Price: ,1.07,The Draw, 58805   size:2.58,Price: ,1.39,x
1.121225028, Sport: ,Ice Hockey, Time: ,Fri Oct 16 18:00:00 CEST 2015, Time: ,Fri Oct 16 18:00:00 CEST 2015, Event: ,Pardubice v Sparta Prague, Favorite: ,Pardubice, 563269   size:186.97,Price: ,1.26,Sparta Prague, 284689   size:186.97,Price: ,1.26,Tie, 60104   size:18.37,Price: ,4.7,x
1.121122075, Sport: ,Soccer, Time: ,Fri Oct 16 18:30:00 CEST 2015, Time: ,Fri Oct 16 18:30:00 CEST 2015, Event: ,Austria Salzburg v FC Liefering, Favorite: ,FC Liefering, 7321769   size:6.79,Price: ,2.26,Austria Salzburg, 65363   size:45.33,Price: ,3.05,The Draw, 58805   size:21.99,Price: ,3.9,x
1.121121420, Sport: ,Soccer, Time: ,Fri Oct 16 18:00:00 CEST 2015, Time: ,Fri Oct 16 18:00:00 CEST 2015, Event: ,Nomme Kalju II v Levadia Tallinn II, Favorite: ,Levadia Tallinn II, 5412337   size:3.99,Price: ,1.5,Nomme Kalju II, 10396212   size:3.64,Price: ,6.0,The Draw, 58805   size:2.62,Price: ,5.4,x
