1.119355021, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,Salisbury v Bristol Rovers, Favorite: ,Bristol Rovers, 69821   size:10.54,Price: ,1.08,The Draw, 58805   size:13.9,Price: ,3.3,ok
1.119436370, Sport: ,Volleyball, Time: ,Sat Jul 11 08:10:00 CEST 2015, Time: ,Sat Jul 11 08:10:00 CEST 2015, Event: ,China (W) v Italy (W), Favorite: ,China (W), 7676900   size:2.54,Price: ,1.26,Italy (W), 5857946   size:6.32,Price: ,4.0,ok
1.119442132, Sport: ,Soccer, Time: ,Sat Jul 11 17:00:00 CEST 2015, Time: ,Sat Jul 11 17:00:00 CEST 2015, Event: ,FC Dornbirn v Austria Lustenau, Favorite: ,Austria Lustenau, 453564   size:3.34,Price: ,1.3,The Draw, 58805   size:74.07,Price: ,4.8,FC Dornbirn, 3258164   size:56.32,Price: ,6.0,ok
1.119467772, Sport: ,Darts, Time: ,Sat Jul 11 15:30:00 CEST 2015, Time: ,Sat Jul 11 15:30:00 CEST 2015, Event: ,King v Newton, Favorite: ,Mervyn King, 2414379   size:5.1,Price: ,1.69,Wes Newton, 2469727   size:4.48,Price: ,2.24,ok
1.119412700, Sport: ,Soccer, Time: ,Sat Jul 11 21:30:00 CEST 2015, Time: ,Sat Jul 11 21:30:00 CEST 2015, Event: ,El Gounah v Wadi Degla, Favorite: ,El Gounah, 5202561   size:3.13,Price: ,2.66,Wadi degla, 5259318   size:4.27,Price: ,2.82,The Draw, 58805   size:7.54,Price: ,2.88,x
1.119439403, Sport: ,Soccer, Time: ,Sat Jul 11 16:30:00 CEST 2015, Time: ,Sat Jul 11 16:30:00 CEST 2015, Event: ,Annan Ath v Ayr, Favorite: ,Ayr, 48005   size:2.52,Price: ,1.83,Annan Ath, 2214928   size:7.03,Price: ,3.35,The Draw, 58805   size:6.99,Price: ,3.55,ok
1.119354294, Sport: ,Soccer, Time: ,Sat Jul 11 12:00:00 CEST 2015, Time: ,Sat Jul 11 12:00:00 CEST 2015, Event: ,Shimizu v Kobe, Favorite: ,Kobe, 441082   size:70.17,Price: ,2.4,Shimizu, 441086   size:4.98,Price: ,3.15,The Draw, 58805   size:291.92,Price: ,3.65,ok
1.119401016, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,TP-47 v JBK, Favorite: ,TP-47, 396700   size:2.95,Price: ,1.59,The Draw, 58805   size:3.68,Price: ,4.0,JBK, 498150   size:2.07,Price: ,4.8,x
1.119353877, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,Nuneaton v Coventry, Favorite: ,Coventry, 48043   size:10.54,Price: ,1.08,Nuneaton, 228536   size:166.09,Price: ,1.09,The Draw, 58805   size:13.9,Price: ,3.3,x
1.119447016, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,IR/BI/Bolungarvik (W) v Haukar (W), Favorite: ,Haukar (W), 5313367   size:137.66,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119386911, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Gazovik v Kamaz, Favorite: ,Gazovik, 3244508   size:2.54,Price: ,1.48,The Draw, 58805   size:2.7,Price: ,4.3,Kamaz, 2460921   size:16.24,Price: ,6.0,ok
1.119387209, Sport: ,Soccer, Time: ,Sat Jul 11 13:00:00 CEST 2015, Time: ,Sat Jul 11 13:00:00 CEST 2015, Event: ,Tosno v Fakel, Favorite: ,Tosno, 7870887   size:10.14,Price: ,1.53,The Draw, 58805   size:4.71,Price: ,4.2,Fakel, 5441579   size:3.54,Price: ,5.9,ok
1.119443597, Sport: ,Soccer, Time: ,Sat Jul 11 18:00:00 CEST 2015, Time: ,Sat Jul 11 18:00:00 CEST 2015, Event: ,Nancy v Sochaux, Favorite: ,Sochaux, 44796   size:137.66,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119355136, Sport: ,Soccer, Time: ,Sat Jul 11 12:00:00 CEST 2015, Time: ,Sat Jul 11 12:00:00 CEST 2015, Event: ,Jeju Utd v Jeonbuk Motors, Favorite: ,Jeonbuk Motors, 2224159   size:129.13,Price: ,2.34,Jeju Utd, 5342583   size:46.18,Price: ,3.35,The Draw, 58805   size:115.2,Price: ,3.45,ok
1.119354289, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,FCV v Atlantis, Favorite: ,FCV, 498141   size:3.66,Price: ,2.04,Atlantis, 174384   size:3.71,Price: ,2.98,The Draw, 58805   size:4.31,Price: ,3.7,x
1.119353079, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Guiseley v Huddersfield, Favorite: ,Huddersfield, 78984   size:3.12,Price: ,1.69,The Draw, 58805   size:7.13,Price: ,3.65,Guiseley, 256291   size:7.03,Price: ,3.95,ok
1.119374497, Sport: ,Soccer, Time: ,Sun Jul 12 02:30:00 CEST 2015, Time: ,Sun Jul 12 02:30:00 CEST 2015, Event: ,San Antonio Scorpions v Tampa Bay Rowdies, Favorite: ,Tampa Bay Rowdies, 6295051   size:4.39,Price: ,2.52,San Antonio Scorpions, 6334069   size:4.23,Price: ,2.76,The Draw, 58805   size:3.94,Price: ,3.3,x
1.119443106, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,LASK Linz v Paderborn, Favorite: ,Paderborn, 208035   size:137.66,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119445405, Sport: ,Soccer, Time: ,Sat Jul 11 16:30:00 CEST 2015, Time: ,Sat Jul 11 16:30:00 CEST 2015, Event: ,Zaglebie Lubin v Slovan Liberec, Favorite: ,Slovan Liberec, 10503   size:2.61,Price: ,1.8,The Draw, 58805   size:7.01,Price: ,3.55,x
1.119444457, Sport: ,Soccer, Time: ,Sat Jul 11 18:00:00 CEST 2015, Time: ,Sat Jul 11 18:00:00 CEST 2015, Event: ,Rudar v Vorskla, Favorite: ,Vorskla, 2017721   size:18.5,Price: ,2.38,Rudar, 2143882   size:17.7,Price: ,2.48,The Draw, 58805   size:7.18,Price: ,3.15,ok
1.119446619, Sport: ,Soccer, Time: ,Sat Jul 11 17:00:00 CEST 2015, Time: ,Sat Jul 11 17:00:00 CEST 2015, Event: ,Flandria v Comunicaciones B Aires, Favorite: ,Flandria, 9509138   size:2.68,Price: ,2.16,The Draw, 58805   size:72.04,Price: ,2.96,Comunicaciones B Aires, 7852197   size:2.38,Price: ,3.55,x
1.119354951, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,Rolls Royce Leisure v Notts Co, Favorite: ,Notts Co, 486328   size:2.66,Price: ,1.07,Rolls Royce Leisure, 9789033   size:2.66,Price: ,1.09,The Draw, 58805   size:2.66,Price: ,3.45,ok
1.119374385, Sport: ,Soccer, Time: ,Sun Jul 12 02:00:00 CEST 2015, Time: ,Sun Jul 12 02:00:00 CEST 2015, Event: ,Minnesota Utd v Ottawa Fury, Favorite: ,Minnesota Utd, 7533070   size:2.37,Price: ,1.98,The Draw, 58805   size:3.92,Price: ,3.35,Ottawa Fury, 8441973   size:3.77,Price: ,3.75,x
