1.122360436, Sport: ,Basketball, Time: ,Thu Dec 24 02:05:00 CET 2015, Time: ,Thu Dec 24 02:05:00 CET 2015, Event: ,Philadelphia @ Milwaukee, Favorite: ,Philadelphia, 13103   size:3.0,Price: ,1.05,Milwaukee, 13115   size:3.0,Price: ,1.05,x
1.122092986, Sport: ,Darts, Time: ,Wed Dec 23 21:00:00 CET 2015, Time: ,Wed Dec 23 21:00:00 CET 2015, Event: ,Benito van de Pas v Max Hopp, Favorite: ,Benito van de Pas, 6062761   size:6.65,Price: ,1.62,Max Hopp, 6889335   size:5.0,Price: ,2.52,ok
1.122323192, Sport: ,Handball, Time: ,Wed Dec 23 20:15:00 CET 2015, Time: ,Wed Dec 23 20:15:00 CET 2015, Event: ,Balingen Weilstetten v Lemgo, Favorite: ,Balingen Weilstetten, 4551481   size:2.61,Price: ,1.72,Lemgo, 2201967   size:3.91,Price: ,2.72,Draw, 330157   size:2.64,Price: ,2.12,ok
1.122360396, Sport: ,Basketball, Time: ,Thu Dec 24 02:05:00 CET 2015, Time: ,Thu Dec 24 02:05:00 CET 2015, Event: ,San Antonio @ Minnesota, Favorite: ,San Antonio, 13121   size:5.64,Price: ,1.15,Minnesota, 13118   size:2.55,Price: ,2.88,ok
1.122301226, Sport: ,Ice Hockey, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Severstal v Lada, Favorite: ,Severstal, 2560282   size:19.0,Price: ,2.24,Lada, 2484346   size:20.0,Price: ,2.94,Tie, 60104   size:53.0,Price: ,4.1,x
1.122323199, Sport: ,Handball, Time: ,Wed Dec 23 20:15:00 CET 2015, Time: ,Wed Dec 23 20:15:00 CET 2015, Event: ,N Lubbecke v Hamburg, Favorite: ,Hamburg, 2027629   size:4.88,Price: ,1.31,N Lubbecke, 4196313   size:4.07,Price: ,1.41,Draw, 330157   size:2.62,Price: ,1.58,ok
1.122351208, Sport: ,Soccer, Time: ,Wed Dec 23 15:00:00 CET 2015, Time: ,Wed Dec 23 15:00:00 CET 2015, Event: ,Bucaspor v Aydinspor, Favorite: ,Aydinspor, 7622635   size:7.4,Price: ,2.26,Bucaspor, 2160666   size:2.76,Price: ,2.96,The Draw, 58805   size:6.08,Price: ,3.5,x
1.122371795, Sport: ,Tennis, Time: ,Wed Dec 23 06:40:00 CET 2015, Time: ,Wed Dec 23 06:40:00 CET 2015, Event: ,Britt Geukens v Anna Morgina, Favorite: ,Anna Morgina, 9028616   size:9.46,Price: ,1.42,Britt Geukens, 9148802   size:4.27,Price: ,2.84,ok
1.122353868, Sport: ,Cricket, Time: ,Thu Dec 24 04:30:00 CET 2015, Time: ,Thu Dec 24 04:30:00 CET 2015, Event: ,Vidarbha v Gujarat, Favorite: ,Vidarbha, 8023302   size:3.0,Price: ,1.16,Gujarat, 4297070   size:3.0,Price: ,1.16,x
1.122371952, Sport: ,Soccer, Time: ,Thu Dec 24 02:00:00 CET 2015, Time: ,Thu Dec 24 02:00:00 CET 2015, Event: ,LD Alajuelense v Deportivo Saprissa, Favorite: ,LD Alajuelense, 1395935   size:6.42,Price: ,1.9,Deportivo Saprissa, 1328422   size:5.86,Price: ,2.96,The Draw, 58805   size:15.36,Price: ,3.2,x
1.122353865, Sport: ,Cricket, Time: ,Thu Dec 24 04:30:00 CET 2015, Time: ,Thu Dec 24 04:30:00 CET 2015, Event: ,Tamil Nadu v Uttar Pradesh, Favorite: ,Tamil Nadu, 4297071   size:3.0,Price: ,1.16,Uttar Pradesh, 4297086   size:3.0,Price: ,1.16,ok
1.122351202, Sport: ,Soccer, Time: ,Wed Dec 23 12:00:00 CET 2015, Time: ,Wed Dec 23 12:00:00 CET 2015, Event: ,Ahmed SK v Basaksehir, Favorite: ,Basaksehir, 10071088   size:21.76,Price: ,1.43,Ahmed SK, 10292627   size:5.36,Price: ,7.0,The Draw, 58805   size:2.65,Price: ,4.7,x
1.122371434, Sport: ,Tennis, Time: ,Wed Dec 23 10:00:00 CET 2015, Time: ,Wed Dec 23 10:00:00 CET 2015, Event: ,Barkin Yalcinkale v Gokberk Ergeneman, Favorite: ,Barkin Yalcinkale, 8827908   size:2.59,Price: ,1.13,Gokberk Ergeneman, 8826921   size:2.55,Price: ,4.4,ok
1.122371437, Sport: ,Tennis, Time: ,Wed Dec 23 10:00:00 CET 2015, Time: ,Wed Dec 23 10:00:00 CET 2015, Event: ,Vadim Alekseenko v Sarp Agabigun, Favorite: ,Vadim Alekseenko, 8619043   size:2.61,Price: ,1.12,Sarp Agabigun, 9378772   size:2.87,Price: ,1.74,ok
1.122356614, Sport: ,Basketball, Time: ,Wed Dec 23 21:00:00 CET 2015, Time: ,Wed Dec 23 21:00:00 CET 2015, Event: ,Igokea v Metalac, Favorite: ,Igokea, 2624092   size:2.56,Price: ,1.35,Metalac, 7735981   size:5.94,Price: ,1.86,x
1.122355886, Sport: ,Basketball, Time: ,Wed Dec 23 15:30:00 CET 2015, Time: ,Wed Dec 23 15:30:00 CET 2015, Event: ,Kalev Cramo v Khimki, Favorite: ,Khimki, 2154546   size:2.55,Price: ,1.08,Kalev Cramo, 6007950   size:8.63,Price: ,5.7,ok
1.122316035, Sport: ,Volleyball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,AO Orestiadas v Ethnikos Alexandroupoli, Favorite: ,Ao Orestiadas, 10395510   size:2.7,Price: ,1.85,Ethnikos Alexandroupoli, 5894204   size:2.65,Price: ,1.88,x
1.122356610, Sport: ,Basketball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,KK Sutjeska v Union Olimpija, Favorite: ,Union Olimpija, 266278   size:3.69,Price: ,1.44,KK Sutjeska, 9029075   size:22.64,Price: ,2.86,x
1.122371270, Sport: ,Soccer, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Villarreal CF III v Club Atletico Saguntino, Favorite: ,Club Atletico Saguntino, 7906133   size:2.55,Price: ,2.28,Villarreal CF III, 6884131   size:2.23,Price: ,2.86,The Draw, 58805   size:2.02,Price: ,3.15,x
1.122316033, Sport: ,Volleyball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,Iraklis v Foinikas Syroy, Favorite: ,Foinikas Syroy, 4353342   size:2.55,Price: ,1.26,Iraklis, 1107806   size:89.21,Price: ,4.8,ok
