1.122450646, Sport: ,Tennis, Time: ,Sun Jan 03 10:00:00 CET 2016, Time: ,Sun Jan 03 10:00:00 CET 2016, Event: ,Jovanovski v Friedsam, Favorite: ,Anna-Lena Friedsam, 7593369   size:15.61,Price: ,1.81,Bojana Jovanovski, 4148045   size:5.12,Price: ,2.14,ok
1.122444363, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Goias EC U20 v ABC Futebol Clube U20, Favorite: ,Goias EC U20, 5185908   size:4.91,Price: ,1.23,ABC Futebol Clube U20, 10681123   size:9.88,Price: ,8.4,The Draw, 58805   size:19.63,Price: ,4.7,x
1.122444928, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,SC Atibaia U20 v Brasilia FC U20, Favorite: ,SC Atibaia U20, 10251776   size:2.81,Price: ,1.78,Brasilia FC U20, 10681207   size:29.18,Price: ,3.45,The Draw, 58805   size:30.4,Price: ,3.35,x
1.122431454, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Castilleja CF v Arcos CF, Favorite: ,Castilleja CF, 10185293   size:3.1,Price: ,1.95,Arcos CF, 6540001   size:4.33,Price: ,3.4,The Draw, 58805   size:4.44,Price: ,3.2,x
1.122431456, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Castro FC v CD Bezana, Favorite: ,Castro FC, 6343346   size:2.98,Price: ,1.68,CD Bezana, 8383175   size:24.29,Price: ,3.95,The Draw, 58805   size:42.82,Price: ,3.25,x
1.122431450, Sport: ,Soccer, Time: ,Sun Jan 03 18:00:00 CET 2016, Time: ,Sun Jan 03 18:00:00 CET 2016, Event: ,Atletico Mancha Real v Martos CD, Favorite: ,Atletico Mancha Real, 7331891   size:2.55,Price: ,1.54,Martos CD, 7534642   size:17.4,Price: ,5.2,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122431452, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Bergantinos CF v Verin CF, Favorite: ,Bergantinos CF, 6884141   size:3.69,Price: ,1.16,Verin CF, 10402982   size:3.69,Price: ,1.16,The Draw, 58805   size:16.32,Price: ,2.88,x
1.122431458, Sport: ,Soccer, Time: ,Sun Jan 03 16:15:00 CET 2016, Time: ,Sun Jan 03 16:15:00 CET 2016, Event: ,CCD Cerceda v CD Boiro, Favorite: ,CCD Cerceda, 5595026   size:3.69,Price: ,1.16,CD Boiro, 8115139   size:3.69,Price: ,1.16,The Draw, 58805   size:16.32,Price: ,2.88,ok
1.122446817, Sport: ,Soccer, Time: ,Sun Jan 03 14:00:00 CET 2016, Time: ,Sun Jan 03 14:00:00 CET 2016, Event: ,India v Afghanistan, Favorite: ,Afghanistan, 4357678   size:27.55,Price: ,2.24,India, 833287   size:16.59,Price: ,3.6,The Draw, 58805   size:116.26,Price: ,3.4,x
1.122409707, Sport: ,Darts, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Kostas Pantelidis v Darren Peetoom, Favorite: ,Darren Peetoom, 10672169   size:5.0,Price: ,1.93,Kostas Pantelidis, 10672168   size:4.62,Price: ,1.96,x
1.122431442, Sport: ,Soccer, Time: ,Sun Jan 03 18:00:00 CET 2016, Time: ,Sun Jan 03 18:00:00 CET 2016, Event: ,Astur CF v UC Ceares, Favorite: ,UC Ceares, 6283840   size:2.55,Price: ,2.18,Astur CF, 8811922   size:2.55,Price: ,2.9,The Draw, 58805   size:2.15,Price: ,3.0,ok
1.122431444, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Atarfe Industrial CF v UD Maracena, Favorite: ,Atarfe Industrial CF, 8154750   size:2.4,Price: ,2.04,UD Maracena, 7895800   size:4.33,Price: ,3.35,The Draw, 58805   size:4.35,Price: ,3.3,x
1.122407640, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Guijuelo v Sporting Gijon B, Favorite: ,Guijuelo, 2250340   size:105.08,Price: ,1.56,Sporting Gijon B, 7602485   size:29.5,Price: ,8.2,The Draw, 58805   size:41.12,Price: ,3.95,x
1.122431446, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Atletico Lugones SD v CD Tineo, Favorite: ,Atletico Lugones SD, 7747284   size:4.02,Price: ,1.95,CD Tineo, 10505024   size:2.99,Price: ,3.5,The Draw, 58805   size:4.02,Price: ,3.35,x
1.122431448, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Atletico Madrid II v CD San Fernando, Favorite: ,Atletico Madrid II, 10243043   size:2.89,Price: ,1.73,CD San Fernando, 9320398   size:3.66,Price: ,4.4,The Draw, 58805   size:4.07,Price: ,3.25,ok
