1.121517167, Sport: ,Soccer, Time: ,Thu Nov 05 19:30:00 CET 2015, Time: ,Thu Nov 05 19:30:00 CET 2015, Event: ,KV Oostende (Youth) v Genk (Y), Favorite: ,Genk (Y), 7159134   size:56.99,Price: ,2.08,KV Oostende (youth), 8220572   size:55.0,Price: ,2.12,The Draw, 58805   size:3.99,Price: ,2.86,x
1.121648771, Sport: ,Tennis, Time: ,Fri Nov 06 02:30:00 CET 2015, Time: ,Fri Nov 06 02:30:00 CET 2015, Event: ,Dzumhur/Majchrzak v Andreozzi/Florez, Favorite: ,Andreozzi/Florez, 10484003   size:2.55,Price: ,1.7,ok
1.121649343, Sport: ,Ice Hockey, Time: ,Thu Nov 05 19:15:00 CET 2015, Time: ,Thu Nov 05 19:15:00 CET 2015, Event: ,Sweden v Czech Republic, Favorite: ,Sweden, 140139   size:8.4,Price: ,1.01,Czech Republic, 140138   size:200.0,Price: ,1.02,Tie, 60104   size:2757.98,Price: ,1.22,ok
1.121646154, Sport: ,Tennis, Time: ,Fri Nov 06 01:00:00 CET 2015, Time: ,Fri Nov 06 01:00:00 CET 2015, Event: ,Carballes Baen/Vervoort v Ghem/Monteiro, Favorite: ,Carballes Baen/Vervoort, 10483995   size:2.55,Price: ,1.56,Ghem/Monteiro, 10483992   size:2.55,Price: ,2.22,x
1.121493826, Sport: ,American Football, Time: ,Fri Nov 06 02:25:00 CET 2015, Time: ,Fri Nov 06 02:25:00 CET 2015, Event: ,Cleveland @ Cincinnati, Favorite: ,Cincinnati Bengals, 50210   size:46217.72,Price: ,1.16,Cleveland Browns, 50209   size:151.22,Price: ,7.0,ok
1.121648930, Sport: ,Tennis, Time: ,Fri Nov 06 08:00:00 CET 2015, Time: ,Fri Nov 06 08:00:00 CET 2015, Event: ,Ye Lu v Zopp, Favorite: ,Yen-Hsun Lu, 8287128   size:2.55,Price: ,1.22,Jurgen Zopp, 5223695   size:3.89,Price: ,4.5,x
1.121425320, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Rosenborg v Lazio, Favorite: ,Rosenborg, 55224   size:440.96,Price: ,2.78,Lazio, 56966   size:20.76,Price: ,2.8,The Draw, 58805   size:3894.68,Price: ,3.5,x
1.121609482, Sport: ,Soccer, Time: ,Thu Nov 05 21:30:00 CET 2015, Time: ,Thu Nov 05 21:30:00 CET 2015, Event: ,Juan Aurich v UTC Cajamarca, Favorite: ,Juan Aurich, 4462066   size:110.34,Price: ,1.47,UTC Cajamarca, 7028659   size:15.1,Price: ,7.2,The Draw, 58805   size:7.0,Price: ,4.8,x
1.121557598, Sport: ,Volleyball, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,Rebecchi Nordmeccanica  v Bene Scandicci, Favorite: ,Piacenza, 10417667   size:3.94,Price: ,1.27,Bene Scandicci, 10381550   size:43.78,Price: ,4.2,ok
1.121636421, Sport: ,Tennis, Time: ,Thu Nov 05 20:00:00 CET 2015, Time: ,Thu Nov 05 20:00:00 CET 2015, Event: ,Arevalo/Galdos v Peralta/Zeballos, Favorite: ,Peralta/Zeballos, 10409109   size:14.61,Price: ,1.51,Arevalo/Galdos, 10252645   size:8.97,Price: ,2.46,ok
1.121637673, Sport: ,Basketball, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,DIKE Napoli (W) v Valosun Brno (W), Favorite: ,DIKE Napoli (W), 10466214   size:5.98,Price: ,1.11,Valosun Brno (W), 10462207   size:7.93,Price: ,5.3,ok
1.121687815, Sport: ,Snooker, Time: ,Fri Nov 06 08:30:00 CET 2015, Time: ,Fri Nov 06 08:30:00 CET 2015, Event: ,Rory McLeod v Sam Baird, Favorite: ,Rory McLeod, 2328286   size:2.8,Price: ,1.01,Sam Baird, 4271913   size:2.8,Price: ,1.01,x
1.121424908, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Skenderbeu v Sporting Lisbon, Favorite: ,Sporting Lisbon, 2506293   size:679.76,Price: ,1.18,Skenderbeu, 5658051   size:4.17,Price: ,27.0,The Draw, 58805   size:70.04,Price: ,8.4,x
1.121623264, Sport: ,American Football, Time: ,Fri Nov 06 01:30:00 CET 2015, Time: ,Fri Nov 06 01:30:00 CET 2015, Event: ,Arkansas State Red Wolv @ Appalachian State Mount, Favorite: ,Appalachian State Mount, 10486185   size:188.0,Price: ,1.24,Arkansas State Red Wolv, 10486184   size:5.23,Price: ,4.5,x
1.121517332, Sport: ,Soccer, Time: ,Thu Nov 05 20:00:00 CET 2015, Time: ,Thu Nov 05 20:00:00 CET 2015, Event: ,Middlesbrough U19 v Torino U19, Favorite: ,Middlesbrough U19, 10317843   size:351.79,Price: ,2.12,Torino U19, 10123618   size:110.94,Price: ,3.3,The Draw, 58805   size:49.04,Price: ,3.9,ok
1.121653445, Sport: ,Tennis, Time: ,Fri Nov 06 09:00:00 CET 2015, Time: ,Fri Nov 06 09:00:00 CET 2015, Event: ,Argyelan v Tomova, Favorite: ,Csilla Argyelan, 9003511   size:5.88,Price: ,1.05,Viktoriya Tomova, 4597116   size:5.88,Price: ,1.05,x
1.121623267, Sport: ,American Football, Time: ,Fri Nov 06 01:30:00 CET 2015, Time: ,Fri Nov 06 01:30:00 CET 2015, Event: ,Ball State Cardinals @ Western Michigan Bronco, Favorite: ,Western Michigan Bronco, 10486193   size:283.55,Price: ,1.16,Ball State Cardinals, 7775210   size:70.07,Price: ,5.8,ok
1.121467714, Sport: ,Ice Hockey, Time: ,Fri Nov 06 03:05:00 CET 2015, Time: ,Fri Nov 06 03:05:00 CET 2015, Event: ,Colorado @ Arizona, Favorite: ,Arizona, 8867880   size:59.99,Price: ,2.48,Colorado, 2108117   size:3.2,Price: ,2.74,Tie, 60104   size:95.64,Price: ,3.9,ok
1.121653443, Sport: ,Tennis, Time: ,Fri Nov 06 09:00:00 CET 2015, Time: ,Fri Nov 06 09:00:00 CET 2015, Event: ,Cakarevic v Ghitescu, Favorite: ,Sara Cakarevic, 10116457   size:5.88,Price: ,1.05,Andreea Ghitescu, 9286492   size:5.88,Price: ,1.05,ok
1.121648325, Sport: ,Tennis, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,J Donaldson v N Rubin, Favorite: ,Jared Donaldson, 7413423   size:24.59,Price: ,1.39,Noah Rubin, 7593248   size:18.67,Price: ,3.25,x
1.121623065, Sport: ,Basketball, Time: ,Thu Nov 05 20:45:00 CET 2015, Time: ,Thu Nov 05 20:45:00 CET 2015, Event: ,Laboral Kutxa v Anadolu Efes, Favorite: ,Laboral Kutxa, 7735599   size:19.11,Price: ,1.69,Anadolu Efes, 5832279   size:3.53,Price: ,2.4,ok
1.121572475, Sport: ,Basketball, Time: ,Fri Nov 06 04:35:00 CET 2015, Time: ,Fri Nov 06 04:35:00 CET 2015, Event: ,Memphis @ Portland, Favorite: ,Memphis, 119812   size:33.3,Price: ,1.63,Portland, 13129   size:5.97,Price: ,2.44,x
1.121467635, Sport: ,Ice Hockey, Time: ,Fri Nov 06 01:05:00 CET 2015, Time: ,Fri Nov 06 01:05:00 CET 2015, Event: ,Boston @ Washington, Favorite: ,Washington, 2109756   size:276.31,Price: ,2.16,Boston, 2112316   size:5.56,Price: ,3.15,Tie, 60104   size:110.03,Price: ,4.2,ok
1.121664692, Sport: ,Tennis, Time: ,Fri Nov 06 02:00:00 CET 2015, Time: ,Fri Nov 06 02:00:00 CET 2015, Event: ,Kicker v Trungelliti, Favorite: ,Nicolas Kicker, 8326744   size:6.04,Price: ,1.84,Marco Trungelliti, 6498878   size:6.04,Price: ,1.84,x
1.121673855, Sport: ,Tennis, Time: ,Fri Nov 06 09:00:00 CET 2015, Time: ,Fri Nov 06 09:00:00 CET 2015, Event: ,Khomentovskiy v Lazov, Favorite: ,Matvey Khomentovskiy, 9633796   size:7.36,Price: ,1.04,Aleksandar Lazov, 10487484   size:7.36,Price: ,1.04,x
1.121637635, Sport: ,Basketball, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,Famila Schio (W) v CB Avenida (W), Favorite: ,Famila Schio (W), 7137850   size:2.55,Price: ,1.21,CB Avenida (W), 10411228   size:2.55,Price: ,5.1,ok
1.121467630, Sport: ,Ice Hockey, Time: ,Fri Nov 06 01:05:00 CET 2015, Time: ,Fri Nov 06 01:05:00 CET 2015, Event: ,Tampa Bay @ Buffalo, Favorite: ,Tampa Bay, 2109715   size:285.56,Price: ,2.08,Buffalo, 4427593   size:109.79,Price: ,3.45,Tie, 60104   size:110.57,Price: ,4.1,ok
1.121664787, Sport: ,Tennis, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,K Anderson v Nadal, Favorite: ,Rafael Nadal, 2251410   size:9606.86,Price: ,1.34,Kevin Anderson, 2519549   size:282.22,Price: ,3.85,ok
1.121557447, Sport: ,Volleyball, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,Trentino Volley v Noliko Maaseik, Favorite: ,Trentino Volley, 3416132   size:128.15,Price: ,1.17,Noliko Maaseik, 1287710   size:2.55,Price: ,5.4,ok
1.121425423, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Lech Poznan v Fiorentina, Favorite: ,Fiorentina, 676467   size:1006.52,Price: ,1.76,Lech Poznan, 502303   size:1579.46,Price: ,5.7,The Draw, 58805   size:140.22,Price: ,3.85,ok
1.121637786, Sport: ,Basketball, Time: ,Fri Nov 06 01:30:00 CET 2015, Time: ,Fri Nov 06 01:30:00 CET 2015, Event: ,Argentino v Gecr Indalo, Favorite: ,Gecr Indalo, 6719074   size:9.81,Price: ,1.03,Argentino, 6719106   size:2.51,Price: ,1.99,ok
1.121557444, Sport: ,Volleyball, Time: ,Thu Nov 05 20:25:00 CET 2015, Time: ,Thu Nov 05 20:25:00 CET 2015, Event: ,Hypo Tirol Volleyballte v VC Zenit-Kazan, Favorite: ,VC Zenit-Kazan, 10391836   size:945.83,Price: ,1.04,Hypo Tirol Volleyballte, 10381394   size:26.53,Price: ,10.5,ok
1.121637787, Sport: ,Basketball, Time: ,Fri Nov 06 01:00:00 CET 2015, Time: ,Fri Nov 06 01:00:00 CET 2015, Event: ,Sionista v Instituto Atletico Cent, Favorite: ,Sionista, 6719083   size:3.31,Price: ,1.51,Instituto Atletico Cent, 10346458   size:2.55,Price: ,2.58,ok
1.121665159, Sport: ,Tennis, Time: ,Fri Nov 06 00:15:00 CET 2015, Time: ,Fri Nov 06 00:15:00 CET 2015, Event: ,Schwartzman v Andreozzi, Favorite: ,Diego Schwartzman, 8736474   size:5.0,Price: ,1.47,Guido Andreozzi, 6603914   size:19.85,Price: ,2.84,ok
1.121664620, Sport: ,Tennis, Time: ,Thu Nov 05 19:36:00 CET 2015, Time: ,Thu Nov 05 19:36:00 CET 2015, Event: ,Tsonga v Berdych, Favorite: ,Tomas Berdych, 2256470   size:5435.58,Price: ,1.32,Jo-Wilfried Tsonga, 4190307   size:110.4,Price: ,4.0,ok
1.121609259, Sport: ,Soccer, Time: ,Fri Nov 06 00:45:00 CET 2015, Time: ,Fri Nov 06 00:45:00 CET 2015, Event: ,River Plate v Huracan, Favorite: ,River Plate, 194515   size:58.28,Price: ,1.59,Huracan, 194507   size:78.05,Price: ,7.6,The Draw, 58805   size:92.0,Price: ,3.95,x
1.121425629, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Asteras Tripolis v APOEL, Favorite: ,Asteras Tripolis, 1300930   size:18.69,Price: ,2.54,APOEL, 1209582   size:294.27,Price: ,3.2,The Draw, 58805   size:850.17,Price: ,3.3,ok
1.121609334, Sport: ,Soccer, Time: ,Thu Nov 05 23:00:00 CET 2015, Time: ,Thu Nov 05 23:00:00 CET 2015, Event: ,Olimpia v Deportivo Capiata, Favorite: ,Olimpia, 328699   size:5.0,Price: ,1.56,Deportivo Capiata, 7037000   size:60.19,Price: ,6.6,The Draw, 58805   size:53.72,Price: ,4.6,x
1.121647946, Sport: ,Soccer, Time: ,Thu Nov 05 20:00:00 CET 2015, Time: ,Thu Nov 05 20:00:00 CET 2015, Event: ,Sao Jose RS v Uniao Frederiquense, Favorite: ,Sao Jose RS, 5330504   size:70.06,Price: ,1.61,Uniao Frederiquense, 9172915   size:2.55,Price: ,3.4,The Draw, 58805   size:3.98,Price: ,3.45,ok
1.121623033, Sport: ,Basketball, Time: ,Thu Nov 05 20:45:00 CET 2015, Time: ,Thu Nov 05 20:45:00 CET 2015, Event: ,Armani Milano v Cedevita, Favorite: ,Armani Milano, 952727   size:190.8,Price: ,1.2,Cedevita, 4229279   size:2.55,Price: ,5.1,x
1.121572506, Sport: ,Basketball, Time: ,Fri Nov 06 03:05:00 CET 2015, Time: ,Fri Nov 06 03:05:00 CET 2015, Event: ,Utah @ Denver, Favorite: ,Utah, 13119   size:5.05,Price: ,1.74,Denver, 13124   size:25.29,Price: ,2.26,ok
1.121623278, Sport: ,American Football, Time: ,Fri Nov 06 03:00:00 CET 2015, Time: ,Fri Nov 06 03:00:00 CET 2015, Event: ,Mississippi State Bulld @ Missouri Tigers, Favorite: ,Mississippi State Bulld, 10486204   size:2.75,Price: ,1.31,Missouri Tigers, 7772487   size:2.76,Price: ,3.75,ok
1.121623076, Sport: ,Basketball, Time: ,Thu Nov 05 20:45:00 CET 2015, Time: ,Thu Nov 05 20:45:00 CET 2015, Event: ,Olympiacos v Limoges, Favorite: ,Olympiacos, 278582   size:847.29,Price: ,1.1,Limoges, 3817200   size:5.0,Price: ,8.2,ok
1.121664781, Sport: ,Tennis, Time: ,Thu Nov 05 23:00:00 CET 2015, Time: ,Thu Nov 05 23:00:00 CET 2015, Event: ,Brunstrom/Nielsen v Bossel/Krueger, Favorite: ,Brunstrom/Nielsen, 6677971   size:5.98,Price: ,1.15,Bossel/Krueger, 10484186   size:5.98,Price: ,4.0,ok
1.121572465, Sport: ,Basketball, Time: ,Fri Nov 06 02:35:00 CET 2015, Time: ,Fri Nov 06 02:35:00 CET 2015, Event: ,Charlotte @ Dallas, Favorite: ,Dallas, 13122   size:2.72,Price: ,1.55,Charlotte, 13110   size:2.72,Price: ,2.66,x
1.121467669, Sport: ,Ice Hockey, Time: ,Fri Nov 06 03:05:00 CET 2015, Time: ,Fri Nov 06 03:05:00 CET 2015, Event: ,Philadelphia @ Calgary, Favorite: ,Calgary, 975675   size:19.71,Price: ,2.26,Philadelphia, 2109791   size:92.8,Price: ,2.98,Tie, 60104   size:5.0,Price: ,4.1,x
1.121637623, Sport: ,Basketball, Time: ,Thu Nov 05 23:00:00 CET 2015, Time: ,Thu Nov 05 23:00:00 CET 2015, Event: ,Bauru v Macae, Favorite: ,Bauru, 6243647   size:2.55,Price: ,1.07,Macae, 8948843   size:43.78,Price: ,1.96,ok
1.121424496, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Sparta Prague v Schalke, Favorite: ,Sparta Prague, 110475   size:1470.49,Price: ,2.1,Schalke, 50335   size:133.6,Price: ,3.7,The Draw, 58805   size:68.7,Price: ,3.85,x
1.121637788, Sport: ,Basketball, Time: ,Fri Nov 06 01:00:00 CET 2015, Time: ,Fri Nov 06 01:00:00 CET 2015, Event: ,Ferro Carril Oeste v Weber Bahia Estudiantes, Favorite: ,Ferro Carril Oeste, 10312212   size:9.96,Price: ,1.42,Weber Bahia Estudiantes, 6719105   size:20.78,Price: ,3.1,x
1.121634517, Sport: ,Soccer, Time: ,Fri Nov 06 00:00:00 CET 2015, Time: ,Fri Nov 06 00:00:00 CET 2015, Event: ,Arnett Gardens FC v Rivoli United FC, Favorite: ,Arnett Gardens FC, 7666192   size:4.45,Price: ,1.45,Rivoli United FC, 7716748   size:4.62,Price: ,2.12,The Draw, 58805   size:5.92,Price: ,2.94,ok
1.121557441, Sport: ,Volleyball, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,Euphony Asse-Lennik v Tomis Constanta, Favorite: ,Euphony Asse-Lennik, 6068588   size:3.33,Price: ,1.28,Tomis Constanta, 2789373   size:2.55,Price: ,3.85,ok
1.121637625, Sport: ,Basketball, Time: ,Thu Nov 05 23:00:00 CET 2015, Time: ,Thu Nov 05 23:00:00 CET 2015, Event: ,Rio Claro v Paulistano, Favorite: ,Paulistano, 8876562   size:3.2,Price: ,1.56,Rio Claro, 8948847   size:2.23,Price: ,2.24,ok
1.121637626, Sport: ,Basketball, Time: ,Thu Nov 05 19:07:00 CET 2015, Time: ,Thu Nov 05 19:07:00 CET 2015, Event: ,Randers v Svendborg, Favorite: ,Randers, 6719073   size:2.8,Price: ,1.02,Svendborg, 6719075   size:28.02,Price: ,2.0,x
1.121648001, Sport: ,Soccer, Time: ,Thu Nov 05 21:00:00 CET 2015, Time: ,Thu Nov 05 21:00:00 CET 2015, Event: ,Queen of South U20 v Morton U20, Favorite: ,Queen of South U20, 9220053   size:3.03,Price: ,2.12,Morton U20, 9243451   size:3.0,Price: ,2.14,The Draw, 58805   size:5.17,Price: ,3.8,x
1.121623275, Sport: ,American Football, Time: ,Fri Nov 06 01:00:00 CET 2015, Time: ,Fri Nov 06 01:00:00 CET 2015, Event: ,Buffalo Bulls @ Kent State Golden Flash, Favorite: ,Buffalo Bulls, 7772651   size:60.54,Price: ,1.77,Kent State Golden Flash, 10486203   size:4.91,Price: ,2.12,ok
1.121467659, Sport: ,Ice Hockey, Time: ,Fri Nov 06 01:35:00 CET 2015, Time: ,Fri Nov 06 01:35:00 CET 2015, Event: ,Winnipeg @ Ottawa, Favorite: ,Ottawa, 2108072   size:11.39,Price: ,2.4,Winnipeg, 5866888   size:458.0,Price: ,2.7,Tie, 60104   size:287.99,Price: ,4.0,x
1.121664146, Sport: ,Tennis, Time: ,Thu Nov 05 19:40:00 CET 2015, Time: ,Thu Nov 05 19:40:00 CET 2015, Event: ,T Paul v Nielsen, Favorite: ,Tommy Paul, 8859306   size:100.0,Price: ,1.22,Frederik Nielsen, 2444574   size:75.74,Price: ,3.15,ok
1.121646226, Sport: ,Basketball, Time: ,Thu Nov 05 22:00:00 CET 2015, Time: ,Thu Nov 05 22:00:00 CET 2015, Event: ,FC Porto Ferpinta v Leiden, Favorite: ,FC Porto Ferpinta, 10381271   size:2.55,Price: ,1.64,Leiden, 5957092   size:4.67,Price: ,2.36,ok
1.121572485, Sport: ,Basketball, Time: ,Fri Nov 06 02:05:00 CET 2015, Time: ,Fri Nov 06 02:05:00 CET 2015, Event: ,Miami @ Minnesota, Favorite: ,Miami, 13109   size:70.09,Price: ,1.61,Minnesota, 13118   size:108.0,Price: ,2.5,ok
1.121664719, Sport: ,Tennis, Time: ,Thu Nov 05 20:00:00 CET 2015, Time: ,Thu Nov 05 20:00:00 CET 2015, Event: ,Stewart v Ahn, Favorite: ,Kristie Ahn, 7445679   size:170.87,Price: ,1.82,Katerina Stewart, 7584251   size:2.89,Price: ,1.99,ok
