1.121796268, Sport: ,Soccer, Time: ,Sat Nov 21 15:00:00 CET 2015, Time: ,Sat Nov 21 15:00:00 CET 2015, Event: ,Trapani v Modena, Favorite: ,Trapani, 4893594   size:42.79,Price: ,2.52,Modena, 60293   size:31.36,Price: ,3.25,The Draw, 58805   size:345.63,Price: ,3.15,ok
1.121739352, Sport: ,Soccer, Time: ,Sat Nov 21 15:30:00 CET 2015, Time: ,Sat Nov 21 15:30:00 CET 2015, Event: ,Wolfsburg v Werder Bremen, Favorite: ,Wolfsburg, 44521   size:195.96,Price: ,1.68,Werder Bremen, 6555433   size:93.93,Price: ,5.7,The Draw, 58805   size:223.9,Price: ,4.2,ok
1.121784043, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Coventry v Gillingham, Favorite: ,Coventry, 48043   size:89.91,Price: ,2.18,Gillingham, 56298   size:8.36,Price: ,3.6,The Draw, 58805   size:48.74,Price: ,3.7,ok
1.121783074, Sport: ,Soccer, Time: ,Sat Nov 21 14:00:00 CET 2015, Time: ,Sat Nov 21 14:00:00 CET 2015, Event: ,Schweinfurt v Ingolstadt II, Favorite: ,Ingolstadt II, 5763642   size:8.13,Price: ,2.28,Schweinfurt, 111723   size:2.83,Price: ,3.35,The Draw, 58805   size:125.6,Price: ,3.4,x
1.121785496, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Barnet v Morecambe, Favorite: ,Barnet, 1165   size:516.55,Price: ,2.12,Morecambe, 51311   size:37.37,Price: ,3.65,The Draw, 58805   size:2.22,Price: ,3.7,x
1.121910149, Sport: ,Handball, Time: ,Sat Nov 21 14:00:00 CET 2015, Time: ,Sat Nov 21 14:00:00 CET 2015, Event: ,Thuringer v Podravka Vegeta, Favorite: ,Thuringer, 5851478   size:2.85,Price: ,1.03,Podravka Vegeta, 3379967   size:2.85,Price: ,1.03,Draw, 330157   size:2.85,Price: ,1.03,ok
1.121912113, Sport: ,Soccer, Time: ,Sat Nov 21 10:00:00 CET 2015, Time: ,Sat Nov 21 10:00:00 CET 2015, Event: ,CS FC Caransebes v FC Brasov, Favorite: ,FC Brasov, 3204853   size:3.61,Price: ,1.63,CS FC Caransebes, 8808428   size:7.1,Price: ,5.2,The Draw, 58805   size:2.55,Price: ,3.95,ok
1.121913324, Sport: ,Soccer, Time: ,Sat Nov 21 10:00:00 CET 2015, Time: ,Sat Nov 21 10:00:00 CET 2015, Event: ,Unirea Tarlungeni v Gaz Metan Medias, Favorite: ,Gaz Metan Medias, 3204854   size:4.38,Price: ,1.7,Unirea Tarlungeni, 7653661   size:2.06,Price: ,4.1,The Draw, 58805   size:4.06,Price: ,3.7,x
1.121910174, Sport: ,Handball, Time: ,Sat Nov 21 19:00:00 CET 2015, Time: ,Sat Nov 21 19:00:00 CET 2015, Event: ,Lemgo v Eisenach, Favorite: ,Eisenach, 5833106   size:19.2,Price: ,1.04,Lemgo, 2201967   size:4.62,Price: ,1.22,Draw, 330157   size:18.88,Price: ,1.04,x
1.121916954, Sport: ,Soccer, Time: ,Sat Nov 21 13:30:00 CET 2015, Time: ,Sat Nov 21 13:30:00 CET 2015, Event: ,Kraluv Dvur v Zizkov, Favorite: ,Kraluv Dvur, 4142633   size:2.66,Price: ,2.12,Zizkov, 50333   size:17.13,Price: ,2.88,The Draw, 58805   size:14.6,Price: ,3.25,x
1.121778867, Sport: ,Soccer, Time: ,Sat Nov 21 13:30:00 CET 2015, Time: ,Sat Nov 21 13:30:00 CET 2015, Event: ,Vlasim v Vysehrad, Favorite: ,Vlasim, 5866799   size:4.44,Price: ,1.75,Vysehrad, 7589995   size:3.92,Price: ,4.3,The Draw, 58805   size:7.84,Price: ,3.4,ok
1.121800608, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Shakhtar v Volyn, Favorite: ,Shakhtar, 477822   size:41.71,Price: ,1.16,Volyn, 4115366   size:2.83,Price: ,21.0,The Draw, 58805   size:2.85,Price: ,6.8,ok
1.121867308, Sport: ,Soccer, Time: ,Sat Nov 21 13:00:00 CET 2015, Time: ,Sat Nov 21 13:00:00 CET 2015, Event: ,FK Ternopil v Helios, Favorite: ,Helios, 5864181   size:4.42,Price: ,1.77,FK Ternopil, 7269352   size:3.31,Price: ,4.2,The Draw, 58805   size:3.52,Price: ,3.35,ok
