1.119981532, Sport: ,Soccer, Time: ,Thu Aug 13 16:00:00 CEST 2015, Time: ,Thu Aug 13 16:00:00 CEST 2015, Event: ,Armenia U19 v Slovakia U19, Favorite: ,Slovakia U19, 183045   size:140.08,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.26,ok
1.119958897, Sport: ,Volleyball, Time: ,Thu Aug 13 15:30:00 CEST 2015, Time: ,Thu Aug 13 15:30:00 CEST 2015, Event: ,Brazil U23 (W) v Egypt U23 (W), Favorite: ,Brazil U23 (W), 7757837   size:0.0,Price: ,0.0,Egypt U23 (W), 10142542   size:10.0,Price: ,300.0,ok
1.119981299, Sport: ,Tennis, Time: ,Thu Aug 13 14:30:00 CEST 2015, Time: ,Thu Aug 13 14:30:00 CEST 2015, Event: ,Carballes Baena v Bolelli, Favorite: ,Simone Bolelli, 2309797   size:4.82,Price: ,1.3,Roberto Carballes Baena, 7185192   size:7.55,Price: ,3.65,ok
1.119983312, Sport: ,Soccer, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,MC Alger U21 v CR Belouizdad U21, Favorite: ,CR Belouizdad U21, 7899378   size:140.08,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,
1.119983873, Sport: ,Soccer, Time: ,Thu Aug 13 18:15:00 CEST 2015, Time: ,Thu Aug 13 18:15:00 CEST 2015, Event: ,TPK v PaiHa, Favorite: ,TPK, 8580143   size:140.08,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.26,PaiHa, 9555630   size:5.83,Price: ,2.92,ok
1.120000842, Sport: ,Tennis, Time: ,Thu Aug 13 14:00:00 CEST 2015, Time: ,Thu Aug 13 14:00:00 CEST 2015, Event: ,Cetkovska v Cirstea, Favorite: ,Petra Cetkovska, 2415583   size:18.25,Price: ,1.59,Sorana Cirstea, 2387871   size:2.57,Price: ,2.44,ok
1.120004605, Sport: ,Tennis, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Tsurenko v C Witthoeft, Favorite: ,Lesia Tsurenko, 5300861   size:13.97,Price: ,1.55,Carina Witthoeft, 5408907   size:164.73,Price: ,2.68,ok
1.119958893, Sport: ,Volleyball, Time: ,Thu Aug 13 13:00:00 CEST 2015, Time: ,Thu Aug 13 13:00:00 CEST 2015, Event: ,Bulgaria U23 (W) v Colombia U23 (W), Favorite: ,Bulgaria U23 (W), 10142520   size:8138.47,Price: ,1.01,Colombia U23 (W), 10142325   size:5.83,Price: ,1.21,ok
1.120004326, Sport: ,Tennis, Time: ,Thu Aug 13 16:30:00 CEST 2015, Time: ,Thu Aug 13 16:30:00 CEST 2015, Event: ,Donskoy v Gombos, Favorite: ,Evgeny Donskoy, 3391304   size:5.8,Price: ,1.62,Norbert Gombos, 8173023   size:393.83,Price: ,2.3,x
1.119983593, Sport: ,Soccer, Time: ,Thu Aug 13 17:30:00 CEST 2015, Time: ,Thu Aug 13 17:30:00 CEST 2015, Event: ,FC Stumbras v Zalgiris, Favorite: ,Zalgiris, 5549837   size:2.71,Price: ,1.12,The Draw, 58805   size:2.51,Price: ,7.0,FC Stumbras, 7661326   size:3.05,Price: ,18.5,ok
