1.121970619, Sport: ,Soccer, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Maccabi Holon FC (W) v Maccabi Beer Sheva (W), Favorite: ,Maccabi Holon FC (W), 6921676   size:39.04,Price: ,1.01,Maccabi Beer Sheva (W), 6921688   size:56.6,Price: ,2.12,The Draw, 58805   size:11.26,Price: ,3.0,ok
1.121967606, Sport: ,Tennis, Time: ,Tue Nov 24 22:00:00 CET 2015, Time: ,Tue Nov 24 22:00:00 CET 2015, Event: ,Sakkari v B Berger, Favorite: ,Maria Sakkari, 9002331   size:562.82,Price: ,1.02,Brett Berger, 10349563   size:10.32,Price: ,25.0,ok
1.121776828, Sport: ,Soccer, Time: ,Tue Nov 24 20:00:00 CET 2015, Time: ,Tue Nov 24 20:00:00 CET 2015, Event: ,Lens v Niort, Favorite: ,Lens, 44793   size:124.7,Price: ,2.04,Niort, 309687   size:10.06,Price: ,4.5,The Draw, 58805   size:478.44,Price: ,3.35,x
1.121964737, Sport: ,Soccer, Time: ,Tue Nov 24 21:05:00 CET 2015, Time: ,Tue Nov 24 21:05:00 CET 2015, Event: ,Estudiantes de Caseros v Almagro, Favorite: ,Estudiantes de Caseros, 7546748   size:27.98,Price: ,1.95,Almagro, 897266   size:85.76,Price: ,4.8,The Draw, 58805   size:56.53,Price: ,3.1,x
1.121962831, Sport: ,Basketball, Time: ,Tue Nov 24 17:30:00 CET 2015, Time: ,Tue Nov 24 17:30:00 CET 2015, Event: ,Salon Vilpas v BC Nokia, Favorite: ,Salon Vilpas, 7749341   size:15.0,Price: ,1.05,BC Nokia, 10291895   size:14.38,Price: ,4.0,ok
1.121973171, Sport: ,Soccer, Time: ,Wed Nov 25 01:05:00 CET 2015, Time: ,Wed Nov 25 01:05:00 CET 2015, Event: ,Defensores de Belgrano v Deportivo Moron, Favorite: ,Defensores de Belgrano, 5643646   size:2.46,Price: ,1.93,Deportivo Moron, 5289143   size:78.21,Price: ,4.6,The Draw, 58805   size:2.81,Price: ,3.4,x
1.121908512, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Kidsgrove Ath v Marine, Favorite: ,Marine, 2119329   size:3.28,Price: ,2.32,Kidsgrove Ath, 9923674   size:2.55,Price: ,2.82,The Draw, 58805   size:2.55,Price: ,3.75,x
1.121970696, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Histon v Poole Town, Favorite: ,Poole Town, 5051238   size:6.68,Price: ,1.67,Histon, 597738   size:2.81,Price: ,4.3,The Draw, 58805   size:3.53,Price: ,3.9,ok
1.121776425, Sport: ,Soccer, Time: ,Tue Nov 24 20:00:00 CET 2015, Time: ,Tue Nov 24 20:00:00 CET 2015, Event: ,Bourg-Peronnas v Paris FC, Favorite: ,Bourg-Peronnas, 676431   size:125.58,Price: ,2.02,Paris FC, 5168454   size:48.75,Price: ,4.9,The Draw, 58805   size:715.77,Price: ,3.3,ok
1.121883249, Sport: ,Ice Hockey, Time: ,Tue Nov 24 18:30:00 CET 2015, Time: ,Tue Nov 24 18:30:00 CET 2015, Event: ,Sparta Sarpsborg v Stjernen, Favorite: ,Sparta Sarpsborg, 61430   size:54.3,Price: ,1.41,Stjernen, 61434   size:13.78,Price: ,5.4,Tie, 60104   size:12.46,Price: ,5.9,x
1.121970694, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Dunstable Town v Slough Town, Favorite: ,Dunstable Town, 10296978   size:3.43,Price: ,1.91,Slough Town, 1000084   size:4.3,Price: ,3.75,The Draw, 58805   size:6.7,Price: ,3.8,x
